# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_all_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.480616
# Diagonal elements of inverse mass matrix:
# 0.000169256, 0.000148194, 0.000147978, 0.000128135, 0.0001287, 0.000160824, 0.000157182, 0.000162567, 0.000137393, 0.000165918, 0.000143497, 0.000191649, 0.000166041, 0.000149323, 0.000126024, 0.000170283, 0.000143434, 0.000132372, 0.000138746, 0.000150633, 0.000123142, 0.000149043, 0.000113427, 0.00016207, 0.000134284, 0.000166521, 0.000886126
2482.29,0.803857,0.480616,3,7,0,-2473.5,-1.41935,0.0252928,0.0276324,-0.152125,0.0494176,0.0226502,-0.0178358,0.0129361,-0.00401195,-0.0360092,-0.138515,-0.191436,0.0868691,-0.0194878,0.0271327,-0.0892416,0.0173511,0.0588028,0.00318445,0.00618711,0.0220044,0.0156072,0.0509975,-0.0156216,0.0238417,-0.016307,15.8393,0.3686,-0.0232485,-0.318502,0.025423,0.0272768,-0.00560715,0.0946752,-0.0448022,0.165265,-0.635391,-2.52183,0.521265,-0.458463,0.422904,-0.0790652,0.115922,0.163218,0.0462732,0.0607065,0.111523,0.0927472,0.169945,-0.0941644,0.333961,-0.185035
2481.59,0.684517,0.480616,3,7,0,-2464.39,-1.42407,0.0190045,0.0279038,-0.161911,0.0570654,0.028266,-0.0245902,0.00915709,-0.00136365,-0.0275905,-0.119442,-0.186695,0.0773623,-0.0193934,0.0212494,-0.0851745,0.017747,0.0624836,0.0022324,0.00476355,0.0238855,0.0331749,0.0477062,-0.0121496,0.0170248,-0.0153477,15.8109,0.400157,-0.0239275,-0.451142,0.0352998,0.0737038,-0.00990962,0.0785567,-0.0438506,0.160538,-0.531004,-2.51136,0.455485,-0.439905,0.354576,-0.0733985,0.122386,0.173262,0.0517872,0.0690384,0.129451,0.180781,0.159924,-0.0811221,0.229135,-0.17415
2480.02,0.827494,0.480616,3,7,0,-2466.13,-1.42746,0.0352106,0.0226311,-0.14368,0.0437907,0.0385722,0.000923118,-0.00642167,0.000691569,-0.0414664,-0.106077,-0.161706,0.101207,-0.0328256,0.0458982,-0.0995745,0.000427249,0.0558348,0.0210628,-0.00749727,0.0192265,0.0249827,0.0520434,0.00475193,0.0297883,-0.00398889,15.4312,0.448204,-0.0272314,-0.178376,0.0106531,-0.0148759,0.00234509,0.035033,-0.0637128,0.162029,-0.45716,-2.03608,0.515071,-0.668078,0.633009,-0.0725027,0.0766928,0.153736,0.128847,0.0862423,0.180063,0.224747,0.263398,0.0505829,0.458574,-0.0452619
2476.52,0.915387,0.480616,3,7,0,-2468.26,-1.42933,0.0311592,0.0234563,-0.147184,0.0412677,0.0427831,0.00294303,-0.00321214,0.00189837,-0.0235588,-0.10122,-0.164868,0.102611,-0.0324222,0.0443417,-0.0874667,0.00307875,0.0552898,0.0235523,0.0182275,0.0256875,0.0359432,0.038793,0.00882565,0.0528586,-0.0139597,15.9742,0.388545,-0.0232251,-0.182037,0.00974946,-0.0270777,0.00435586,0.0492769,-0.0444188,0.169455,-0.426774,-2.09682,0.510796,-0.639662,0.5722,-0.0601289,0.0841051,0.152319,0.158953,0.172282,0.207841,0.275988,0.220795,0.0760135,0.796374,-0.158401
2476.78,0.918537,0.480616,3,7,0,-2461.25,-1.43181,0.0214264,0.0397013,-0.136873,0.0389843,0.0481216,-0.0410385,0.0223606,-0.0107616,-0.0505923,-0.0957326,-0.168458,0.0692047,-0.0375616,0.0293776,-0.0763036,0.019239,0.0499598,-0.00780248,-0.0238607,0.00776616,0.0293966,0.0286526,-0.0120461,0.01429,-0.015267,15.2339,-0.0590798,0.00969605,-0.345825,0.0241601,0.15968,-0.0173677,0.120689,-0.0856759,0.122205,-0.44981,-2.38693,0.367278,-0.618268,0.442665,-0.0719369,0.107348,0.138561,-0.0208701,-0.053106,0.0418598,0.135338,0.0744884,-0.0835222,0.186315,-0.173234
2472.09,0.875802,0.480616,3,7,0,-2458.01,-1.42781,0.047639,0.034319,-0.156351,0.0720358,0.0442424,-0.00928864,0.00752812,-0.0177034,-0.0608255,-0.113987,-0.205399,0.0980878,0.010354,0.0258722,-0.0911821,0.010997,0.0587658,0.0162458,-0.00197008,0.0272432,0.0410156,0.0350175,0.00871012,0.0514907,-0.0104737,15.5372,0.487238,-0.0282416,-0.486814,0.0413832,0.0306967,-0.00244707,0.0469168,-0.0664052,0.134562,-0.509601,-2.55966,0.688706,-0.208019,0.403617,-0.0637716,0.104641,0.161688,0.128612,0.115659,0.216684,0.30166,0.209929,0.0818548,0.783645,-0.118844
2473.55,0.986794,0.480616,3,7,0,-2460.48,-1.43375,0.00401491,0.0112787,-0.144654,-0.00127087,0.0403647,-0.0328363,0.00441995,0.00784037,-0.0375128,-0.116891,-0.169988,0.0997237,-0.046885,0.0387356,-0.0817142,0.022127,0.0562772,-0.0121649,-0.0077693,0.00856332,0.00346491,0.0392726,-0.00662595,0.00545163,-0.024791,15.8542,0.0897908,-0.0043601,0.0877175,-0.0179247,0.113779,-0.014158,0.0878262,-0.0347136,0.160252,-0.569533,-2.24719,0.554362,-0.727915,0.548063,-0.0795562,0.121696,0.155237,-0.0300818,-0.018181,0.0301138,0.00681225,0.106107,-0.0864907,0.0232531,-0.281303
2474.83,0.997031,0.480616,3,7,0,-2461.67,-1.44215,-0.00753759,0.0136759,-0.163076,0.00926704,0.0290482,-0.0265449,-0.0037713,0.00433063,-0.0433867,-0.109395,-0.180343,0.107983,-0.0405069,0.0472763,-0.0806542,0.0230354,0.0491085,0.00948545,0.0157217,0.0117684,0.0136581,0.0309573,-0.0148341,0.0222784,-0.0230272,15.3642,0.227012,-0.0148486,0.00129971,-0.00987322,0.0813084,-0.011651,0.0613807,-0.02412,0.145549,-0.529895,-2.36245,0.595789,-0.678749,0.587114,-0.0780392,0.115578,0.136571,0.0417769,0.0507993,0.0372644,0.0448363,0.0690058,-0.107215,0.292421,-0.261289
2475.24,0.958951,0.480616,3,7,0,-2462.51,-1.42685,0.053606,0.0379093,-0.135709,0.0583647,0.0579872,-0.0127104,0.0267816,-0.014788,-0.0501831,-0.1229,-0.184057,0.0877383,0.00113406,0.018222,-0.0890995,0.00370181,0.0681974,-0.00978521,-0.0220761,0.024526,0.034672,0.0390663,0.00563116,0.040058,-0.0112074,15.8812,0.198995,-0.00757245,-0.38796,0.0313416,0.0432347,-0.00208731,0.11159,-0.0812039,0.149676,-0.563045,-2.29364,0.629515,-0.284546,0.372203,-0.0665639,0.101034,0.187348,0.0345104,0.0380471,0.189353,0.254599,0.205155,0.0504741,0.601935,-0.127171
2482.38,1,0.480616,3,7,0,-2468.12,-1.43042,0.00999878,0.0213669,-0.149687,0.0469917,0.0419365,-0.0239506,0.0163862,-0.00743242,-0.0434451,-0.114657,-0.18739,0.101667,-0.0206399,0.0269628,-0.0787481,0.032008,0.0891495,-0.00900772,-0.0130224,0.0239708,0.0248945,0.0377513,-6.04418e-07,0.0352224,-0.0312568,15.1422,0.363869,-0.0235332,-0.33566,0.0252042,0.0593097,-0.00747831,0.106174,-0.0558239,0.15647,-0.564957,-2.38914,0.663187,-0.504295,0.479868,-0.069246,0.188918,0.245197,0.00922021,0.0147917,0.129445,0.145375,0.13626,-0.0315652,0.475306,-0.35467
2481.15,0.705384,0.480616,3,7,0,-2465.98,-1.42312,0.00787406,0.0238903,-0.146764,0.0462573,0.0343419,-0.0272641,0.0245617,0.00365219,-0.0493507,-0.109549,-0.175408,0.0953112,-0.010838,0.026918,-0.076688,0.027965,0.0838413,-0.024418,-0.0117517,0.015913,0.0201532,0.0393002,0.00506539,0.030157,-0.0253941,15.459,0.296527,-0.0187822,-0.327535,0.0249862,0.0777501,-0.0103576,0.123582,-0.027739,0.143093,-0.543969,-2.1788,0.662104,-0.407363,0.476336,-0.0639748,0.172472,0.23004,-0.0267643,0.0257426,0.114981,0.143729,0.163973,0.00335941,0.410399,-0.288147
2483.98,0.983583,0.480616,3,7,0,-2473.71,-1.45232,0.0284858,0.016645,-0.144501,0.0449034,0.0479896,-0.0266734,0.014856,-0.00940793,-0.0566933,-0.108345,-0.184542,0.10676,-0.0171302,0.0282759,-0.0949564,0.00452861,0.0429088,0.00413688,-0.004448,0.0189199,0.0439174,0.0455421,-0.0162083,0.0301197,-0.00989084,16.0183,0.463869,-0.0279451,-0.283827,0.0204584,0.109155,-0.0112616,0.0896091,-0.0789762,0.138885,-0.490888,-2.27184,0.685716,-0.449489,0.411384,-0.0799434,0.0678464,0.120172,0.0562797,0.0507528,0.12609,0.244071,0.164885,-0.0753166,0.448905,-0.112231
2476.98,0.631453,0.480616,3,7,0,-2465.68,-1.45514,0.0280154,0.0307319,-0.163741,0.0237915,0.0503792,-0.0426363,0.0156413,-0.0127747,-0.0642252,-0.122654,-0.180935,0.0839343,-0.0490917,0.0343018,-0.0811949,0.0103308,0.0477928,0.00202535,-0.0060543,0.0395079,0.0382554,0.0330654,-0.00500119,0.0258869,0.00224081,15.7412,-0.0529723,0.00935439,-0.157912,0.00363045,0.163697,-0.0177524,0.115473,-0.108588,0.133333,-0.531076,-2.53209,0.350792,-0.744277,0.473175,-0.0608408,0.0875844,0.132127,0.0740038,0.0815746,0.226424,0.24922,0.162701,0.00802617,0.412905,0.0254264
2483.16,1,0.480616,3,7,0,-2470.84,-1.43405,0.0300197,0.0223482,-0.167385,0.0370257,0.0422735,-0.0272585,0.0199619,-0.0134348,-0.0328512,-0.122213,-0.17711,0.0950349,-0.0396676,0.0250967,-0.0868684,0.0287476,0.0574057,0.00544629,0.00124083,0.0365754,0.00907204,0.0446945,-0.00741313,0.0359872,-0.0162336,15.8521,0.247143,-0.011882,-0.281323,0.0165594,0.0821609,-0.0095128,0.124389,-0.0888719,0.171064,-0.546793,-2.34059,0.49375,-0.637491,0.40429,-0.0731692,0.138219,0.158597,0.0666065,0.0713274,0.183481,0.0856533,0.178497,-0.0359112,0.525219,-0.184203
