# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_download_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.600951
# Diagonal elements of inverse mass matrix:
# 0.000197691, 0.00015007, 0.000137185, 0.000153861, 0.000136679, 0.000153916, 0.000165121, 0.000177654, 0.000147179, 0.000127251, 0.000142302, 0.000148027, 0.000148924, 0.000132624, 0.000144717, 0.000161654, 0.000135543, 0.000125658, 0.000130113, 0.000141092, 0.000119325, 0.000186192, 0.000715687
2466.51,1,0.600951,3,7,0,-2454.13,-1.45033,0.000158516,0.0454072,-0.00158971,0.0308831,-0.0784645,-0.131566,-0.169813,0.112272,-0.0211177,0.0162798,-0.0758088,0.0306544,0.0402511,-0.0100775,-0.0014238,0.0165067,0.0409861,0.0283447,-0.0095043,0.0366389,-0.0101437,16.0731,-0.161145,0.00839191,0.0562777,-0.0474027,0.12782,-0.548192,-1.98659,0.716857,-0.428942,0.270304,-0.0605341,0.118609,0.111976,0.0152269,0.0542987,0.11382,0.229708,0.114364,-0.0329111,0.550552,-0.114651
2463.66,0.89782,0.600951,3,7,0,-2456.96,-1.39992,0.0501525,0.00236017,0.0111033,0.0401003,-0.0983994,-0.160639,-0.219262,0.104266,-0.0165287,0.0447506,-0.111251,0.00439695,0.0664571,0.0168111,0.0046444,0.0203593,0.0109689,0.0477518,0.0106611,0.0292379,-0.0276703,14.9511,0.678461,-0.0462376,0.107898,-0.0287917,0.154733,-0.625886,-2.80339,0.580041,-0.540813,0.63301,-0.0888324,0.100722,0.183793,0.0995457,0.0851125,0.141071,0.116122,0.208236,0.0254396,0.390184,-0.312749
2465.71,1,0.600951,3,7,0,-2451.79,-1.43544,-0.00331584,0.0490275,-0.00960129,0.033978,-0.0826054,-0.149915,-0.174852,0.12073,-0.022858,0.00968871,-0.0764383,0.0279821,0.0487586,-0.00397505,-0.0015983,0.0269168,0.0415209,0.0324291,-0.0158933,0.0402934,-0.0217361,16.3653,-0.172426,0.00815567,0.0417441,-0.0456455,0.131628,-0.632792,-2.00682,0.783253,-0.434035,0.217059,-0.0667754,0.125561,0.136485,0.0230366,0.0396524,0.127158,0.201714,0.093971,-0.0898117,0.578896,-0.245678
2466.16,1,0.600951,3,7,0,-2456.81,-1.41568,0.061545,0.00329102,0.0189599,0.0402826,-0.0858677,-0.138553,-0.203788,0.111772,-0.018991,0.0543955,-0.0993096,0.00857287,0.0612197,0.0161437,0.0137053,0.0129198,0.0108147,0.0372338,0.017457,0.0211908,-0.0278348,15.1695,0.637079,-0.0419913,0.131688,-0.00793505,0.147072,-0.545696,-2.55023,0.62141,-0.558964,0.698372,-0.078335,0.10271,0.168903,0.0968847,0.103516,0.108905,0.111961,0.172172,0.0521972,0.263258,-0.314609
2466.57,0.876789,0.600951,3,7,0,-2452.84,-1.44124,-0.0127981,0.0458371,-0.00680504,0.0312109,-0.0894772,-0.155786,-0.18947,0.107107,-0.014757,0.00527325,-0.091861,0.0264817,0.0440742,-0.00872199,-0.0114614,0.0259115,0.0369195,0.0406284,-0.0184334,0.0382765,-0.0114172,16.0009,-0.134719,0.00507988,0.0390913,-0.064315,0.140429,-0.637418,-2.2663,0.713672,-0.371221,0.190847,-0.0773818,0.114536,0.12318,0.0126598,0.023021,0.140137,0.200697,0.142481,-0.0816182,0.573099,-0.129045
2465.21,0.919728,0.600951,3,7,0,-2454.15,-1.41593,0.0653784,0.00529379,0.0187969,0.0404688,-0.0872432,-0.137917,-0.202707,0.116605,-0.026844,0.0541119,-0.0984577,0.00976353,0.0679883,0.015828,0.0123526,0.012313,0.0173094,0.0385387,0.021709,0.025439,-0.0266322,15.5819,0.618437,-0.0405541,0.136008,-0.0194407,0.150402,-0.539783,-2.53928,0.622734,-0.640956,0.707396,-0.0736222,0.11446,0.187109,0.10712,0.11719,0.12738,0.16337,0.196413,0.0824523,0.333067,-0.301016
