# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_pcount_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.62114
# Diagonal elements of inverse mass matrix:
# 0.000183372, 0.000152469, 0.000175409, 0.000134368, 0.000152172, 0.000173331, 0.00015374, 0.00017539, 0.000161522, 0.000173831, 0.000146867, 0.00013074, 0.000153656, 0.000153854, 0.000150743, 0.000165254, 0.000112544, 0.000153265, 0.000182365, 0.000156152, 0.000144652, 0.00014747, 0.000804034
2475.55,1,0.62114,2,3,0,-2455.28,-1.43547,-0.0346267,0.0164922,0.00342241,0.00845812,-0.0845114,-0.140593,-0.195504,0.114321,-0.0182367,0.0527227,-0.0918397,0.0208099,0.048125,0.00118289,-0.00300798,0.00759444,0.0271657,0.0351097,0.0134043,0.0259133,-0.036578,15.499,0.0237866,-0.00553173,0.072246,-0.0745149,0.142195,-0.559959,-2.3986,0.674114,-0.508058,0.656651,-0.0776758,0.104622,0.126412,0.0380292,0.0402827,0.0779518,0.167534,0.138831,0.0160782,0.315732,-0.413276
2474.38,0.835618,0.62114,3,7,0,-2467.91,-1.44005,-0.034687,0.0277203,0.00247277,0.0080715,-0.0747656,-0.14386,-0.203686,0.118725,-0.0260932,0.0490849,-0.084749,0.0170889,0.0544396,0.0108592,-0.000953441,0.00957051,0.017549,0.0478741,0.0181673,0.0360583,-0.0389758,15.6009,-0.0365587,0.00172899,0.0781374,-0.0653402,0.153965,-0.573884,-2.52892,0.653577,-0.570484,0.642005,-0.0659701,0.104223,0.142422,0.0796129,0.0677583,0.109709,0.153142,0.212884,0.047327,0.469217,-0.440366
2475.22,0.923113,0.62114,3,7,0,-2468.86,-1.43747,-0.036456,0.0184647,0.00894064,0.04524,-0.0924748,-0.155572,-0.185003,0.103843,-0.0158496,0.0191837,-0.0943217,0.0214716,0.0551623,-0.00653929,-9.06611e-05,0.0277359,0.0325942,0.0332526,-0.0156765,0.0305987,-0.00151007,15.3601,0.0489741,-0.00739468,0.099633,-0.0152803,0.135662,-0.61178,-2.25317,0.64541,-0.388529,0.315901,-0.0780561,0.114042,0.144227,0.0279104,0.0607129,0.151013,0.188977,0.130959,-0.0526505,0.47727,-0.0170615
2470.77,0.677023,0.62114,3,7,0,-2464.19,-1.44201,-0.0392498,-0.00193483,-0.013107,0.0332626,-0.109055,-0.149378,-0.205257,0.117525,-0.0233614,0.0174327,-0.0890288,0.0176504,0.0445301,0.00808779,0.0146661,0.0192532,0.00818272,0.0405446,0.00885395,0.0480314,-0.0219055,15.6075,0.147878,-0.0197091,0.034789,-0.038556,0.117889,-0.571271,-2.51992,0.688897,-0.432573,0.279096,-0.0671375,0.0918982,0.114701,0.0870782,0.12237,0.148775,0.11755,0.204558,0.0505736,0.700228,-0.247498
2474.92,0.994218,0.62114,3,7,0,-2464.99,-1.42331,-0.0330938,0.0391151,-0.00516719,0.0236963,-0.0914084,-0.138171,-0.195353,0.123849,-0.0109922,0.0266243,-0.101889,0.0102641,0.0521874,-0.00694558,-0.00112075,0.00574337,0.0279198,0.0415395,0.0140111,0.044107,-0.0215434,15.4358,-0.035605,0.00320925,0.041142,-0.0668745,0.146443,-0.53036,-2.25415,0.800943,-0.390642,0.406145,-0.0760172,0.0879827,0.137427,0.0445842,0.0865153,0.120934,0.227548,0.21953,0.0744853,0.639439,-0.243407
2470.57,0.765797,0.62114,3,7,0,-2464.49,-1.44063,-0.0383278,0.0234793,-0.0116814,0.0351478,-0.099301,-0.175572,-0.204748,0.119441,-0.0115013,0.0357012,-0.0863614,-0.00304917,0.0472015,-0.000233048,0.0125127,0.00905321,0.00662191,0.0433281,0.0131302,0.0284869,-0.0160661,15.6184,0.0328992,-0.00586249,0.0375332,-0.0115075,0.135952,-0.719803,-2.44366,0.738774,-0.378327,0.480621,-0.0635508,0.0530261,0.122566,0.0616982,0.113686,0.115999,0.117479,0.220006,0.064887,0.407594,-0.181522
