# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_upload_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.529913
# Diagonal elements of inverse mass matrix:
# 0.000164917, 0.000150506, 0.000150153, 0.0001578, 0.00014935, 0.000150484, 0.000176856, 0.000185652, 0.000136522, 0.000167106, 0.00015872, 0.000155091, 0.000178188, 0.000152293, 0.000150805, 0.000137926, 0.000143526, 0.000153854, 0.000139875, 0.000139425, 0.000123711, 0.000176178, 0.00084042
2481.13,0.893826,0.529913,3,7,0,-2472.01,-1.4368,-0.109914,0.0668067,0.0131692,0.0237994,-0.071222,-0.145,-0.186998,0.118171,-0.0415296,0.0360043,-0.0739129,0.0192563,0.0602886,-0.00101205,-0.00165654,0.0139527,0.0228145,0.0411058,-0.00525817,0.0271032,-0.019745,15.8436,-0.231075,0.0173925,0.130419,-0.013457,0.137914,-0.617025,-2.36382,0.635949,-0.683455,0.516265,-0.0606113,0.118188,0.162935,0.0299189,0.0394934,0.0919131,0.138821,0.151435,-0.0425248,0.377218,-0.223031
2479.69,0.727253,0.529913,3,7,0,-2465.82,-1.4338,-0.0956331,0.0204672,0.000610383,-0.0077028,-0.0522726,-0.146201,-0.176857,0.0961017,-0.00552178,0.0205779,-0.0958501,0.0262257,0.07334,0.00697968,0.0058998,0.0287424,0.0317603,0.0312677,-6.18303e-05,0.0388917,-0.0206672,15.1495,0.0717926,-0.0133,0.0496283,-0.0925857,0.15926,-0.563281,-2.18167,0.601591,-0.347205,0.358683,-0.0765006,0.150878,0.196829,0.0715016,0.0847992,0.160806,0.194149,0.133661,-0.00333243,0.560296,-0.233448
2479.69,0.867114,0.529913,3,7,0,-2469,-1.42489,-0.0855584,0.0469754,0.000814385,0.0152269,-0.0556192,-0.134197,-0.1705,0.111671,-0.0135107,0.0500085,-0.0835255,0.0177132,0.0755437,0.0176147,-0.00306105,0.0144749,0.0386104,0.0456222,-0.00871964,0.0412268,-0.00405013,15.9259,-0.0757628,0.00312518,0.067469,-0.0153313,0.149958,-0.557471,-2.03072,0.625435,-0.513349,0.693521,-0.0588434,0.1351,0.20415,0.104591,0.0751043,0.139391,0.258023,0.209657,-0.00899224,0.638214,-0.0457485
2479.98,0.841481,0.529913,3,7,0,-2468.42,-1.45704,-0.125083,0.0430414,0.0158633,-0.00341951,-0.0731201,-0.139356,-0.18578,0.111633,-0.01829,0.0213726,-0.0795653,0.0205736,0.0576387,0.00474023,-0.00831304,0.0142177,0.0118368,0.0364761,-0.0175611,0.0214364,-0.0210489,15.96,-0.137215,0.00564852,0.111424,-0.0647661,0.123949,-0.60562,-2.27432,0.721171,-0.421262,0.363574,-0.075166,0.117486,0.156924,0.0130543,-0.021164,0.0461408,0.037883,0.0886694,-0.117933,0.28488,-0.237759
2479.67,0.765541,0.529913,3,7,0,-2467.24,-1.45038,-0.122039,0.0373753,0.017453,-0.00799718,-0.0565274,-0.136366,-0.18356,0.106423,-0.0236759,0.0331969,-0.0935593,0.0273941,0.0566057,-0.00342607,-0.00337373,0.0187069,0.0210732,0.0371283,-0.0272612,0.0206208,-0.0282694,15.7555,-0.111625,0.00273622,0.11844,-0.0862704,0.152737,-0.570641,-2.29492,0.651459,-0.523364,0.477797,-0.0940376,0.130507,0.154948,-0.0184282,-0.0270363,0.0347103,0.0442727,0.0487322,-0.187414,0.254152,-0.319319
2479.29,0.702638,0.529913,3,7,0,-2463.97,-1.42647,-0.0792693,0.0462319,0.0114035,0.0167984,-0.075753,-0.150001,-0.190459,0.107794,-0.0192519,0.0332302,-0.0880459,0.0105627,0.0746306,0.00657321,0.00248933,0.0267758,0.029724,0.0350349,0.0306913,0.0414552,-0.00833877,15.6726,-0.0116432,-0.00129325,0.101239,-0.0411154,0.148089,-0.574939,-2.39095,0.582693,-0.516419,0.506776,-0.0498474,0.11986,0.19777,0.122281,0.155351,0.248371,0.296403,0.263355,0.192714,0.631173,-0.0941911
