# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_all_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.632323
# Diagonal elements of inverse mass matrix:
# 0.000126952, 0.000103907, 0.00011741, 9.29484e-05, 9.73417e-05, 0.000109878, 0.000101738, 0.000117562, 0.000121189, 0.000135935, 0.000105507, 0.000101946, 0.000106674, 0.000119808, 0.000120781, 9.95418e-05, 8.77515e-05, 9.33335e-05, 0.000100194, 0.000113176, 0.000117185, 0.000118417, 0.000122275, 0.000109287, 0.000118323, 0.000126371, 0.000106681, 0.000101253, 0.000120696, 0.000347078
5426.73,0.970739,0.632323,3,7,0,-5414.15,-1.53532,-0.00447679,-0.00289623,-0.0912846,0.0555079,0.0309193,-0.0117756,0.126197,-0.134834,-0.156709,-0.0455277,0.0114823,-0.117897,-0.0440448,-0.0892487,0.143421,0.172243,0.0611852,-0.0201449,-0.00676014,0.082187,-0.0235504,0.0209216,0.0062831,0.0103286,0.0232221,-0.0217277,-0.00176491,-0.022171,7.84437,0.472732,-0.0320327,-0.395683,0.0340039,0.0815334,-0.00639302,-0.0788172,0.00434005,-0.564403,-0.45746,-0.219218,-0.0465252,-0.474725,-0.358382,1.2022,0.794832,0.535657,-0.0236296,0.100045,0.230319,-0.0616166,0.0407455,-0.0136128,0.00434567,0.0274594,-0.173809,-0.0722167,-0.292827
5437.71,0.981949,0.632323,3,7,0,-5419,-1.55218,0.00306862,0.00946313,-0.0927274,0.0530504,0.0322073,0.00416089,0.125701,-0.1278,-0.165897,-0.0491134,0.0229716,-0.111645,-0.0377599,-0.0848998,0.114815,0.14203,0.0741953,-0.0141583,0.0211848,0.0753061,-0.0330073,-0.00853008,0.0156325,0.00750411,0.0168554,-0.0174147,0.0104545,-0.00924325,7.82684,0.193843,-0.011211,-0.362885,0.0297285,0.0272403,-0.00017109,-0.0878781,0.0132689,-0.608489,-0.492443,-0.155199,-0.0429991,-0.430909,-0.404225,0.929679,0.587767,0.654042,-0.0131636,0.14659,0.208236,-0.0856596,-0.0273925,0.0521117,0.0198997,0.038307,-0.111347,0.166958,-0.122082
5430.89,0.519657,0.632323,3,7,0,-5416.89,-1.54725,-0.00187791,-0.00241856,-0.0840109,0.0591923,0.033689,0.00734798,0.123292,-0.124228,-0.154209,-0.0612903,0.0079241,-0.127624,-0.045995,-0.0666724,0.125967,0.175685,0.071266,-0.0378551,0.0220866,0.0901167,-0.040371,-0.00214376,0.0304693,0.017272,0.0114308,-0.0188681,-0.0134819,-0.0264589,7.78195,0.414775,-0.0288772,-0.337545,0.0299439,0.0337026,-0.000676907,-0.0804309,-0.00968665,-0.571686,-0.487085,-0.254774,-0.0503646,-0.443989,-0.211518,1.05168,0.782951,0.61622,-0.0415461,0.170767,0.251005,-0.113819,-0.0296126,0.0725082,0.0202772,-0.0458602,-0.176643,-0.286514,-0.349461
5428.75,0.732367,0.632323,3,7,0,-5412.41,-1.55345,0.0175344,-0.0134146,-0.107182,0.0569933,0.0335769,0.00346864,0.117032,-0.124219,-0.174395,-0.0327566,0.0125029,-0.117819,-0.0528279,-0.0733732,0.0988042,0.163987,0.0660506,-0.0134702,-0.00429601,0.0733421,-0.0260606,-0.00675459,0.0288917,0.0202769,0.000755777,-0.0110524,0.013761,0.00379014,7.71125,0.60972,-0.0376771,-0.421904,0.0336435,0.0415508,-0.00157912,-0.0822091,0.0436188,-0.618177,-0.370329,-0.197483,-0.0562417,-0.453945,-0.317216,0.823186,0.74053,0.58109,-0.00532479,0.0929866,0.202774,-0.0465426,0.00837179,0.131719,0.11359,-0.00555332,-0.0458495,0.249371,0.0500589
5432.66,0.831248,0.632323,3,7,0,-5412.08,-1.55537,-0.00912134,-0.00587773,-0.0751275,0.0468218,0.0195242,0.00774865,0.144016,-0.120629,-0.151192,-0.0497141,0.0256252,-0.0989768,-0.0312385,-0.0807229,0.115108,0.164779,0.0761921,-0.0242239,0.0325711,0.0818155,-0.0346085,0.0146324,0.0231984,0.00523415,0.023083,-0.0135099,-0.0117545,-0.0416114,8.07233,0.359417,-0.0260669,-0.265458,0.0237923,0.00545607,0.00104368,-0.0391201,0.0396922,-0.531799,-0.441832,-0.169839,-0.0318578,-0.371333,-0.357363,0.946171,0.715365,0.654832,-0.031039,0.180779,0.228668,-0.0926373,0.0190262,0.0406453,-0.0438731,0.00723691,-0.168879,-0.284207,-0.54959
5425.83,0.631515,0.632323,3,7,0,-5412.81,-1.56923,0.013022,-0.0152506,-0.108423,0.0467433,0.0327448,0.000733931,0.144691,-0.119445,-0.176808,-0.0349431,0.0288321,-0.145427,-0.0569115,-0.0697372,0.117715,0.176163,0.0563915,-0.0168418,0.0166623,0.0897395,-0.0359506,-0.00947367,0.0274313,0.0111265,0.00505095,-0.016952,-0.00284805,-0.0209995,7.81841,0.482149,-0.0302391,-0.28291,0.0211912,0.0531965,-0.0029482,-0.0549808,0.0757321,-0.657424,-0.443987,-0.174042,-0.078549,-0.509328,-0.250578,1.01457,0.822554,0.50408,-0.0226375,0.158665,0.249205,-0.106443,-0.0508269,0.0665131,-0.00298861,-0.0550857,-0.143753,-0.0891178,-0.277355
