# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_download_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.557149
# Diagonal elements of inverse mass matrix:
# 0.000126202, 0.000130228, 0.000116353, 0.000124338, 0.000104978, 0.000107053, 0.00010539, 9.7689e-05, 0.000128372, 0.000115275, 0.000111093, 0.000108004, 9.74687e-05, 0.000104536, 0.000113051, 8.4725e-05, 0.000104356, 0.000113647, 9.42015e-05, 0.00011784, 9.48297e-05, 9.69195e-05, 9.51587e-05, 0.000101663, 0.000114306, 0.000317738
5424.17,0.991988,0.557149,3,7,0,-5407.16,-1.5487,0.0104216,-0.0179948,0.144537,-0.110641,-0.160821,-0.0556558,0.00768943,-0.119915,-0.0705255,-0.0873005,0.108433,0.145176,0.0698526,-0.0158752,0.0203438,0.0553403,-0.0240837,-0.00883303,0.0273768,0.0223416,-0.00276323,-0.0102192,0.00121008,-0.000392644,7.84358,0.288791,-0.0204144,-0.0243096,-0.0230828,-0.56843,-0.43584,-0.210557,-0.0401477,-0.509018,-0.446824,0.861805,0.628025,0.593064,-0.0127373,0.118155,0.152502,-0.0528703,-0.0133592,0.108757,0.106305,-0.0404167,-0.0611045,0.0205415,-0.00518316
5425.71,0.885435,0.557149,3,7,0,-5408.13,-1.55637,-0.000181462,0.000946326,0.127087,-0.0889108,-0.173151,-0.0521307,0.0412566,-0.138186,-0.0373962,-0.0738879,0.139613,0.178604,0.0769632,-0.027376,0.0151572,0.0886652,-0.0278215,0.00847868,0.0297772,0.006274,0.030436,-0.00125616,0.00133261,-0.0414606,7.82666,0.134961,-0.0111569,-0.0822252,0.107543,-0.581583,-0.480219,-0.16977,-0.0515203,-0.382027,-0.221191,1.10564,0.789624,0.66561,-0.0228652,0.153354,0.246543,-0.0505718,0.0416931,0.113858,0.0153341,0.0916052,-0.0796557,-0.0534748,-0.547308
5427.7,0.984352,0.557149,3,7,0,-5417.97,-1.54861,0.0062794,7.41045e-05,0.147115,-0.0856773,-0.18108,-0.047067,0.0362142,-0.137655,-0.0457787,-0.0739088,0.146795,0.160701,0.0721569,-0.031752,0.0151615,0.0837261,-0.0168419,0.0029806,0.0194413,0.0100065,0.0257854,-0.017024,0.000671929,-0.0276652,7.75319,0.183206,-0.0139159,-0.0272672,0.0962527,-0.600116,-0.470334,-0.170266,-0.0472469,-0.430639,-0.22202,1.15984,0.700657,0.621747,-0.0318725,0.146052,0.233304,-0.0442164,-0.000686295,0.0507417,0.0126039,0.048034,-0.15102,-0.039501,-0.365199
5428.18,0.961933,0.557149,3,7,0,-5418.83,-1.54138,-0.00234502,-0.0103902,0.140733,-0.109551,-0.172496,-0.0624915,0.0347472,-0.122672,-0.0594842,-0.0808386,0.120224,0.150189,0.0756693,-0.00115065,0.0102487,0.0744529,-0.0389691,0.000718812,0.0349548,-0.00190018,0.00362022,0.00144656,-0.0128798,-0.0164152,7.88149,0.156684,-0.0125558,-0.0738346,0.0321876,-0.608121,-0.509914,-0.136251,-0.0461903,-0.507562,-0.35058,0.970889,0.640279,0.654776,-0.00414198,0.123746,0.205011,-0.0884088,0.00964232,0.124618,-0.0385615,-0.0158824,-0.0335665,-0.256837,-0.216691
5428.81,0.851546,0.557149,3,7,0,-5415.53,-1.57178,0.00505304,-0.013631,0.133708,-0.0949694,-0.174834,-0.0646778,0.0135283,-0.13326,-0.0622002,-0.0926114,0.122324,0.178593,0.0719793,-0.0379901,0.0154839,0.0781922,-0.0260238,0.00493871,0.0262692,0.0280309,0.0303403,0.00087545,-0.00207275,-0.0295667,7.89484,0.360935,-0.02652,-0.0687326,0.0308432,-0.58687,-0.446738,-0.243162,-0.0418787,-0.437209,-0.437866,0.962916,0.802042,0.616782,-0.0240955,0.140109,0.217582,-0.0313164,0.0558483,0.131928,0.166628,0.112554,-0.0492207,-0.0912715,-0.3903
5429.52,0.954373,0.557149,3,7,0,-5418.62,-1.53729,0.00411709,-0.00197636,0.136953,-0.103885,-0.170664,-0.0398171,0.031255,-0.133162,-0.0551897,-0.0720206,0.122794,0.149631,0.0776012,-0.0108117,0.0161217,0.0714858,-0.0306765,0.0069159,0.0398443,-0.00281783,-0.00667041,-0.0135928,0.00723706,-0.0201694,7.70931,0.086446,-0.0071495,-0.0359619,0.0658573,-0.596334,-0.45362,-0.158828,-0.0552487,-0.480657,-0.263188,0.979059,0.635757,0.662464,-0.0179442,0.131942,0.197867,-0.0809331,0.00412505,0.110834,-0.0835423,-0.0959001,-0.110306,0.0897984,-0.26625
5425.98,0.758903,0.557149,3,7,0,-5417.5,-1.5492,-0.00541846,-0.0166424,0.133327,-0.0920114,-0.174286,-0.0428906,0.0255582,-0.127128,-0.0496943,-0.100373,0.124264,0.159273,0.068382,-0.0323648,0.0245033,0.0809541,-0.0109833,-0.0152418,0.0243553,0.032392,0.0201271,-0.00176813,-0.0117894,-0.00905619,7.93117,0.365653,-0.0275347,-0.057255,0.0634151,-0.580806,-0.418828,-0.184153,-0.038988,-0.400769,-0.523023,0.972911,0.703473,0.588153,-0.0199249,0.162361,0.224972,-0.00665407,-0.00838663,0.128005,0.194816,0.0757532,-0.0388055,-0.224022,-0.119548
5421.72,0.779399,0.557149,3,7,0,-5410.3,-1.56137,0.023472,-0.00628412,0.141879,-0.103948,-0.173915,-0.0639146,0.0184875,-0.126573,-0.0608371,-0.0650782,0.123143,0.160625,0.0795769,-0.00542877,0.00558423,0.0691456,-0.0486191,0.0295392,0.0374898,-0.0053339,0.0122143,-0.00879012,0.0134214,-0.0355739,7.81439,0.174183,-0.0116351,-0.0337324,0.0372816,-0.606058,-0.487509,-0.2038,-0.0498435,-0.50479,-0.179385,0.987203,0.690858,0.683579,-0.00929038,0.106882,0.191468,-0.102006,0.0901746,0.116843,-0.0789031,-0.00292927,-0.102276,0.16993,-0.469599
5427.88,0.974998,0.557149,3,7,0,-5413.3,-1.55627,0.0145664,-0.00136976,0.138425,-0.0960908,-0.178155,-0.0596622,0.021788,-0.126043,-0.0396366,-0.0745472,0.116635,0.15976,0.0780398,-0.00488673,0.000184531,0.0601664,-0.0406359,0.0147032,0.0315251,0.0151045,0.0118379,-0.00807389,-0.0170606,-0.0273264,7.76602,0.0996434,-0.00671985,-0.0443476,0.0686694,-0.630216,-0.51572,-0.191065,-0.0576436,-0.396586,-0.292194,0.946767,0.692411,0.662285,-0.0105964,0.0843023,0.167378,-0.0923425,0.0414512,0.0952599,0.0318224,-0.0186876,-0.11462,-0.35056,-0.360727
5425.39,0.855933,0.557149,3,7,0,-5413.24,-1.52632,-0.00760737,-0.0151834,0.131298,-0.0958809,-0.160785,-0.0471855,0.0219101,-0.125884,-0.0724775,-0.0926189,0.128037,0.158,0.0646863,-0.0366939,0.02981,0.0852162,-0.0114665,-0.00578246,0.0240807,0.0122082,0.0112271,-0.00989973,0.0149698,-0.0140084,7.68206,0.346002,-0.0268377,-0.0526234,0.0283,-0.53057,-0.384398,-0.191734,-0.0308033,-0.510399,-0.441653,1.00639,0.703491,0.559553,-0.0284624,0.17817,0.236231,-0.0195721,-0.00350885,0.0977068,0.0564256,0.0252587,-0.069179,0.237145,-0.18492
5423.59,0.822472,0.557149,3,7,0,-5409.54,-1.5695,0.0141375,0.000143906,0.139478,-0.100798,-0.180097,-0.0628858,0.0237669,-0.131187,-0.0373889,-0.0778488,0.116594,0.162736,0.0841672,-0.00616884,-0.00431103,0.0627001,-0.0442551,0.0101817,0.0337037,0.0156271,0.0134809,-0.00496458,-0.0246224,-0.0313486,7.88609,0.0718925,-0.00476704,-0.054502,0.0654419,-0.644945,-0.549157,-0.193548,-0.0613692,-0.389296,-0.321831,0.945045,0.692848,0.714199,-0.0125601,0.0786351,0.174178,-0.10374,0.0271239,0.102703,0.0323841,-0.0156674,-0.110745,-0.490936,-0.413822
5427.46,0.829442,0.557149,3,7,0,-5407.01,-1.53579,-0.00266831,-0.0141899,0.135461,-0.0952526,-0.16424,-0.0530771,0.022855,-0.130524,-0.0764497,-0.0826297,0.122033,0.162552,0.0663711,-0.0311623,0.0361443,0.0863439,-0.00845434,0.00322014,0.0338454,0.0135065,0.0117182,-0.00512889,0.0126111,-0.0110847,7.66681,0.312479,-0.0244458,-0.0503868,0.0316844,-0.554237,-0.397661,-0.194046,-0.0398142,-0.516294,-0.355226,0.947133,0.731276,0.572516,-0.0187015,0.193818,0.240368,0.00732423,0.0449781,0.152977,0.0790569,0.0426336,-0.0376382,0.201109,-0.146325
5429.44,0.786475,0.557149,3,7,0,-5414.41,-1.56555,0.0137149,-0.0121974,0.127146,-0.0947343,-0.162564,-0.0496464,0.0374438,-0.12935,-0.0474879,-0.0965442,0.130432,0.163402,0.0741231,-0.00502619,0.0120835,0.0663405,-0.0425961,-0.00210633,0.0242161,0.00518246,0.0181087,-0.00642809,-0.00346883,-0.0285504,7.97744,0.262741,-0.0179611,-0.078352,0.0937563,-0.577304,-0.502978,-0.143093,-0.0496882,-0.464723,-0.462227,1.06286,0.711998,0.641264,-0.0101559,0.115228,0.182418,-0.105981,-0.009282,0.0764156,-0.00562792,0.0295413,-0.0929139,-0.113926,-0.376884
