# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_pcount_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.55095
# Diagonal elements of inverse mass matrix:
# 0.000118765, 0.000107927, 0.000109217, 0.000101531, 0.000111404, 0.000104733, 9.33346e-05, 0.000115201, 9.40709e-05, 0.000106618, 0.000133807, 0.000128558, 0.000105214, 0.000113887, 9.92029e-05, 0.000107056, 0.000129219, 0.000105502, 0.00011228, 8.86253e-05, 0.000103656, 0.000100303, 0.000114427, 9.44202e-05, 0.000109594, 0.000268339
5425.64,0.979177,0.55095,3,7,0,-5415.29,-1.53516,-0.0349662,0.03593,0.132909,-0.107593,-0.162193,-0.0510174,0.0266586,-0.122076,-0.0582164,-0.0767946,0.132573,0.139485,0.0909842,-0.0232582,0.00848691,0.0612345,-0.0105791,0.00247227,0.0202247,0.0184588,0.0189284,-0.00729019,0.00551409,-0.0301164,7.70463,-0.0370928,0.00433598,-0.0354947,0.036874,-0.564207,-0.495961,-0.170181,-0.0385708,-0.4657,-0.274304,1.00357,0.551069,0.772463,-0.0202721,0.0970994,0.16468,-0.0191162,0.0130249,0.0729206,0.0787213,0.0377796,-0.0914735,0.0412573,-0.397414
5424.95,0.783085,0.55095,3,7,0,-5408.89,-1.57033,-0.0207562,0.0244999,0.144349,-0.100397,-0.173441,-0.0569973,0.0187188,-0.132001,-0.0547027,-0.0934458,0.112034,0.179626,0.0529437,-0.0207447,0.0212497,0.0849133,-0.0504726,0.00279543,0.0388717,0.00203056,0.00415703,-0.00691139,-0.00347355,-0.0115328,7.99676,0.0156433,-0.000244734,-0.0525579,0.0553485,-0.615186,-0.435572,-0.206392,-0.0548478,-0.423838,-0.474283,0.947111,0.854579,0.478939,-0.0181373,0.155792,0.228666,-0.114091,0.0171973,0.140349,-0.0194715,-0.0178294,-0.0656278,-0.0823568,-0.152187
5427.09,0.997932,0.55095,3,7,0,-5416.46,-1.54332,-0.0276756,0.0350645,0.129887,-0.111255,-0.164662,-0.0502049,0.0256767,-0.121534,-0.0585023,-0.0731393,0.131895,0.141901,0.0907826,-0.0161603,0.00958277,0.0599375,-0.0130979,0.00108177,0.0189735,0.0187744,0.0224305,-0.00630526,0.000681339,-0.0283096,7.72999,-0.0350852,0.00449787,-0.0445687,0.0356557,-0.576332,-0.495464,-0.172853,-0.0407349,-0.478854,-0.240273,1.0056,0.564037,0.774083,-0.013863,0.0976693,0.161292,-0.0238115,0.0119967,0.0727441,0.0862753,0.0570704,-0.0873275,-0.0403371,-0.373571
5429.37,0.842288,0.55095,3,7,0,-5414.61,-1.57132,-0.0180382,0.0293452,0.142303,-0.0967445,-0.169638,-0.0509718,0.0158958,-0.131303,-0.0494511,-0.0892752,0.121259,0.173448,0.0586001,-0.0265238,0.0225349,0.0769307,-0.0406391,0.00502094,0.0357463,0.00399734,0.00304432,-0.0162097,0.00378502,-0.0121309,7.9931,0.00694436,0.00111887,-0.0300958,0.062879,-0.596538,-0.434287,-0.21862,-0.0515288,-0.407015,-0.416614,0.998973,0.810067,0.51719,-0.0261115,0.147514,0.207315,-0.0987627,0.00950224,0.11231,-0.02662,-0.0416902,-0.115259,0.044104,-0.160079
5429.81,0.874657,0.55095,3,7,0,-5419.1,-1.53592,-0.0305101,0.0304072,0.130214,-0.113566,-0.166448,-0.0533734,0.0213637,-0.124385,-0.0665817,-0.0766807,0.121415,0.155552,0.0880356,-0.016708,0.00364078,0.0688347,-0.0205313,0.00480569,0.0231079,0.0186864,0.0181122,0.00439361,0.00124204,-0.0332129,7.69739,-0.0202685,0.00255585,-0.0536868,0.0311894,-0.582676,-0.471739,-0.192749,-0.0443968,-0.49307,-0.287434,0.941786,0.645999,0.754408,-0.0110339,0.0975199,0.184635,-0.0310954,0.0368932,0.10175,0.0994628,0.0545301,-0.0309068,-0.0395437,-0.438276
5428.01,0.764729,0.55095,3,7,0,-5417.95,-1.57442,-0.0160374,0.0310058,0.141517,-0.0979312,-0.166164,-0.0544542,0.0205934,-0.130988,-0.0473623,-0.0777452,0.118585,0.168882,0.0574507,-0.0227933,0.02445,0.0724091,-0.0442034,0.0104755,0.0342925,-0.00140408,0.0102732,-0.0184806,0.00466842,-0.0133034,7.91827,0.000349962,0.00200892,-0.0376287,0.0540646,-0.590986,-0.446181,-0.19943,-0.0550029,-0.398741,-0.318362,0.974985,0.787115,0.509338,-0.0231891,0.144988,0.194971,-0.105467,0.0252104,0.105395,-0.0559838,-0.0104588,-0.130111,0.0574628,-0.175551
