# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_upload_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.547635
# Diagonal elements of inverse mass matrix:
# 0.000135038, 9.85513e-05, 0.000125165, 0.000101926, 9.94657e-05, 0.000115292, 0.000100172, 0.000108933, 0.000102306, 8.97273e-05, 0.000135069, 0.000113374, 8.83377e-05, 0.000118011, 0.000119735, 0.000106702, 0.0001159, 0.000116253, 0.000103706, 9.81985e-05, 9.81742e-05, 9.78614e-05, 0.000101704, 0.000111445, 0.000121424, 0.000344155
5421.56,0.943469,0.547635,3,7,0,-5408.8,-1.56246,-0.0662891,0.0289613,0.117446,-0.139199,-0.168618,-0.0336179,-0.0115433,-0.135155,-0.04376,-0.0671492,0.119544,0.169057,0.0793129,-0.0143416,0.0281046,0.0848126,-0.0301368,0.0278688,0.0432486,0.0120717,0.0151583,-0.0182129,-0.0165401,-0.0292959,7.98024,-0.141502,0.0103953,-0.0389434,-0.00764231,-0.629543,-0.437164,-0.307948,-0.0698233,-0.394522,-0.21003,0.949069,0.743949,0.682125,-0.0166414,0.171893,0.233671,-0.0673175,0.0697994,0.121113,-0.0107767,-0.0313225,-0.179995,-0.345391,-0.38657
5422.37,1,0.547635,3,7,0,-5410.53,-1.52798,-0.0680418,0.0527726,0.145268,-0.095592,-0.152717,-0.0514994,0.0446067,-0.106088,-0.0600218,-0.0948265,0.105883,0.15285,0.0660066,-0.00832759,0.00911169,0.0677796,-0.0281265,-0.0196522,0.0143627,0.0099484,0.014031,-0.00104352,0.0150187,-0.00985994,7.65804,-0.249697,0.0224705,-0.0519119,0.0925424,-0.539859,-0.440507,-0.0759845,-0.0358395,-0.481512,-0.508782,0.86747,0.667807,0.584269,-0.00133566,0.109288,0.185596,-0.0603143,-0.0349066,0.0816558,0.0751142,0.0701721,-0.00763401,0.246206,-0.130105
5426.5,1,0.547635,3,7,0,-5416.74,-1.56146,-0.0674482,0.0295582,0.120029,-0.13096,-0.167107,-0.0488957,-0.0105265,-0.122286,-0.0459705,-0.067211,0.129453,0.172752,0.0788771,-0.0159123,0.0261173,0.0862111,-0.0275508,0.0229399,0.0374274,0.014108,0.009821,-0.0212312,-0.017078,-0.0307909,7.97342,-0.137194,0.00995238,-0.0416518,-0.00568672,-0.608567,-0.458844,-0.304982,-0.0531985,-0.42441,-0.189412,1.04087,0.763649,0.676293,-0.0221608,0.17013,0.238306,-0.0748696,0.0381811,0.0827107,-0.0159777,-0.0703116,-0.20152,-0.357625,-0.406297
5427.87,0.868828,0.547635,3,7,0,-5409.44,-1.54278,-0.0686018,0.0432327,0.149891,-0.0981686,-0.153704,-0.0468333,0.0390815,-0.109855,-0.0584593,-0.0846503,0.0991502,0.150884,0.0687454,-0.00737529,0.00679053,0.0692167,-0.0295009,-0.0115072,0.0212489,0.0110522,0.0205963,0.00210419,-0.00650638,-0.00463374,7.88299,-0.198101,0.0169927,-0.027342,0.084818,-0.549046,-0.426081,-0.096733,-0.0440175,-0.454233,-0.432602,0.800791,0.655212,0.607122,0.00237961,0.106737,0.189633,-0.0517482,0.00105808,0.116086,0.0870926,0.100227,-0.00241371,-0.123126,-0.0611439
5429.33,0.856917,0.547635,3,7,0,-5412.45,-1.57181,-0.0827731,0.0234473,0.12897,-0.124427,-0.176852,-0.0410906,0.00525126,-0.129093,-0.0652335,-0.0818523,0.112809,0.172751,0.0741832,-0.00830832,0.0154593,0.0926428,-0.0369057,0.0186074,0.0373335,0.0139392,0.00399301,-0.0187578,-0.00400247,-0.0285219,7.90264,-0.100789,0.00495189,-0.0463702,0.0435787,-0.64173,-0.430548,-0.240145,-0.0616496,-0.505552,-0.355728,0.932421,0.769496,0.645931,-0.0138906,0.156879,0.25519,-0.094443,0.0334317,0.0936126,-0.0036179,-0.0780118,-0.168473,-0.123208,-0.376356
5431.92,0.818577,0.547635,3,7,0,-5415.23,-1.5502,-0.0588504,0.0623851,0.140326,-0.109583,-0.154765,-0.0513926,0.0290578,-0.118513,-0.0389877,-0.0910054,0.11249,0.160821,0.07939,-0.00866329,0.0188922,0.089772,-0.0320217,-0.0111045,0.0394766,0.00405807,0.00878528,-0.00546255,0.00388517,-0.022967,7.96985,-0.349287,0.0325605,-0.0407022,0.0737678,-0.578164,-0.499001,-0.154458,-0.049964,-0.399745,-0.450607,0.902622,0.684598,0.698354,-0.00750034,0.159296,0.246083,-0.0765318,-0.0272629,0.142954,-0.00819039,-0.00121185,-0.0695539,0.0259416,-0.303057
5428.61,0.783538,0.547635,3,7,0,-5418.98,-1.56251,-0.0814712,0.0472609,0.129938,-0.109976,-0.163903,-0.0617015,0.00953696,-0.134274,-0.0684213,-0.0612971,0.116378,0.169999,0.0691576,-0.0241847,0.00754683,0.0946697,-0.0288779,0.00944449,0.0221255,0.0198532,0.0157368,0.00259386,-0.003878,-0.0222452,7.82489,-0.184645,0.014283,-0.0548343,0.0137977,-0.59581,-0.460229,-0.234883,-0.059097,-0.484809,-0.166263,0.945763,0.761076,0.607854,-0.0130914,0.14281,0.259576,-0.0476908,0.0537721,0.100681,0.110778,0.0500228,-0.0277517,-0.109411,-0.293533
5431.84,0.922038,0.547635,3,7,0,-5414.65,-1.55096,-0.0594622,0.0397557,0.134626,-0.122146,-0.158555,-0.0348924,0.019253,-0.0947529,-0.0363664,-0.0814863,0.110356,0.155028,0.0777672,0.00187401,0.0261344,0.0723861,-0.0260479,-0.00597074,0.0297661,0.0033299,0.0142797,-0.025015,0.00356143,-0.0180515,7.91016,-0.27033,0.0236441,-0.0275293,0.0572964,-0.559902,-0.407445,-0.165614,-0.0346363,-0.408252,-0.369576,0.890631,0.659392,0.67862,-0.00647971,0.150744,0.200203,-0.0807014,-0.0428789,0.0723743,-0.0468278,-0.01574,-0.179794,0.0293298,-0.238196
5431.61,0.883063,0.547635,3,7,0,-5419.71,-1.54809,-0.052322,0.048829,0.134808,-0.119962,-0.167992,-0.038261,0.0163984,-0.0996589,-0.0413527,-0.0908205,0.115654,0.147074,0.0746152,0.0011958,0.031864,0.07765,-0.0282735,-0.00649939,0.0264595,0.0138856,0.00507481,-0.0236917,-0.00223004,-0.0143983,7.8125,-0.309989,0.0284948,-0.033361,0.0481105,-0.597342,-0.439048,-0.169569,-0.0355978,-0.43601,-0.453359,0.938517,0.620509,0.649215,-0.0075087,0.170281,0.215086,-0.088519,-0.0470634,0.057765,0.00798516,-0.060644,-0.171528,-0.0658865,-0.18999
5433.15,0.976501,0.547635,3,7,0,-5422.52,-1.54725,-0.0810103,0.0360941,0.13671,-0.106736,-0.174566,-0.0508026,0.0157386,-0.121356,-0.0592463,-0.0682348,0.11297,0.155271,0.0626223,-0.017259,0.00992206,0.0707156,-0.0312791,0.0121354,0.0291842,-0.00472307,0.0127981,0.00635945,-0.00203908,-0.0217437,7.77028,-0.119606,0.00825373,-0.0417854,0.0407684,-0.612086,-0.42524,-0.18764,-0.0522016,-0.444187,-0.251415,0.909881,0.701924,0.548578,-0.00934539,0.114858,0.192633,-0.0551737,0.0573699,0.119839,-0.0297195,0.0469949,-0.00205386,-0.0761057,-0.286915
