# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_all_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.591183
# Diagonal elements of inverse mass matrix:
# 0.000125237, 0.000156899, 0.000143893, 0.000177613, 0.000161766, 0.000137515, 0.000137354, 0.000156085, 0.000130706, 0.000150609, 0.000170933, 0.000151312, 0.000139355, 0.000136022, 0.000172046, 0.000144676, 0.000155833, 0.00014602, 0.000133904, 0.000163749, 0.00012973, 0.000179063, 0.000134843, 0.000143573, 0.000165363, 0.000138505, 0.000238397
44.9796,0.679923,0.591183,3,7,0,-36.368,6.75727,0.0311379,-0.0773468,0.169558,-0.0991652,0.0984013,-0.0457786,0.0205854,-0.12801,0.864465,-0.136819,-0.155936,0.101256,-0.0119766,0.0222858,-0.0797322,0.0156549,0.065981,-0.00684906,0.0193805,0.0123561,0.00390232,0.0165808,0.00206857,-0.00219416,-0.0183286,0.590652,0.117826,-0.00559369,-0.225598,0.0147438,-0.00657574,0.00131321,0.0595998,-0.0670074,1.16589,-0.655143,-1.87065,0.717448,-0.334193,0.33228,-0.0757913,0.124224,0.18081,0.00192517,0.0643641,0.041222,0.00831719,0.0368374,-0.0336426,-0.0807355,-0.207974
46.7603,0.778591,0.591183,3,7,0,-26.1142,6.69526,0.0150898,-0.0950211,0.182398,-0.102147,0.0800569,-0.0564949,0.0246913,-0.102347,0.835889,-0.145885,-0.183632,0.0775796,-0.0312509,0.0336376,-0.0956412,0.00889477,0.0487692,0.0132836,0.0156764,0.0243337,0.0368325,0.0448178,-0.0280792,0.0384645,-0.0262928,0.598524,0.403781,-0.0296932,-0.0861214,0.00612947,0.0452129,-0.00654176,0.0956796,-0.0289076,1.14979,-0.635378,-2.52375,0.390797,-0.58653,0.452537,-0.0910314,0.0862646,0.137336,0.0668233,0.0696266,0.0940599,0.152239,0.103168,-0.167345,0.538828,-0.298344
43.118,0.851443,0.591183,3,7,0,-31.6297,6.74946,0.0506979,-0.0674243,0.176898,-0.110608,0.0976512,-0.068221,0.00445712,-0.11925,0.842791,-0.128834,-0.157312,0.104976,-0.0190292,0.0413984,-0.104634,0.0227589,0.0598524,0.0123897,0.0157254,0.0130745,0.0476198,0.0206512,-0.01751,0.00377302,-0.0354189,0.606225,0.00327401,0.003061,-0.0889234,0.00296885,0.127498,-0.0147707,0.015462,-0.0768416,1.1529,-0.58119,-1.9207,0.692586,-0.494457,0.509827,-0.108535,0.131518,0.166813,0.0346865,0.0270745,0.00906825,0.152122,-0.0293866,-0.171424,-0.0299538,-0.401898
45.7527,0.989567,0.591183,3,7,0,-31.7635,6.72225,0.0227299,-0.0956493,0.17489,-0.0793587,0.0837015,-0.0451829,0.0442717,-0.109473,0.856202,-0.130544,-0.180728,0.0944532,-0.0187144,0.0186343,-0.0885334,0.0232697,0.084029,0.010254,0.0134672,0.00956366,0.0205573,0.0636709,-0.0177522,0.040864,-0.0198751,0.593406,0.585502,-0.0409278,-0.322437,0.0279405,-0.0352887,0.00316679,0.144209,-0.0305513,1.17118,-0.608647,-2.29355,0.582635,-0.461249,0.378363,-0.0740431,0.162438,0.232838,0.0759787,0.0919347,0.0871563,0.13739,0.23001,-0.0942802,0.592759,-0.225522
44.9664,0.841634,0.591183,3,7,0,-29.9178,6.73124,0.0366962,-0.0855667,0.175565,-0.109163,0.0943413,-0.0567653,-0.011023,-0.131111,0.838801,-0.141126,-0.161317,0.0907735,-0.0269341,0.0415194,-0.0917518,0.00107313,0.0301421,-0.00673507,-0.00579081,0.0304187,0.0279027,0.00216121,-0.0108731,0.00178063,-0.0314829,0.599557,0.244184,-0.0138372,-0.11744,0.0055231,0.0742233,-0.00859604,-0.0296523,-0.0971388,1.14684,-0.642358,-2.09973,0.577083,-0.522888,0.487613,-0.0998219,0.046006,0.0841464,-0.0314296,-0.0385551,0.0590868,0.0534266,-0.0853153,-0.128964,-0.0513733,-0.357235
44.4403,0.970584,0.591183,3,7,0,-31.693,6.72465,0.0313698,-0.090435,0.183436,-0.0929223,0.0954655,-0.0653251,-0.0155769,-0.125281,0.829321,-0.147739,-0.146556,0.0875183,-0.0291556,0.0359769,-0.092132,0.0111854,0.0296552,-0.00216529,0.00931287,0.0271486,0.033582,0.014685,-0.00799923,0.00120881,-0.0305973,0.597448,0.422503,-0.0279156,-0.216763,0.0172484,0.120551,-0.0137748,-0.0431352,-0.100973,1.1318,-0.647721,-1.88707,0.523355,-0.523862,0.415588,-0.0945197,0.0660363,0.0829592,0.00532097,0.027429,0.0730099,0.106621,-0.0215736,-0.11213,-0.0581362,-0.347187
