# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_download_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.657781
# Diagonal elements of inverse mass matrix:
# 0.000161828, 0.000164222, 0.000155247, 0.000181325, 0.000167208, 0.000141105, 0.000141401, 0.000143922, 0.00015362, 0.000141104, 0.000181518, 0.000129587, 0.000158459, 0.000166349, 0.000161346, 0.000179709, 0.000148532, 0.000135879, 0.000125797, 0.000138347, 0.000171386, 0.000140385, 0.000196759
45.6827,0.781994,0.657781,3,7,0,-38.7801,6.72782,0.0526874,-0.0960326,0.0419652,-0.180248,0.856886,-0.170193,-0.170686,0.120638,-0.0202066,0.0340903,-0.10844,0.00944358,0.0555273,-0.00270942,0.0150932,0.0250342,0.00784712,0.039116,0.00453634,0.00419987,-0.011889,0.597919,0.427463,-0.029409,0.0951743,-0.0587326,1.17539,-0.679095,-1.92738,0.730877,-0.505531,0.479743,-0.0890559,0.0961055,0.153249,0.0454704,0.102727,0.138052,0.0809891,0.161255,0.0012565,0.0361744,-0.134378
46.346,0.730891,0.657781,3,7,0,-32.405,6.70559,0.0358361,-0.0934535,0.0373847,-0.181975,0.849683,-0.170317,-0.175666,0.0987631,-0.0172137,0.0323703,-0.10299,0.0112316,0.054944,0.0371485,0.0286344,0.0195514,0.0303184,0.0484314,-0.0122439,0.0260028,-0.0260454,0.600584,0.393032,-0.0291196,0.0805196,-0.050622,1.14161,-0.658459,-2.16508,0.534625,-0.472096,0.443661,-0.0873355,0.100879,0.155614,0.148036,0.125103,0.100342,0.153797,0.149085,-0.0965137,0.343404,-0.294383
48.0055,0.981456,0.657781,3,7,0,-41.005,6.71445,0.0388333,-0.100689,0.0222812,-0.178612,0.868275,-0.172111,-0.172584,0.107752,-0.0222579,0.0154725,-0.107844,0.0118881,0.0765268,0.0106062,0.018568,0.0296813,0.0333424,0.0413568,-0.00430404,0.0266263,-0.0199619,0.594846,0.512298,-0.0374663,0.0367725,-0.0657004,1.18149,-0.664756,-2.05151,0.636062,-0.499742,0.309475,-0.0884544,0.131446,0.212357,0.0895762,0.121577,0.159981,0.193079,0.153509,-0.039337,0.368482,-0.225624
45.5849,0.678082,0.657781,3,7,0,-34.9675,6.74035,0.0279674,-0.0805793,0.0255798,-0.153835,0.853566,-0.174158,-0.188291,0.104991,-0.0324776,0.0323305,-0.0864781,0.0327443,0.0615289,-0.00032757,0.0165971,0.0132796,0.0220525,0.0321129,-0.00540451,0.0253898,-0.0210322,0.601908,0.201823,-0.0161017,0.0656463,0.0199992,1.15715,-0.726039,-2.40183,0.583613,-0.594329,0.452732,-0.0745134,0.152507,0.170239,0.0355038,0.082712,0.0755333,0.119074,0.106817,-0.0490879,0.346355,-0.237721
43.1988,0.701142,0.657781,3,7,0,-32.7467,6.7055,0.0291803,-0.104503,0.0310318,-0.20941,0.856169,-0.14308,-0.174621,0.104287,-0.00413417,0.0204675,-0.113394,-0.00675634,0.0485216,0.0072528,-0.0135317,0.0331037,0.0235304,0.0405454,-0.0132468,0.0232874,-0.0382304,0.589244,0.508027,-0.0363965,0.0365529,-0.11485,1.15324,-0.553872,-2.00117,0.718108,-0.342371,0.361882,-0.108522,0.0534938,0.136295,0.0268968,-0.0245311,0.112157,0.0811593,0.0833588,-0.133274,0.270116,-0.432107
45.5141,0.816235,0.657781,3,7,0,-32.2393,6.74768,0.0303318,-0.0789567,0.0299228,-0.1594,0.853143,-0.172755,-0.185479,0.0984386,-0.0316584,0.0321309,-0.0924829,0.0349026,0.0571499,0.00665565,0.0290707,0.0141718,0.0240335,0.0399061,-0.0145511,0.0214192,-0.0215467,0.594196,0.17999,-0.0145546,0.0760085,0.00245526,1.15255,-0.699822,-2.39103,0.520603,-0.583634,0.434342,-0.0818992,0.151375,0.159808,0.0550678,0.108739,0.0647983,0.110193,0.110545,-0.103517,0.28264,-0.243536
47.852,0.866292,0.657781,3,7,0,-36.3199,6.7415,0.0423933,-0.0993233,0.0307786,-0.161025,0.855727,-0.168393,-0.171562,0.103694,-0.0316144,0.0283374,-0.101235,0.0294958,0.0585537,0.00952582,0.010057,0.00709441,0.0186038,0.0493872,-0.0070933,0.029756,-0.0254705,0.590864,0.506151,-0.0358281,0.0724293,-0.0165208,1.16206,-0.676373,-2.11914,0.568223,-0.602643,0.435535,-0.0862281,0.140526,0.162839,0.0602773,0.0671301,0.0632038,0.1147,0.172392,-0.0634883,0.403854,-0.287886
46.8011,0.712614,0.657781,3,7,0,-37.3526,6.71209,0.0187143,-0.0874711,0.0154689,-0.195377,0.856876,-0.151536,-0.186168,0.102411,-0.00720524,0.0166512,-0.0992695,-0.00355713,0.0575471,-0.000755346,0.0194173,0.0404156,0.0263127,0.0235747,-0.0107453,0.0101645,-0.0295269,0.600647,0.273427,-0.0217695,0.00290841,-0.0718425,1.14645,-0.593112,-2.23243,0.693336,-0.31796,0.272968,-0.0949929,0.0749406,0.1608,0.0259457,0.0726051,0.130199,0.0848147,0.0211313,-0.1145,0.0856569,-0.333735
49.767,0.957201,0.657781,3,7,0,-40.3646,6.74406,0.0370939,-0.0967819,0.0328732,-0.172085,0.84848,-0.15346,-0.175844,0.0997938,-0.0229735,0.0243257,-0.0889788,0.0124546,0.06648,0.0140409,-0.00426079,0.0244424,0.0205493,0.0431353,-0.0220681,0.0189192,-0.0339733,0.601001,0.424561,-0.0305919,0.0759183,-0.0141462,1.13094,-0.642677,-2.17021,0.606045,-0.49698,0.408841,-0.0890789,0.117078,0.185441,0.0370838,-0.0163842,0.0649497,0.0507669,0.075109,-0.175316,0.21213,-0.38399
49.7625,0.754917,0.657781,3,7,0,-41.3203,6.70907,0.0230031,-0.0850365,0.0169849,-0.193162,0.862769,-0.162885,-0.187313,0.101021,-0.0173647,0.0298723,-0.110805,0.00548847,0.0450401,0.00308312,0.014458,0.0179087,0.0266195,0.0299072,0.00379042,0.0227765,-0.0249729,0.587652,0.258239,-0.0198928,0.00716756,-0.0849777,1.17372,-0.621815,-2.32218,0.605867,-0.47137,0.410869,-0.0937793,0.0748171,0.12551,0.0532389,0.0907429,0.104684,0.152901,0.111051,-0.0121971,0.295374,-0.282262
42.8628,0.54464,0.657781,3,7,0,-37.3441,6.71055,0.0370468,-0.10209,0.0486193,-0.167695,0.862752,-0.159354,-0.178568,0.124775,-0.00236149,0.054411,-0.0964866,0.0280816,0.0472773,0.0084113,0.0245809,0.0304766,0.0223136,0.0468652,-0.0167193,0.0234985,-0.0245945,0.59703,0.510509,-0.0366203,0.116329,0.0259526,1.1629,-0.661189,-1.9567,0.780024,-0.389461,0.668579,-0.0855274,0.124357,0.133986,0.0656046,0.106171,0.124414,0.100753,0.130586,-0.119818,0.307676,-0.277985
