# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_pcount_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.607436
# Diagonal elements of inverse mass matrix:
# 0.000179237, 0.000156378, 0.000147789, 0.000169937, 0.000156283, 0.000159263, 0.000130112, 0.000141109, 0.000140207, 0.00012665, 0.000135307, 0.000135952, 0.000164679, 0.000171509, 0.00015351, 0.000145916, 0.000137302, 0.000156364, 0.000161883, 0.000153005, 0.00013649, 0.000138236, 0.000201469
36.158,0.872711,0.607436,3,7,0,-29.701,6.72263,0.202526,-0.105536,-0.00101116,-0.159569,0.868292,-0.158962,-0.15065,0.0893625,-0.0228057,0.041619,-0.108182,0.0139898,0.0754552,0.00262634,0.0132623,0.0147756,0.0148939,0.0320185,-0.00480469,0.0287228,-0.0419512,0.596386,0.0517755,-0.00466153,-0.0225156,-0.0722859,1.18084,-0.602559,-1.87076,0.492996,-0.535104,0.564104,-0.103772,0.125898,0.197406,0.0209499,0.0419694,0.0458124,0.0469871,0.0674384,-0.0902231,0.346437,-0.473984
44.5402,0.991349,0.607436,3,7,0,-28.5309,6.7226,0.17442,-0.119781,0.0462613,-0.151004,0.853867,-0.162122,-0.178181,0.108445,-0.00800375,0.0414107,-0.0792172,0.0121869,0.0373224,0.00334012,0.0209576,0.0163444,0.0271694,0.0232749,-0.0131119,0.0297333,-0.0232178,0.605032,0.0510831,-0.00768446,0.120546,-0.00697243,1.14778,-0.669752,-2.1155,0.686177,-0.332178,0.482521,-0.0735973,0.071921,0.0958219,0.0342232,0.0755488,0.0623238,0.112857,0.0476432,-0.0900936,0.409268,-0.262326
41.4177,0.774967,0.607436,3,7,0,-32.5391,6.71923,0.170048,-0.0987718,0.0459424,-0.141504,0.86493,-0.163029,-0.180462,0.123263,-0.0154862,0.0197427,-0.109249,0.0392315,0.0374934,0.00694411,-0.0118529,0.0154703,0.0155976,0.0307154,-0.00397702,0.0236004,-0.041123,0.603882,-0.0107156,-0.000147546,0.118105,-0.0287073,1.19187,-0.643413,-2.06103,0.826221,-0.381138,0.299158,-0.10639,0.128423,0.0993617,0.0158551,-0.0338284,0.0462024,0.0478015,0.0603702,-0.0896557,0.267981,-0.464626
40.827,0.939539,0.607436,3,7,0,-32.3148,6.73848,0.165702,-0.111763,0.00410221,-0.16241,0.823973,-0.164681,-0.181345,0.0815819,-0.0264279,0.0368816,-0.0798157,-0.00646463,0.0738055,0.000339884,0.0207912,0.022069,0.0260715,0.0402056,-0.0137862,0.0216084,-0.0151656,0.589083,0.0259192,-0.00527369,0.00290002,-0.0674062,1.11847,-0.655359,-2.41504,0.401658,-0.519856,0.50801,-0.0687739,0.0802236,0.191569,0.0440525,0.0999384,0.108025,0.135059,0.127848,-0.0842202,0.301711,-0.171349
42.0663,1,0.607436,3,7,0,-31.5368,6.72611,0.158343,-0.0841311,0.0439061,-0.159801,0.859331,-0.171787,-0.188041,0.103638,-0.0147082,0.0327939,-0.0916944,0.0198756,0.0528982,-0.00807828,-0.00585995,0.0230143,-0.00879747,0.0239751,-0.0010623,0.0298519,-0.0173417,0.605597,-0.123409,0.0115136,0.11151,-0.0419542,1.1842,-0.714833,-2.31138,0.652621,-0.407559,0.471273,-0.0823828,0.109229,0.139655,-0.00244837,0.0117301,0.102454,-0.0220684,0.0960531,-0.0121672,0.425857,-0.195935
38.2264,0.88153,0.607436,3,7,0,-29.1681,6.74619,0.176048,-0.113699,0.0261753,-0.143742,0.813145,-0.172731,-0.173506,0.106062,-0.0530006,0.0259453,-0.0927356,0.0211507,0.0585608,0.0231592,0.00621326,0.0286449,0.0260346,0.0407654,-0.0301042,0.0186477,-0.0070792,0.599501,0.060284,-0.00752442,0.0936333,-0.0708436,1.12575,-0.675643,-2.26257,0.491065,-0.728417,0.378321,-0.0853143,0.115963,0.151727,0.0836644,0.0392755,0.107397,0.105832,0.0999026,-0.15584,0.275428,-0.0799841
