# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_upload_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.562885
# Diagonal elements of inverse mass matrix:
# 0.000147605, 0.000130527, 0.000148545, 0.000154314, 0.000151027, 0.000139874, 0.000153675, 0.000148763, 0.000124332, 0.000121542, 0.000152069, 0.000142715, 0.000151744, 0.000174216, 0.000173433, 0.000160349, 0.000158788, 0.000125449, 0.000152043, 0.000168231, 0.000136373, 0.000161447, 0.000192753
49.8431,0.953069,0.562885,3,7,0,-38.3141,6.71506,0.15085,-0.124503,0.0257391,-0.150448,0.857079,-0.147683,-0.181667,0.102027,-0.0157719,0.0191862,-0.115065,0.000877661,0.0581445,0.00899888,0.0148825,0.0247823,0.0049273,0.0304208,-0.0182569,0.00786211,-0.025922,0.584585,-0.128691,0.00821617,0.0571778,-0.0990941,1.17358,-0.567697,-2.25058,0.65213,-0.413073,0.312732,-0.111886,0.0782564,0.156873,0.0251147,0.0270066,0.0526217,-0.0283808,0.0356944,-0.14832,0.0593527,-0.292803
49.3912,0.955867,0.562885,3,7,0,-42.1672,6.73143,0.140918,-0.137328,0.0303593,-0.143628,0.857839,-0.158589,-0.148836,0.111859,-0.0191529,0.036966,-0.0896402,0.0203436,0.0676935,0.0207451,-0.00714593,0.00625594,0.0210369,0.0502818,-0.00908301,0.0195094,-0.0214984,0.590359,-0.0529531,-0.00140246,0.0724837,-0.0683244,1.1618,-0.66469,-1.70103,0.659768,-0.507106,0.547077,-0.076462,0.129259,0.183069,0.0752874,0.0106541,0.0550813,0.120775,0.168956,-0.075712,0.253465,-0.242837
51.6622,1,0.562885,3,7,0,-44.7869,6.72246,0.140423,-0.146167,0.0184444,-0.137423,0.853481,-0.151188,-0.16024,0.101228,-0.0269083,0.0203646,-0.0802578,0.0191712,0.0665211,0.000150293,2.85396e-05,0.0152286,0.0326633,0.0444909,0.00411721,0.0197492,-0.0146546,0.589526,0.0233318,-0.0091152,0.0384697,-0.0697172,1.15457,-0.607295,-1.96863,0.570207,-0.516825,0.358123,-0.0592723,0.126154,0.178867,0.0550327,0.0751525,0.129926,0.219829,0.1948,0.0110128,0.274203,-0.165532
52.0106,0.908126,0.562885,3,7,0,-44.0305,6.72371,0.155704,-0.11799,0.0335767,-0.138388,0.835725,-0.144955,-0.181785,0.0918044,-0.0392806,0.0316187,-0.090769,0.011367,0.0440028,0.00814909,0.00498728,0.0251911,0.022227,0.0352365,-0.0239108,0.0318601,-0.0308585,0.59791,-0.159727,0.0124394,0.101566,-0.068773,1.13685,-0.574324,-2.43788,0.456266,-0.646297,0.434819,-0.0884092,0.0809405,0.119762,0.0267916,0.0117337,0.0699437,0.0621343,0.0562926,-0.162565,0.424461,-0.348564
50.8836,0.725272,0.562885,3,7,0,-40.5109,6.72555,0.145373,-0.148853,0.0142647,-0.139466,0.864906,-0.167368,-0.168274,0.102394,-0.00504616,0.0206384,-0.0873049,0.0179465,0.0776756,0.00109891,0.00971956,0.0170168,0.0273345,0.0360858,-0.000573883,0.012923,-0.0217961,0.591224,0.0367885,-0.010131,0.0174961,-0.0521133,1.17134,-0.686837,-1.99739,0.676039,-0.32077,0.357245,-0.0733046,0.139166,0.208853,0.0402221,0.0695076,0.095179,0.14993,0.123057,-0.0382929,0.149161,-0.246199
47.9544,0.669174,0.562885,3,7,0,-34.7427,6.73117,0.159755,-0.116444,0.0361411,-0.138749,0.834246,-0.141613,-0.174602,0.0910592,-0.0555862,0.0319461,-0.0940723,0.0105315,0.0425668,0.00804577,0.00470873,0.0255484,0.0126149,0.0364116,-0.0242628,0.0281271,-0.0289473,0.599431,-0.164593,0.0132191,0.11862,-0.0881397,1.13898,-0.549756,-2.40083,0.388293,-0.794969,0.440679,-0.0921762,0.077041,0.115846,0.02286,0.00594008,0.0659266,0.0149649,0.0604637,-0.16433,0.370501,-0.326976
