# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.570429
# Diagonal elements of inverse mass matrix:
# 0.000168011, 0.000162323, 0.000155924, 0.000164229, 0.00016694, 0.000157507, 0.000183601, 0.000156083, 0.000162896, 0.000171759, 0.000150171, 0.000180004, 0.000139449, 0.000192448, 0.000133819, 0.000150646, 0.000155075, 0.000163454, 0.000152013, 0.000152615, 0.000165268, 0.000169683, 0.000134891, 0.000172858, 0.000150941, 0.000168475, 0.000151173, 0.000174461, 0.000159253, 8.94431e-05
-2999.56,0.970333,0.570429,3,7,0,3015.14,5.89162,0.0747199,0.0193487,-0.0886559,0.0398563,-0.0839285,-0.00748375,0.387727,0.250857,-0.605546,-0.847067,-0.0993248,0.838426,-0.0258417,-0.102358,0.14543,0.208475,0.102834,0.000570688,0.00434722,0.0890181,-0.0359517,0.00525092,0.0192108,0.0188183,-0.0166443,-0.0331758,0.00147557,-0.0312973,0.981666,0.545691,-0.0319821,-0.37918,0.0315872,-0.0268725,0.00514901,-0.0105579,0.128152,-0.802716,-0.65083,-0.20687,0.93269,-0.479555,-0.440794,1.2363,0.897722,0.880013,-0.0229507,0.133144,0.248866,-0.139297,-0.0649419,-0.0351546,-0.039294,-0.225194,-0.256342,-0.032083,-0.413364
-3007.76,0.787566,0.570429,3,7,0,3018.25,5.8983,0.0568606,0.0215871,-0.103962,0.0568248,-0.0783939,-0.00769874,0.390332,0.246507,-0.581871,-0.839492,-0.0984016,0.834386,-0.0471739,-0.104164,0.146353,0.205884,0.097063,-0.0110777,-0.00196943,0.126825,-0.0422701,0.00365372,0.00827928,0.0245872,-0.009386,-0.0376609,-0.0290197,-0.00310776,0.977883,0.61828,-0.0385095,-0.544204,0.0457711,-0.034017,0.00619487,0.00572504,0.0871454,-0.719968,-0.590232,-0.206396,0.938751,-0.573557,-0.466202,1.26256,0.88304,0.850787,-0.0284098,0.1727,0.354733,-0.154535,-0.066671,-0.0671369,0.0087756,-0.183631,-0.266885,-0.516817,-0.0410462
-3008.69,0.95219,0.570429,3,7,0,3027.98,5.85643,0.0224169,-0.00433863,-0.0718718,0.0563101,-0.110212,-0.0470168,0.369938,0.236541,-0.633013,-0.85633,-0.0932614,0.820178,-0.0331649,-0.0935786,0.178791,0.221993,0.104735,-0.00726557,0.0228533,0.0567283,-0.0277611,0.00163406,0.0348823,0.00873785,0.0294051,-0.001907,0.0128011,-0.0377771,0.966665,1.02914,-0.0729062,-0.4256,0.0430146,0.102165,-0.0122162,-0.104416,0.111243,-0.880278,-0.695989,-0.219861,0.930126,-0.510228,-0.273192,1.42331,0.977992,0.894095,-0.00377766,0.125375,0.156955,-0.0431558,0.0365275,0.151009,0.0435758,0.102143,-0.0646343,0.155342,-0.498947
-3010.1,0.934107,0.570429,3,7,0,3029.05,5.87526,0.0420313,0.0189903,-0.0689259,0.0637236,-0.0955166,0.00483412,0.412878,0.229803,-0.597845,-0.849261,-0.0674445,0.7895,-0.0263179,-0.0962299,0.151031,0.21515,0.116026,-0.0221053,0.00414291,0.093677,-0.0300653,-0.00503577,-0.000675849,0.0264899,-0.00529531,-0.0124785,-0.0311465,-0.0167785,0.989529,0.677276,-0.0468738,-0.414989,0.0411188,-0.0730747,0.00932405,-0.0367373,0.10032,-0.828589,-0.781704,-0.153144,0.89619,-0.456358,-0.381881,1.2585,0.89699,0.985833,-0.0317358,0.139625,0.261851,-0.110918,-0.0658243,-0.0630609,0.0676674,-0.119263,-0.139647,-0.579635,-0.221605
-3001.65,1,0.570429,3,7,0,3021.67,5.88164,0.0573518,0.00179016,-0.0927363,0.0442179,-0.0715486,-0.0407852,0.357749,0.234456,-0.623579,-0.860935,-0.116591,0.84318,-0.0544791,-0.0998368,0.160579,0.233304,0.0835448,-0.00692517,0.0125488,0.0910168,-0.0376131,0.000681003,0.0317216,0.023797,0.0122302,-0.0259635,0.0160761,-0.0176518,0.967183,0.807501,-0.0515186,-0.43531,0.0362931,0.105458,-0.0085764,-0.112562,0.055906,-0.82168,-0.567054,-0.273813,0.950143,-0.59532,-0.367776,1.35091,1.08014,0.733632,-0.0092715,0.151683,0.252821,-0.090612,0.00116902,0.102734,0.0827113,-0.0168321,-0.172329,0.250357,-0.233139
-2999.3,0.856033,0.570429,3,7,0,3017.54,5.87631,0.0269777,0.0114341,-0.0766839,0.0476023,-0.0993341,-0.0120794,0.40414,0.245988,-0.592624,-0.857081,-0.0828925,0.809004,-0.0198352,-0.102044,0.147967,0.2201,0.12328,-0.0260096,0.0207918,0.086972,-0.0211222,0.0235497,0.0206673,0.026374,0.00419092,-0.0283073,-0.0172019,-0.0248349,0.978099,0.688477,-0.0489672,-0.322731,0.0309909,-0.0109867,0.00209011,-0.0105311,0.127131,-0.796438,-0.755215,-0.201777,0.912815,-0.400209,-0.425226,1.19563,0.920187,1.03341,-0.0360615,0.165333,0.245367,-0.0680405,0.0268156,0.00657794,0.040312,-0.110301,-0.235428,-0.349013,-0.328012
