# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_download_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.624537
# Diagonal elements of inverse mass matrix:
# 0.000174185, 0.000138184, 0.000165724, 0.000178502, 0.0001466, 0.000144631, 0.000148097, 0.000179405, 0.000172796, 0.000172648, 0.000143872, 0.000125802, 0.000152233, 0.000155107, 0.000161621, 0.000150216, 0.000178312, 0.000179752, 0.000166177, 0.00013416, 0.000151586, 0.000155131, 0.00014407, 0.00015738, 0.000132294, 9.95734e-05
-3002.99,0.563785,0.624537,3,7,0,3026.26,5.87245,0.0492377,0.0170957,0.397582,0.232542,-0.632272,-0.858045,-0.101385,0.841664,-0.0659985,-0.1006,0.167772,0.217975,0.0977356,-0.0100269,0.00501675,0.09607,-0.035299,0.0159148,0.0208615,0.0121183,-0.00511833,-0.00849087,0.00444577,-0.0244918,0.957678,0.303849,-0.0213656,-0.123552,0.0617639,-0.880912,-0.691193,-0.179769,0.937841,-0.612594,-0.367271,1.37877,0.961209,0.833323,-0.016274,0.142878,0.265783,-0.0880023,0.0330249,0.0458219,0.0124802,-0.0841763,-0.0900481,0.0327185,-0.323308
-3001.19,0.882439,0.624537,3,7,0,3013.48,5.87589,0.0314823,0.00898046,0.39231,0.251319,-0.593663,-0.828302,-0.103297,0.825622,-0.0441175,-0.108983,0.166114,0.225224,0.103052,-0.0294644,0.0281375,0.0898123,-0.021561,-0.00449448,0.0228519,0.0313412,0.0141406,-0.0274322,-0.0251543,-0.0290317,0.989664,0.40972,-0.0299292,-0.0597529,0.119521,-0.782814,-0.657694,-0.214138,0.92295,-0.483188,-0.461581,1.34426,0.987191,0.866573,-0.0411241,0.182072,0.251012,-0.0812707,-0.0560591,0.0238955,0.0756024,-0.0669202,-0.24273,-0.495989,-0.383237
-3001.59,0.938318,0.624537,3,7,0,3009.59,5.87781,0.0503376,0.0214115,0.400711,0.24908,-0.61658,-0.852083,-0.104152,0.849793,-0.0653943,-0.0912122,0.172289,0.216216,0.0991675,-0.0108009,0.00228,0.0913774,-0.0424402,0.0125301,0.0314193,0.00983339,0.00272403,0.000123337,0.0114455,-0.0190417,0.956483,0.214989,-0.015002,-0.0713634,0.0869287,-0.810444,-0.635836,-0.187853,0.949696,-0.607419,-0.269775,1.3894,0.948052,0.85244,-0.00656591,0.130605,0.25176,-0.0801616,0.0620949,0.129068,0.044779,-0.00517474,-0.0212438,0.165863,-0.251363
-3003.39,0.711064,0.624537,3,7,0,3014.79,5.88305,0.0402512,-0.00533874,0.389116,0.246775,-0.583563,-0.833553,-0.0966736,0.821357,-0.0423833,-0.0973672,0.163801,0.22883,0.102412,-0.0330626,0.0217691,0.0943002,-0.0241428,0.00837241,0.0301242,0.0283879,0.00840066,-0.0260362,-0.0330757,-0.022391,0.988895,0.640718,-0.0452821,-0.0785861,0.10081,-0.753156,-0.664197,-0.202177,0.917017,-0.458567,-0.35944,1.3254,1.01319,0.859594,-0.0423388,0.17617,0.264116,-0.0773046,-0.0116626,0.051343,0.0565353,-0.0903846,-0.230672,-0.622907,-0.295576
-3005.31,0.548333,0.624537,3,7,0,3024.28,5.88151,0.0634613,0.0312384,0.393528,0.264901,-0.621265,-0.852462,-0.102383,0.845233,-0.0593796,-0.107987,0.177942,0.224012,0.118342,-0.00794767,0.00110907,0.0813844,-0.0412508,-0.00950774,0.0247652,0.00372671,0.00201027,-0.00241821,0.00286059,-0.0374189,0.963693,0.115717,-0.00631514,-0.0704648,0.166609,-0.847449,-0.716621,-0.196998,0.947665,-0.621504,-0.409122,1.43832,0.942711,1.00683,-0.0175137,0.113499,0.223349,-0.118211,-0.0488308,0.0600406,-0.0341485,-0.0532838,-0.0779387,-0.0191209,-0.493954
-3006.06,0.932339,0.624537,3,7,0,3016.61,5.86607,0.0311063,-0.00239844,0.415653,0.230408,-0.605612,-0.821995,-0.104362,0.835132,-0.0655396,-0.0841206,0.17559,0.226885,0.108141,-0.0264071,0.01261,0.0952121,-0.0339185,-0.00158253,0.0374006,0.0475711,-0.00424897,-0.0120455,-0.0129734,-0.03194,0.989914,0.504092,-0.0367249,-0.0174253,0.0726874,-0.766059,-0.568569,-0.221999,0.939806,-0.5923,-0.206734,1.41722,0.986142,0.907576,-0.0303882,0.158989,0.264857,-0.0859001,-0.0115899,0.113489,0.192776,-0.117307,-0.142559,-0.287276,-0.421628
