# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_pcount_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.537806
# Diagonal elements of inverse mass matrix:
# 0.000136524, 0.000168997, 0.000126187, 0.000141901, 0.000145312, 0.000204007, 0.000125565, 0.000137235, 0.000180338, 0.000159692, 0.00016283, 0.000146403, 0.000190045, 0.000155469, 0.00012465, 0.000157214, 0.000161537, 0.00015332, 0.000161704, 0.000154755, 0.000141755, 0.000136423, 0.000166471, 0.000160102, 0.000165154, 9.29084e-05
-3004.63,0.92735,0.537806,3,7,0,3020.2,5.88937,-0.112162,-0.00918364,0.391812,0.244017,-0.615176,-0.838598,-0.104923,0.829395,-0.0654669,-0.076831,0.165204,0.211825,0.113065,-0.0108658,0.0282411,0.101083,-0.0446528,0.00527318,0.0281421,0.0167947,0.0147245,0.00454287,0.0121449,-0.0324554,0.966788,0.0186002,-0.000802232,-0.00302443,0.104424,-0.816828,-0.608333,-0.223136,0.93754,-0.595465,-0.145315,1.30838,0.886159,0.983817,-0.00449136,0.190825,0.271739,-0.0850586,0.0454889,0.127398,0.0945033,0.0487278,-0.0174233,0.153469,-0.42828
-3005.26,0.899845,0.537806,3,7,0,3013.87,5.86217,-0.125005,-0.0128928,0.365452,0.251786,-0.590254,-0.850752,-0.0768262,0.82906,-0.0405507,-0.111013,0.174734,0.218329,0.0754949,-0.0126416,0.0121744,0.0892397,-0.0315219,0.0138204,0.0142145,0.0191244,0.0027696,-0.0113161,-0.00167187,-0.029891,0.989222,0.0217937,-0.00200267,-0.126269,0.113921,-0.75572,-0.680495,-0.117729,0.926143,-0.476376,-0.447605,1.45688,1.02,0.656283,-0.0189736,0.142829,0.241085,-0.0860682,0.0174647,0.0144148,0.0449648,-0.0643799,-0.12276,-0.0846158,-0.39444
-3004.22,0.96348,0.537806,3,7,0,3013.58,5.87482,-0.119846,-0.0167223,0.374092,0.223129,-0.602723,-0.846967,-0.107935,0.825124,-0.0575603,-0.109306,0.173197,0.240264,0.1228,-0.00703582,0.0178146,0.0953323,-0.0252613,0.00141928,0.036724,0.0190124,0.00561985,0.00609473,-0.00475041,-0.0160171,0.962827,0.0276356,-0.00302685,-0.0729232,0.0915376,-0.808234,-0.678646,-0.25682,0.932979,-0.572832,-0.401461,1.36911,1.03508,1.05804,0.000579129,0.162133,0.255903,-0.0340912,0.0411183,0.165879,0.109185,0.0149921,0.00354905,-0.113083,-0.21136
-3004.87,0.963575,0.537806,3,7,0,3013.89,5.87482,-0.123465,0.0239682,0.378894,0.269559,-0.606997,-0.846967,-0.0908105,0.834001,-0.05414,-0.0997222,0.161389,0.200383,0.0801433,-0.0280508,0.0194,0.0837386,-0.0405602,0.00746936,0.0218777,0.0161167,0.0128461,-0.0338153,-0.0101508,-0.0283594,0.983062,-0.0776352,0.0103006,-0.0544898,0.128061,-0.788969,-0.627457,-0.150607,0.934962,-0.508179,-0.398287,1.32923,0.904193,0.69201,-0.0410874,0.150105,0.227385,-0.131067,-0.0326907,0.00525625,-0.0201845,-0.0749456,-0.264451,-0.230798,-0.374229
-3009.14,0.766199,0.537806,3,7,0,3018.39,5.87435,-0.124377,0.000839072,0.384377,0.233833,-0.622709,-0.845293,-0.114545,0.823291,-0.0347029,-0.122531,0.167696,0.228895,0.11153,-0.0111523,0.000507614,0.0934601,-0.0284749,-0.0243462,0.0439917,0.0272711,0.0203871,-0.0273125,0.00275993,-0.0144585,0.95785,-0.0241142,0.00309257,-0.0481457,0.11516,-0.881085,-0.705645,-0.262104,0.924826,-0.479,-0.546803,1.34562,0.98942,0.973729,-0.0137336,0.124002,0.252938,-0.0744975,-0.0692438,0.158203,0.105414,0.0164112,-0.187369,0.0217875,-0.190793
-3009.06,0.997119,0.537806,3,7,0,3022.12,5.88054,-0.115572,-0.00416159,0.373478,0.257936,-0.598356,-0.853508,-0.081089,0.839177,-0.069575,-0.0718647,0.168323,0.204122,0.088266,-0.0213821,0.0296468,0.0820081,-0.0408063,0.0305647,0.0103262,0.0134983,-0.00457822,0.00135012,-0.0140474,-0.0272561,0.987377,0.0113512,0.000319039,-0.0829881,0.0918722,-0.742274,-0.613358,-0.129202,0.943824,-0.577117,-0.121913,1.37011,0.912431,0.750159,-0.0231135,0.169372,0.22075,-0.0971205,0.0749453,0.00538172,0.0254763,-0.0780857,-0.0545022,-0.297242,-0.35967
