# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_upload_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.576095
# Diagonal elements of inverse mass matrix:
# 0.000164312, 0.00017903, 0.00016406, 0.00019961, 0.0001867, 0.000169526, 0.000145894, 0.000160612, 0.000172322, 0.000146563, 0.000169662, 0.000169028, 0.000156327, 0.000159236, 0.000171682, 0.000153381, 0.000166131, 0.000145662, 0.000168116, 0.000158033, 0.000138369, 0.000146824, 0.000148967, 0.000172063, 0.000158815, 9.62234e-05
-3005.73,1,0.576095,3,7,0,3024.64,5.87335,-0.0087837,0.0712935,0.381191,0.265183,-0.600315,-0.859815,-0.0851737,0.82876,-0.0422851,-0.122508,0.159665,0.223588,0.109647,0.00202169,0.010822,0.0802029,-0.0266052,0.0144399,0.0302021,0.0317891,0.00133617,-0.0244562,0.0100966,-0.0285271,0.965762,-0.29744,0.0310635,-0.0813923,0.162761,-0.807423,-0.74419,-0.170094,0.924696,-0.515119,-0.569481,1.2976,0.97177,0.931289,-0.00528248,0.130754,0.221431,-0.0704588,0.022369,0.0717055,0.0988968,-0.093018,-0.187906,0.125026,-0.376425
-3005.45,0.996691,0.576095,3,7,0,3015.46,5.88112,-0.0799208,0.038875,0.400544,0.229676,-0.614731,-0.83685,-0.104477,0.830582,-0.0560487,-0.0722188,0.167295,0.221602,0.0925792,-0.0196446,0.0241536,0.106683,-0.0401212,-0.00916859,0.0265094,0.00815553,0.0150564,-0.0129071,-0.029139,-0.0174383,0.980992,-0.187519,0.0118599,-0.035673,0.0351799,-0.789123,-0.55365,-0.245591,0.939227,-0.559346,-0.131034,1.37624,0.984209,0.809376,-0.0229263,0.193918,0.295124,-0.115411,-0.0503336,0.0637735,-0.0148102,-0.0112671,-0.140383,-0.545297,-0.230104
-2997.88,0.747007,0.576095,3,7,0,3021.12,5.87694,-0.0283248,0.0630387,0.412357,0.256099,-0.603214,-0.861623,-0.0773795,0.822209,-0.0529935,-0.107544,0.156917,0.223892,0.0975311,-0.00320736,0.017198,0.0893831,-0.0255505,-0.000293171,0.0306593,0.0260521,-0.002158,-0.0146188,0.0027252,-0.020265,0.969339,-0.258338,0.0253718,-0.0519204,0.124094,-0.810652,-0.715257,-0.146739,0.921086,-0.547168,-0.45278,1.28823,0.998024,0.837306,-0.00625542,0.156313,0.24637,-0.0668259,-0.0102589,0.0911291,0.0898689,-0.0796532,-0.121554,0.0105137,-0.267403
-3004.85,0.733548,0.576095,3,7,0,3010.75,5.89741,-0.0463574,0.0607575,0.38999,0.244081,-0.594696,-0.823982,-0.110335,0.846046,-0.0454333,-0.103883,0.179153,0.220672,0.115954,0.0038019,0.0258438,0.0943774,-0.0547714,-0.0116563,0.0382784,0.0219852,0.0220967,-0.0119776,-0.032686,-0.0254677,0.970811,-0.363392,0.0324716,0.00900374,0.111459,-0.736678,-0.581456,-0.258493,0.954785,-0.578435,-0.380582,1.44741,0.924023,1.00206,-0.00291936,0.180798,0.260653,-0.141479,-0.0429252,0.120822,0.0652917,0.0118251,-0.152746,-0.622595,-0.336055
-3001.72,0.915808,0.576095,3,7,0,3017.14,5.85531,-0.0520896,0.0521846,0.390049,0.248545,-0.600609,-0.8678,-0.0850511,0.812845,-0.0498955,-0.0925118,0.151123,0.217335,0.0961931,-0.0188272,0.018704,0.0900187,-0.0207855,0.0211505,0.025218,0.0175334,-0.0133681,-0.0204101,0.0124833,-0.0254374,0.976229,-0.176047,0.014582,-0.0962518,0.071428,-0.811505,-0.730741,-0.176159,0.9111,-0.494882,-0.33313,1.23632,0.969081,0.81593,-0.0239167,0.160277,0.248287,-0.0634372,0.0284107,0.0373048,0.00979863,-0.152646,-0.155344,0.172762,-0.335655
-3002.61,0.847894,0.576095,3,7,0,3013.96,5.88959,-0.0257015,0.049883,0.388231,0.248332,-0.616168,-0.830969,-0.104622,0.846423,-0.048195,-0.0921972,0.161389,0.223168,0.109019,0.00156386,0.011316,0.100177,-0.0258215,-0.013204,0.0130221,0.0277305,0.0364632,-0.0123272,-0.0228284,-0.0268721,0.967007,-0.232806,0.0215922,-0.0256526,0.125727,-0.798031,-0.56939,-0.23296,0.945654,-0.552274,-0.298183,1.31339,0.954711,0.948081,-0.001205,0.158295,0.277675,-0.0698645,-0.0437746,0.0399569,0.125287,0.0941452,-0.146766,-0.451628,-0.354587
