# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_beta_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_full_pdw2_all_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.333935
# Diagonal elements of inverse mass matrix:
# 0.0134528, 0.00769029, 0.00526512, 0.00932013, 0.00476084, 0.00689117, 0.00590393, 0.00186483, 0.00808993, 0.0108046, 0.0320345, 0.00420086, 0.00452148, 0.0168661, 0.00328505, 0.0603003, 0.00694748, 0.00562837, 0.00549201, 0.00947153, 0.0165576, 0.00939384, 0.00850572, 0.0070297, 0.00794903, 0.00971843, 0.00585214, 0.0149685, 0.0130201, 0.0255857, 0.0229471, 0.00762368, 0.00885504, 0.00474259, 0.0026781, 0.0165836, 0.00347446, 0.00587262, 0.0106092, 0.00752152, 0.0518839, 0.00658014, 0.0391102, 0.00973075, 0.00292375, 0.0208776, 0.0769665, 0.00375337, 0.004052, 0.00888593, 0.00719043, 0.0164662, 0.00227371, 0.00191693, 0.00248262, 0.00322765, 0.000166897, 0.000144115, 0.000221306, 0.000177975, 0.000218179, 0.000162439, 0.000205876, 0.000162653, 0.000205996, 0.000260074, 0.000174791, 0.000189179, 0.000182189, 0.000156815, 0.000205117, 0.000114981, 0.000146919, 0.000120401, 0.00014302, 0.000127472, 0.000138373, 0.000138487, 0.000147106, 0.000130409, 0.000152317, 0.0209112, 0.000780222
2741.11,0.86031,0.333935,4,15,0,-2692.88,-1.61182,-1.64206,-1.20245,-1.52523,-1.44944,-1.18345,-1.66065,-1.40497,-1.9252,-1.60453,-1.26286,-1.15549,-1.23606,-1.18,-1.76642,-1.97376,-1.19719,-1.65725,-1.26389,-1.71488,-1.42888,-1.21481,-1.54274,-1.7891,-1.50633,-1.50394,-1.38813,-1.63189,-1.4064,-1.1515,-1.37813,-1.63031,-1.31035,-1.95157,-0.768215,-1.46727,-1.70895,-1.30552,-1.41834,-1.47941,-1.66513,-1.26161,-1.86287,-1.76666,-1.40858,-1.34222,-1.76685,-1.01956,-1.60934,-1.31006,-1.12985,-1.27608,-0.0511559,0.124979,0.0188788,-0.050544,0.0259778,0.0180105,-0.130852,0.03461,0.00050101,-0.00688818,-0.00873477,0.0113387,-0.0842712,-0.137653,-0.162229,0.0970012,-0.0755543,0.0255242,-0.0528349,0.00569996,0.064978,-0.0220075,-0.00527331,0.0237512,0.0139145,0.0134153,0.00537335,0.037086,-0.0187025,0.274127,18.1309,0.39069,-0.0277976,-0.035468,0.0020502,-0.0764169,0.00350547,0.0761453,-0.0631064,0.104272,-0.667283,-2.28748,0.429728,-0.938246,0.406498,-0.0437273,0.102357,0.177903,-0.0238867,0.0354993,0.126923,0.0999776,0.0737389,0.0283994,0.53628,-0.212217,-0.0441648,0.0647876,0.189753,-0.0094337
2752.85,0.943536,0.333935,4,15,0,-2706.52,-1.78235,-1.55333,-1.39337,-1.3191,-1.59035,-1.45257,-1.50839,-1.48824,-1.85377,-1.47675,-1.55095,-1.24592,-1.31162,-1.16431,-1.70055,-1.59588,-1.55181,-1.60863,-1.13968,-1.8252,-1.48551,-1.26531,-1.53275,-1.69244,-1.60054,-1.50918,-1.31346,-1.68967,-1.51172,-1.23793,-1.78168,-1.68669,-1.35596,-1.8347,-0.84784,-1.60038,-1.66777,-1.31478,-1.16019,-1.54031,-2.09539,-1.11453,-1.78775,-1.5989,-1.35925,-1.33031,-1.86613,-0.919548,-1.39734,-1.31599,-1.18636,-1.42616,0.0482007,0.0149754,-0.0330109,-0.0738012,0.0115973,0.0112223,-0.117505,0.0364433,0.0171528,-0.0122466,0.000882909,0.0308737,-0.0500928,-0.122503,-0.151642,0.073799,-0.0819936,0.0283307,-0.0588009,0.0180142,0.0574735,0.00177634,-0.0176868,0.0140449,0.0268522,0.024243,-0.00210071,0.0052743,-0.0102404,0.194393,19.2381,0.42887,-0.0303156,-0.0988168,0.0066779,-0.0166616,-0.000768931,0.105279,-0.0163743,0.125414,-0.567763,-2.3195,0.210667,-0.998988,0.425383,-0.0511072,0.115932,0.158228,0.0217388,-0.0153534,0.0816294,0.144567,0.0837662,-0.028833,0.0571538,-0.116197,0.0001369,0.0174202,-0.169018,-0.0137745
2743.12,0.553058,0.333935,4,31,0,-2710.66,-1.57405,-1.71495,-1.29378,-1.38348,-1.50733,-1.29069,-1.64071,-1.35342,-1.98414,-1.47618,-1.43409,-1.14993,-1.34749,-1.12467,-1.70175,-2.04373,-1.32473,-1.67368,-1.20391,-1.83164,-1.39151,-1.25216,-1.47119,-1.76399,-1.47671,-1.47384,-1.3526,-1.71647,-1.33729,-1.17766,-1.53559,-1.5988,-1.39352,-2.02713,-0.819616,-1.70809,-1.72933,-1.29441,-1.28167,-1.38418,-1.63066,-1.1538,-1.95593,-1.63835,-1.38678,-1.50045,-1.88933,-1.06308,-1.46471,-1.34437,-1.03349,-1.15307,-0.0294047,0.0531874,-0.00719249,-0.0481621,0.0251732,0.0270575,-0.122222,0.057386,0.00431661,0.000386886,0.0159214,0.0204017,-0.0734003,-0.134473,-0.16278,0.105086,-0.0903326,0.0494643,-0.0313988,0.0134166,0.0855969,-0.021316,-0.0298901,0.00710886,0.0140773,0.0156222,0.00913578,0.0334174,-0.0173568,0.244051,18.8195,0.422708,-0.0303313,-0.239055,0.0232707,-0.156173,0.0123554,0.171471,-0.0166826,0.114709,-0.726981,-2.35333,0.419241,-1.16122,0.721517,-0.0226216,0.14509,0.233975,-0.0424182,-0.0422307,0.0750221,0.112716,0.0926666,0.0475112,0.481959,-0.196947,-0.0316449,0.0317133,-0.00462607,-0.00898913
2735.64,0.910407,0.333935,4,15,0,-2705.37,-1.56918,-1.63269,-1.38012,-1.40025,-1.51953,-1.18338,-1.69243,-1.45355,-1.88052,-1.55635,-1.25658,-1.26185,-1.29651,-1.1905,-1.83906,-1.57668,-1.42961,-1.60659,-1.21709,-1.68168,-1.27517,-1.29364,-1.64805,-1.92951,-1.60278,-1.50632,-1.46059,-1.68928,-1.50875,-1.10689,-1.7376,-1.63801,-1.3874,-1.9769,-0.818079,-1.61768,-1.59669,-1.2761,-1.33567,-1.34081,-1.97612,-1.26849,-2.12605,-1.57639,-1.38001,-1.27675,-1.87292,-1.09772,-1.51959,-1.40075,-1.27078,-1.20488,0.00321043,0.0644672,0.0062301,-0.0429893,0.0146762,0.0229263,-0.116115,0.0416153,-0.00118362,-0.00951188,0.00152542,0.0359478,-0.0928174,-0.135806,-0.187996,0.0767852,-0.055659,0.0145562,-0.0607219,0.0155487,0.0435544,-0.0217939,-0.0274267,0.00825458,0.00840962,0.034425,0.00808231,0.0323891,-0.010718,0.229376,18.8882,0.344779,-0.0258707,-0.0473857,0.00679018,-0.0368485,-0.000791275,0.0902648,0.0115442,0.0960884,-0.647612,-2.70699,0.361735,-0.728162,0.305099,-0.0447147,0.0900221,0.119143,-0.0257575,-0.0117176,0.105963,0.117669,0.184518,0.0559666,0.482521,-0.121617,-0.0134366,0.0344864,0.0890257,-0.00802366
2747.7,0.90216,0.333935,4,15,0,-2700.93,-1.64529,-1.62439,-1.31354,-1.45864,-1.5306,-1.10238,-1.71084,-1.37212,-1.87952,-1.56774,-1.4225,-1.22826,-1.30765,-1.26598,-1.72879,-1.71042,-1.34577,-1.54325,-1.22938,-1.64581,-1.44564,-1.18076,-1.58858,-1.7193,-1.50393,-1.50989,-1.31632,-1.44482,-1.46819,-1.09968,-1.39372,-1.671,-1.34481,-1.96009,-0.823704,-1.64595,-1.7038,-1.31742,-1.21917,-1.43838,-1.78064,-1.18398,-1.8151,-1.6696,-1.36716,-1.47339,-1.51802,-1.10357,-1.50578,-1.44856,-1.15622,-1.23174,0.0116872,-0.0248046,0.00480449,0.0320764,0.0215926,0.00987821,-0.12115,0.0285464,0.0156909,0.000119544,0.0107833,0.0128991,-0.0724469,-0.154422,-0.16111,0.102143,-0.0714729,0.0406072,-0.0573613,0.0122528,0.0687604,-0.00374424,-0.0226071,-0.00532725,0.025986,0.0304672,0.012863,0.024485,0.00964721,0.217532,18.3376,0.376124,-0.0276395,0.0696367,-0.00798341,-0.123262,0.0105919,0.127871,-0.0570823,0.130598,-0.76168,-2.24218,0.433504,-0.977163,0.599605,-0.0305816,0.118056,0.187795,0.0432536,0.0317777,0.0992917,0.245206,0.215044,0.119519,0.409526,0.109467,0.0171694,-0.0152587,0.00318571,0.00598685
2736.73,0.562907,0.333935,4,15,0,-2701.25,-1.9299,-1.59588,-1.37166,-1.51246,-1.62738,-1.2991,-1.58236,-1.37909,-1.99127,-1.38469,-1.59533,-1.16698,-1.31717,-1.30672,-1.70176,-1.88799,-1.33397,-1.66833,-1.15499,-1.92314,-1.64775,-1.10479,-1.50017,-1.72184,-1.58289,-1.50249,-1.50963,-1.72714,-1.51729,-0.980082,-1.73612,-1.62808,-1.37497,-1.97485,-0.803554,-1.74293,-1.6967,-1.34247,-1.2495,-1.605,-2.30605,-1.26408,-2.00528,-1.77384,-1.4251,-1.50228,-2.68752,-0.925541,-1.53093,-1.14655,-1.05821,-1.39696,0.0633157,0.121412,-0.000224699,-0.011595,0.0162434,0.0192301,-0.128716,0.0246659,0.0260861,0.0025942,0.00472111,0.040521,-0.0536789,-0.138983,-0.16578,0.106216,-0.0603776,0.0329277,-0.0603071,0.0114101,0.06941,-0.0279484,-0.0276997,0.0091242,0.0282666,0.00729908,-0.0167777,0.0197211,-0.0241723,0.241262,19.1619,0.291399,-0.0204617,0.0337927,-0.00675059,-0.0851795,0.00753483,0.118093,0.0313476,0.141996,-0.724696,-2.2272,0.617422,-0.837625,0.5031,-0.067085,0.11924,0.191772,-0.104353,-0.10434,-0.000226678,0.0776217,-0.0445483,-0.123241,0.249301,-0.274282,0.030878,0.0672525,0.00998301,-0.00216414
