# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_beta_full_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_full_pdw2_download_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.329791
# Diagonal elements of inverse mass matrix:
# 0.0112159, 0.00807017, 0.00575516, 0.00842507, 0.00373011, 0.00515165, 0.00575752, 0.00162927, 0.008066, 0.0101974, 0.0320497, 0.00469427, 0.00366668, 0.0178316, 0.00254285, 0.045705, 0.007528, 0.0060696, 0.00516373, 0.0109604, 0.0136588, 0.00886933, 0.00753656, 0.00727623, 0.00977464, 0.0101314, 0.00622296, 0.0123464, 0.011338, 0.0222167, 0.0203281, 0.00752886, 0.00794855, 0.00372019, 0.00264661, 0.0151783, 0.00303054, 0.00543082, 0.00717708, 0.00714092, 0.0515907, 0.00615013, 0.0420697, 0.00931454, 0.00244588, 0.0180365, 0.0706159, 0.00407137, 0.00373352, 0.00842957, 0.00760974, 0.0148254, 0.00195609, 0.00174479, 0.00264246, 0.00234702, 0.000161417, 0.000140348, 0.000223354, 0.000194168, 0.000173288, 0.000207384, 0.000192271, 0.000211119, 0.000176185, 0.000181176, 0.000195009, 0.000145755, 0.000133449, 0.000150957, 0.000140927, 0.000129045, 0.000135417, 0.00010222, 0.000121486, 0.000107685, 0.000158937, 0.0180138, 0.000763913
2743.21,1,0.329791,4,15,0,-2700.45,-1.61865,-1.42969,-1.28803,-1.36754,-1.51458,-1.20453,-1.57185,-1.38874,-2.06623,-1.61926,-1.44637,-1.27232,-1.34478,-1.16501,-1.67121,-1.58951,-1.44957,-1.73988,-1.23716,-1.80701,-1.4266,-1.37773,-1.56379,-1.68184,-1.50466,-1.571,-1.36656,-1.67396,-1.57013,-1.04347,-1.61749,-1.59847,-1.43728,-1.87323,-0.818363,-1.64736,-1.68166,-1.24368,-1.32612,-1.54821,-1.86269,-1.25198,-2.09014,-1.58951,-1.37161,-1.49934,-1.71069,-0.845089,-1.48447,-1.32901,-1.09299,-1.36353,0.0928899,0.0907313,-0.0456878,-0.0509879,0.0317399,0.0385111,0.000517727,0.0755776,-0.08665,-0.170209,-0.163305,0.103109,-0.0683929,0.0264711,-0.0475344,-0.00606522,0.0719342,0.00456007,-0.00382997,0.00719983,0.0369082,0.0137006,0.024804,0.0131112,-0.00462059,0.245569,19.1108,0.0126614,-0.00193728,0.120246,0.0373836,0.117216,-0.736511,-2.2263,0.449346,-0.865891,0.40302,-0.024862,0.0870855,0.195324,0.0734373,0.0809301,0.124951,0.269101,0.13078,0.13625,0.194527,-0.0522252,0.034016,0.0622462,-0.285268,-0.00951654
2740.64,0.90402,0.329791,4,15,0,-2702.63,-1.76389,-1.61906,-1.53377,-1.52117,-1.62024,-1.31465,-1.63024,-1.43717,-1.76069,-1.45021,-1.64908,-1.15479,-1.293,-1.13483,-1.76893,-1.98469,-1.37977,-1.63583,-1.16603,-1.76018,-1.57307,-1.24103,-1.53827,-1.76248,-1.62778,-1.57859,-1.29304,-1.64129,-1.53382,-1.27436,-1.73073,-1.7306,-1.26287,-1.95058,-0.813971,-1.58733,-1.62235,-1.4122,-1.33985,-1.51696,-2.09214,-1.09961,-1.93811,-1.83419,-1.29411,-1.4939,-2.40575,-1.12152,-1.51948,-1.35292,-1.20235,-1.3317,0.0418395,0.00700586,0.0406743,-0.129568,0.0248347,0.00985478,0.00501876,0.0566676,-0.114743,-0.159558,-0.169082,0.102254,-0.0839231,0.0170333,-0.0760964,0.0271137,0.0458889,-0.0258296,-0.0217753,0.0247924,0.0129306,0.0127604,-0.00693942,0.0299781,-0.0276268,0.277051,18.3122,0.443271,-0.031682,0.135012,-0.0577724,0.11604,-0.671631,-2.34147,0.460911,-0.99976,0.303303,-0.0761043,0.118455,0.125644,-0.0743387,-0.0581308,0.0790698,0.0367026,0.00947134,-0.0674345,0.40193,-0.312258,-0.0286711,-0.00508274,0.429569,-0.024183
2740.19,0.878938,0.329791,4,15,0,-2703.96,-1.70829,-1.6761,-1.27703,-1.3456,-1.44886,-1.23457,-1.56391,-1.38487,-1.98564,-1.60249,-1.37831,-1.27481,-1.36583,-1.23007,-1.66407,-1.63127,-1.56201,-1.67095,-1.3105,-1.83201,-1.53107,-1.26712,-1.62442,-1.67978,-1.71402,-1.53098,-1.38997,-1.73981,-1.60702,-1.11747,-1.68068,-1.67726,-1.49811,-1.86266,-0.88667,-1.71439,-1.74214,-1.1479,-1.36912,-1.52071,-1.69226,-1.30238,-2.20413,-1.5524,-1.38283,-1.39667,-1.64534,-1.00546,-1.48307,-1.4444,-1.00241,-1.32384,0.0176307,0.0792066,-0.0926394,-0.0300795,0.0205765,0.0337351,-0.00698724,0.0705498,-0.0994083,-0.173503,-0.16917,0.106429,-0.0720589,0.0215977,-0.0601843,0.00184036,0.0659577,0.00154253,0.00312966,0.00345835,0.0550532,0.0345629,0.00972662,0.0203535,0.000462017,0.204525,19.0629,0.132565,-0.0114754,0.0949464,-0.00659769,0.117942,-0.725448,-2.28016,0.448559,-0.909836,0.354023,-0.0330435,0.0943978,0.180773,0.079465,0.11434,0.128401,0.363158,0.198886,0.0758867,0.321151,0.00522205,0.00544494,0.0675664,-0.652004,-0.00561414
2739.7,0.988664,0.329791,4,15,0,-2708.26,-1.70826,-1.41552,-1.4112,-1.48797,-1.57972,-1.2535,-1.63554,-1.36338,-1.82839,-1.50552,-1.58197,-1.2439,-1.30365,-1.17749,-1.77513,-1.78787,-1.26304,-1.58589,-1.12093,-1.74193,-1.56809,-1.30509,-1.45494,-1.83954,-1.53124,-1.65937,-1.39222,-1.53262,-1.49611,-1.35873,-1.55186,-1.60588,-1.23775,-1.91532,-0.89462,-1.41653,-1.72863,-1.46214,-1.26714,-1.57761,-2.07364,-1.04381,-1.91291,-1.76212,-1.2494,-1.56491,-2.2029,-1.00988,-1.4684,-1.33657,-1.28292,-1.32761,0.0368963,0.0808389,0.0710246,-0.0692417,0.0183604,0.0184772,-0.00949823,0.0787659,-0.105703,-0.18505,-0.169136,0.106947,-0.0664962,0.030292,-0.0525541,0.0140832,0.0513323,-0.0203668,-0.0222678,0.0318932,0.00222761,0.000920582,0.00587832,0.0179696,-0.0428521,0.276952,18.4943,0.332137,-0.0249142,0.100599,0.0525953,0.109995,-0.835601,-2.25988,0.55535,-0.840111,0.431802,-0.0606069,0.100484,0.140047,-0.0723047,-0.0779492,0.0774814,-0.039014,-0.0521969,-0.048092,0.174906,-0.484345,-0.00949671,0.0273751,0.59252,-0.0129235
2733.57,0.921727,0.329791,4,15,0,-2703.65,-1.6948,-1.4809,-1.35093,-1.45182,-1.59894,-1.1996,-1.67428,-1.35393,-1.75628,-1.51336,-1.47507,-1.1927,-1.29737,-1.10013,-1.81135,-1.49095,-1.22344,-1.56342,-1.13364,-1.79786,-1.55826,-1.2543,-1.50256,-1.79281,-1.41833,-1.64026,-1.30502,-1.48077,-1.59658,-1.30457,-1.54712,-1.64424,-1.23292,-1.88887,-0.877126,-1.54714,-1.72657,-1.44061,-1.28703,-1.58604,-2.12942,-1.07816,-1.90524,-1.81145,-1.33092,-1.73082,-2.23316,-1.02933,-1.45507,-1.34512,-1.18151,-1.38848,0.00029782,0.0864304,0.0749878,-0.0966301,0.0276933,0.0250651,-0.00732627,0.0759018,-0.0986223,-0.181879,-0.178006,0.105404,-0.0662726,0.0378097,-0.0345832,0.0118385,0.0478321,-0.0217559,-0.0182792,0.03985,-0.00330924,0.0141624,0.00147228,0.0216869,-0.039904,0.263205,18.1355,0.183721,-0.0137048,0.111531,0.0832912,0.105638,-0.845076,-2.3965,0.510378,-0.83777,0.514501,-0.0416606,0.0908257,0.131366,-0.0630624,-0.0520551,0.117488,-0.0521824,0.00352148,-0.0605218,0.240751,-0.451023,-0.0387942,0.0297469,0.649193,-0.0180354
2733.96,0.922383,0.329791,4,15,0,-2696.76,-1.77393,-1.67262,-1.28305,-1.32516,-1.47194,-1.29007,-1.5368,-1.41311,-2.00766,-1.57361,-1.29121,-1.23554,-1.37731,-1.18911,-1.58955,-1.91474,-1.61835,-1.65744,-1.30919,-1.76349,-1.49936,-1.2817,-1.58823,-1.77176,-1.69527,-1.61962,-1.38777,-1.8113,-1.48638,-1.0233,-1.82006,-1.67904,-1.42605,-1.90388,-0.839899,-1.53454,-1.68483,-1.123,-1.30388,-1.53596,-1.50508,-1.29904,-1.71953,-1.55909,-1.3369,-1.11658,-1.72888,-0.992061,-1.46255,-1.37488,-1.02509,-1.24244,0.000883245,0.036534,-0.104122,-0.0464842,0.0173137,0.0111921,-0.0342628,0.0502019,-0.102859,-0.152302,-0.172305,0.10674,-0.0794335,0.00816553,-0.073742,0.0134058,0.0700404,0.00344561,-0.00225715,0.0152913,0.0502608,0.0234912,0.000499483,0.0104493,-0.00614704,0.21387,18.9565,0.516364,-0.0385236,0.00594429,-0.0768092,0.116037,-0.611629,-2.36285,0.466895,-0.944933,0.211823,-0.0569635,0.12452,0.192325,0.055202,0.0588997,0.116359,0.279129,0.101286,0.000152335,0.148845,-0.0694783,-0.00938179,0.0470767,-0.720099,-0.00867596
