# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_beta_full_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_full_pdw2_pcount_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.375494
# Diagonal elements of inverse mass matrix:
# 0.0110068, 0.00720184, 0.00511462, 0.00935856, 0.00410915, 0.00520793, 0.00676831, 0.00196043, 0.00796124, 0.00991203, 0.0295986, 0.00379372, 0.00472175, 0.0174911, 0.00255795, 0.0433241, 0.00880727, 0.0063786, 0.00513289, 0.00960112, 0.015554, 0.0101351, 0.00780145, 0.00779625, 0.00977999, 0.0130955, 0.00609718, 0.0130226, 0.0114071, 0.0205722, 0.0255605, 0.00722879, 0.00814131, 0.00373136, 0.00247843, 0.0168993, 0.00353596, 0.00624999, 0.00906128, 0.00762785, 0.0441645, 0.00627635, 0.0293677, 0.00950946, 0.00233861, 0.0181778, 0.07519, 0.00406086, 0.00391996, 0.0105672, 0.00634775, 0.0146612, 0.00184946, 0.0016584, 0.00203393, 0.00207817, 0.000227268, 0.000162126, 0.000182326, 0.000203077, 0.000206344, 0.000232842, 0.000155204, 0.000226763, 0.000196897, 0.000165003, 0.000210036, 0.000154993, 0.000129508, 0.000144643, 0.000111309, 0.000130373, 0.000155845, 0.000133871, 0.000178841, 0.000110321, 0.000142132, 0.0192488, 0.000882307
2737.81,0.977764,0.375494,4,31,0,-2705.45,-1.77814,-1.56844,-1.2876,-1.32076,-1.48942,-1.25475,-1.52808,-1.48821,-1.76633,-1.65437,-1.24228,-1.13526,-1.31255,-1.05057,-1.68055,-2.2857,-1.38749,-1.57055,-1.27919,-1.74096,-1.5283,-1.23789,-1.62392,-1.87623,-1.53636,-1.42843,-1.42982,-1.65961,-1.53053,-1.13702,-1.54963,-1.71735,-1.50856,-1.8444,-0.864561,-1.51015,-1.73702,-1.2464,-1.26786,-1.53115,-1.82377,-1.14686,-1.97516,-1.53267,-1.33553,-1.36138,-2.06596,-1.00653,-1.38093,-1.26068,-1.19264,-1.14859,-0.00518356,0.0426647,-0.0159662,-0.0235038,-0.0490767,0.0251103,0.0182216,0.0317056,-0.0973293,-0.149393,-0.155869,0.0889635,-0.0541362,0.00963285,-0.0699241,0.0311683,0.0398963,-0.00625274,-0.0188941,0.0121682,0.0402563,0.0268019,0.00315135,0.0206493,-0.0335547,0.249953,18.9449,-0.0479729,0.00222098,0.141983,-0.0786529,0.100043,-0.592957,-2.09791,0.44478,-0.675488,0.195035,-0.0634742,0.116008,0.106328,-0.00242008,-0.0235838,0.0708265,0.196275,0.0756908,-0.0374995,0.240552,-0.379116,-0.00957145,0.0278659,-0.0939842,-0.00438683
2732.72,0.949196,0.375494,4,15,0,-2698,-1.60039,-1.45164,-1.37026,-1.5121,-1.49563,-1.32078,-1.57499,-1.42455,-1.98629,-1.62466,-1.58772,-1.33289,-1.28518,-1.45234,-1.68739,-1.17812,-1.34096,-1.63446,-1.06044,-1.8205,-1.43035,-1.36899,-1.55191,-1.66312,-1.59765,-1.49381,-1.272,-1.55701,-1.4179,-1.5204,-1.86399,-1.70133,-1.22459,-1.97008,-0.744898,-1.54313,-1.59161,-1.4286,-1.37001,-1.64168,-2.09929,-1.17118,-1.62691,-1.743,-1.43395,-1.63169,-1.95624,-0.964358,-1.5779,-1.38653,-1.13485,-1.35636,0.0321282,0.0436903,0.0143512,-0.0024513,-0.0223841,0.0220989,-0.00805971,0.0764425,-0.0659733,-0.151454,-0.174567,0.0888919,-0.0785185,0.0375738,-0.0328331,0.00714804,0.0823078,-0.00696741,-0.0116971,0.0166624,0.00137523,0.0112551,-0.0051828,0.0177637,-0.00287478,0.191022,18.8418,-0.0277693,0.00120468,0.116228,0.0998048,0.12869,-0.696378,-2.5693,0.314769,-0.961923,0.556479,-0.028455,0.122535,0.21774,-0.00911798,-0.0127226,0.0747272,0.0185949,0.0474793,-0.0142989,0.272067,-0.0324806,0.0156776,0.0205228,0.108142,-0.000457519
2729.13,0.727888,0.375494,4,15,0,-2688.07,-1.4492,-1.82621,-1.26004,-1.27527,-1.51245,-1.20172,-1.70916,-1.36685,-1.7685,-1.50832,-1.37708,-1.19958,-1.31142,-1.04896,-1.75445,-2.12936,-1.48876,-1.70781,-1.23975,-1.99877,-1.30371,-1.21197,-1.40138,-1.83481,-1.67252,-1.62787,-1.32343,-1.7607,-1.43429,-1.23064,-1.70839,-1.59997,-1.24256,-1.94844,-0.735162,-1.5683,-1.6227,-1.37312,-1.3524,-1.53474,-1.819,-1.20981,-2.15737,-1.77929,-1.37992,-1.50751,-1.80273,-0.955321,-1.43463,-1.31846,-1.14445,-1.37333,-0.0286347,0.0592875,-0.0153751,-0.18796,-0.0414213,0.0289909,0.00308058,0.0516904,-0.108563,-0.144949,-0.163261,0.104914,-0.0740604,0.0387141,-0.0453713,0.0117117,0.0878844,-0.0101596,-0.0170895,0.00139396,0.0224296,0.00440033,0.0253691,0.0133042,0.00569872,0.261686,18.3033,-0.0755076,0.00520762,0.128246,-0.0133158,0.0973874,-0.641548,-2.28113,0.442666,-0.957021,0.57079,-0.0228893,0.140618,0.232379,0.0206554,0.0350419,0.102174,0.207353,0.114285,0.163324,0.223441,0.0643868,-0.0823229,0.0386276,0.0754296,-0.0350815
2729.81,0.999124,0.375494,4,15,0,-2696.18,-2.00961,-1.64703,-1.51432,-1.39871,-1.57117,-1.2265,-1.5686,-1.47503,-2.03572,-1.63787,-1.54034,-1.25146,-1.36308,-1.02606,-1.80836,-2.2831,-1.31343,-1.64882,-1.21738,-1.78848,-1.57499,-1.23458,-1.65588,-1.65504,-1.55969,-1.44418,-1.36572,-1.57646,-1.54413,-1.02069,-1.51613,-1.75642,-1.34241,-1.90823,-0.825111,-1.55166,-1.7842,-1.24326,-1.19499,-1.43878,-1.90801,-1.10766,-2.36242,-1.67174,-1.23155,-1.47516,-2.20657,-0.945534,-1.54884,-1.43703,-1.14521,-1.1623,0.0164503,0.0396397,-0.00893287,0.0372953,-0.0490494,0.0119028,-0.0163529,0.0419205,-0.0932295,-0.187365,-0.15243,0.0984204,-0.0857755,0.0179578,-0.0503951,0.00866653,0.0337584,-0.0307512,-0.0119386,0.0166282,0.025346,0.0262593,-0.00336276,0.0126947,-0.0245449,0.361979,19.671,-0.00243273,-0.00427386,0.0749411,-0.0617347,0.118816,-0.80176,-2.11039,0.408995,-0.958031,0.278081,-0.0482908,0.0618678,0.0906253,-0.0706215,-0.0146907,0.0710893,0.114429,0.0663069,-0.0603474,0.138072,-0.277319,0.0236532,0.0237721,-0.103214,0.00696091
2728.61,0.896211,0.375494,4,15,0,-2689.56,-1.49485,-1.67187,-1.21952,-1.3074,-1.49934,-1.25854,-1.64799,-1.37624,-1.8378,-1.43789,-1.40547,-1.20856,-1.25257,-1.08087,-1.67185,-1.12227,-1.41966,-1.68708,-1.15211,-1.83124,-1.29372,-1.27274,-1.43374,-1.85516,-1.63906,-1.62469,-1.31519,-1.76977,-1.40845,-1.44443,-1.69628,-1.55141,-1.37469,-1.86724,-0.829104,-1.68681,-1.59603,-1.36764,-1.38349,-1.55582,-1.92402,-1.18629,-1.84611,-1.79484,-1.41768,-1.37115,-1.58854,-0.988047,-1.50467,-1.30345,-1.1923,-1.53833,-0.0175472,0.0187677,-0.0211745,-0.0950133,-0.0424572,0.0368343,-0.000980682,0.0569705,-0.108724,-0.129541,-0.163992,0.0833048,-0.070336,0.0534701,-0.0664693,0.0257457,0.0863559,0.0102226,-0.0254696,0.00901067,0.0158553,0.0095524,0.00649649,0.0287516,-0.0121762,0.262682,17.9238,-0.0692579,0.00496957,0.113393,0.00672713,0.0966084,-0.544474,-2.4273,0.260167,-0.993876,0.737502,-0.0549352,0.166688,0.229008,0.0398825,-0.034873,0.0733542,0.111297,0.0637493,0.0388132,0.421503,-0.137573,-0.042559,0.0167365,-0.0605658,-0.0177336
2733.94,0.928652,0.375494,4,31,0,-2694.24,-1.79663,-1.43422,-1.41066,-1.36212,-1.58887,-1.30223,-1.61728,-1.43617,-1.98246,-1.6434,-1.60561,-1.29856,-1.35639,-1.29094,-1.76412,-2.63808,-1.48605,-1.59326,-1.09636,-1.79175,-1.48577,-1.34545,-1.6615,-1.60607,-1.55605,-1.50764,-1.40691,-1.52735,-1.4767,-1.06781,-1.60463,-1.73939,-1.3411,-1.96413,-0.810853,-1.45811,-1.76148,-1.26097,-1.24506,-1.41597,-1.97642,-1.15469,-2.10497,-1.59741,-1.37291,-1.64832,-1.59932,-0.959465,-1.45376,-1.32577,-1.09749,-1.25907,0.0433044,0.0707295,0.0438517,0.0105771,-0.0441287,0.01094,-0.0113376,0.0444106,-0.0705508,-0.162405,-0.164552,0.096974,-0.0722147,0.000237788,-0.0495551,-0.00944037,0.03293,-0.0208322,-0.00574125,0.0214587,0.0339869,0.0190593,-0.00265184,0.0100756,-0.0117585,0.322138,19.7738,0.00310204,-0.00404154,0.0772893,-0.0353108,0.126108,-0.67452,-2.24539,0.460263,-0.768744,0.0719883,-0.0424877,0.0234047,0.0866201,-0.0279421,0.0228777,0.106591,0.172741,0.0613052,-0.029969,0.128936,-0.132853,0.0249149,0.0278423,0.312307,0.00197415
