# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_beta_full_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_full_pdw2_upload_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.388101
# Diagonal elements of inverse mass matrix:
# 0.00963469, 0.0067995, 0.00498575, 0.00870073, 0.00391424, 0.00484169, 0.00523637, 0.00204902, 0.00723737, 0.0108027, 0.032024, 0.00444062, 0.00352438, 0.0183546, 0.00289217, 0.0462037, 0.00619568, 0.00578903, 0.00611202, 0.0113865, 0.0137415, 0.00892253, 0.00834249, 0.00878288, 0.00846482, 0.00965485, 0.00705996, 0.0124539, 0.0117722, 0.0222746, 0.0217838, 0.00697852, 0.00732745, 0.00421352, 0.00251622, 0.0171282, 0.0035043, 0.00558136, 0.0104565, 0.00676472, 0.0471977, 0.00626521, 0.0339007, 0.00932231, 0.00282155, 0.0201706, 0.0666459, 0.00440795, 0.00384289, 0.00986001, 0.00723445, 0.0150394, 0.00195026, 0.00139791, 0.00221018, 0.00223571, 0.000230616, 0.000184414, 0.000176464, 0.000163176, 0.000173245, 0.000250734, 0.000181936, 0.000233283, 0.000177677, 0.00016349, 0.000201932, 0.000129152, 0.000140592, 0.000148134, 0.00013181, 0.000127805, 0.000146932, 0.000152215, 0.000140974, 0.000120651, 0.000152999, 0.016331, 0.000913104
2745.88,0.964853,0.388101,3,7,0,-2703.71,-1.64313,-1.53289,-1.32205,-1.47271,-1.49428,-1.21581,-1.56133,-1.37404,-1.74284,-1.36523,-1.79618,-1.29745,-1.26021,-1.3077,-1.73827,-1.72544,-1.41598,-1.51357,-1.15831,-1.81202,-1.48512,-1.34507,-1.56549,-1.76147,-1.73977,-1.53458,-1.38422,-1.6437,-1.47324,-1.2621,-1.60496,-1.61425,-1.37407,-1.86915,-0.873106,-1.65552,-1.71468,-1.37867,-1.26378,-1.62592,-1.85696,-1.13992,-1.95808,-1.64697,-1.38217,-1.53684,-2.33054,-0.940602,-1.51134,-1.32829,-1.2477,-1.22884,-0.00449446,0.082374,0.0980123,-0.0615487,-0.0815407,0.0368296,-0.0125959,0.0244023,-0.0758591,-0.169183,-0.196614,0.106804,-0.0837661,0.0159173,-0.0535165,0.0243345,0.0596676,-0.0123338,-0.0179688,0.014949,0.0189555,0.0273665,-0.00314799,-0.00336471,-0.0060639,0.226309,19.0128,0.0164393,-0.0052551,0.0779977,-0.0434127,0.134981,-0.73976,-2.79355,0.456675,-0.966519,0.300788,-0.0455374,0.128585,0.162113,-0.0191844,-0.0217072,0.0788651,0.105552,0.0938279,-0.0346142,-0.0679424,-0.0684952,-0.029858,0.0212983,0.783535,-0.0114877
2748.64,0.792204,0.388101,4,15,0,-2711.96,-1.55154,-1.59583,-1.46891,-1.40171,-1.53935,-1.30216,-1.63788,-1.45962,-1.98729,-1.65249,-1.16147,-1.28393,-1.3208,-1.19087,-1.69551,-1.98888,-1.42865,-1.75258,-1.15588,-1.72975,-1.35198,-1.33549,-1.40454,-1.80981,-1.49186,-1.60186,-1.31651,-1.67194,-1.67809,-1.3912,-1.56722,-1.67377,-1.30665,-1.89624,-0.803269,-1.54162,-1.72751,-1.40407,-1.36086,-1.48256,-1.79517,-1.17552,-2.01043,-1.70904,-1.31319,-1.49402,-1.51852,-1.08096,-1.46591,-1.4074,-1.10042,-1.31673,0.00184122,0.0248974,0.00272755,-0.0572408,-0.0929981,0.0522538,-0.0173378,0.0426774,-0.0806361,-0.154807,-0.139244,0.0782743,-0.0687423,0.0130013,-0.0607568,0.00668684,0.054205,-0.0057899,-0.00826027,0.0223096,0.0291189,0.00816221,0.0120432,0.0352806,-0.0107397,0.216127,18.6445,-0.0584016,0.00116385,0.0486675,-0.0262604,0.106895,-0.615143,-2.00872,0.273134,-0.838927,0.24757,-0.0429918,0.0866997,0.145303,0.0318148,0.0492615,0.149084,0.199786,0.083672,0.0801961,0.528129,-0.121311,-0.0199309,0.0136643,0.0775369,-0.0106836
2739.62,0.684042,0.388101,4,15,0,-2712.28,-1.85493,-1.65583,-1.23075,-1.56027,-1.52967,-1.20489,-1.59122,-1.34433,-1.86232,-1.5319,-1.83671,-1.25494,-1.32361,-1.15385,-1.71807,-1.82047,-1.35489,-1.52451,-1.17348,-1.86612,-1.70207,-1.22461,-1.62637,-1.72402,-1.6272,-1.56367,-1.46735,-1.69415,-1.45492,-1.16565,-1.62359,-1.59646,-1.37468,-1.911,-0.878261,-1.67261,-1.75432,-1.3429,-1.30275,-1.5768,-2.25497,-1.14756,-1.91219,-1.71165,-1.39485,-1.47225,-2.40664,-0.854544,-1.46034,-1.28252,-1.16353,-1.37055,0.0830774,0.0926413,0.028649,-0.0730809,-0.0921593,0.0489321,0.00139997,0.0475929,-0.0812493,-0.19003,-0.187783,0.113461,-0.0662498,0.026944,-0.0606218,0.0213711,0.0684053,-0.0163779,-0.0166879,0.00793922,0.0201881,0.0210574,-0.00858971,0.00103676,-0.00714603,0.329058,19.1804,-0.0350252,-0.000419683,0.123218,0.0193871,0.13929,-0.853453,-2.53714,0.576167,-0.858174,0.425579,-0.0556273,0.134695,0.186472,-0.0428535,-0.0373321,0.0360853,0.0914602,0.0538748,-0.0612451,-0.00141604,-0.0807185,0.0160137,0.044682,0.28432,-0.0136401
2734.53,0.790457,0.388101,4,15,0,-2701.65,-1.76515,-1.57836,-1.53056,-1.28345,-1.56639,-1.24176,-1.66939,-1.37282,-2.00195,-1.50877,-1.04715,-1.22857,-1.36948,-1.20363,-1.66517,-1.67484,-1.5055,-1.7605,-1.23142,-1.74767,-1.41944,-1.26951,-1.45171,-1.84324,-1.44244,-1.72305,-1.30056,-1.71266,-1.6051,-1.12694,-1.87524,-1.70202,-1.2598,-1.97908,-0.797949,-1.4061,-1.71098,-1.34281,-1.15763,-1.55226,-1.80736,-1.22293,-1.98696,-1.72124,-1.31162,-1.37033,-2.08202,-1.12836,-1.52405,-1.4997,-1.12318,-1.17858,0.0316159,0.0929088,-0.0189048,-0.149689,-0.103204,0.0699107,0.00245468,0.0427693,-0.092903,-0.163779,-0.148715,0.0951108,-0.0742432,-0.000405256,-0.030903,0.00382866,0.0523566,0.00227168,-0.0134467,0.0284134,0.0288899,0.0106643,0.0173279,0.0373243,-0.00815251,0.233952,18.4591,-0.232185,0.018047,0.11843,-0.00556666,0.0790214,-0.692731,-2.07513,0.385199,-0.810615,0.108943,-0.0114001,0.0781121,0.139663,0.0649989,0.0558398,0.192344,0.222729,0.116714,0.116789,0.566679,-0.0920873,-0.0360097,0.0576944,0.0110248,-0.0279384
2736.46,0.915821,0.388101,4,15,0,-2697.61,-1.64856,-1.6468,-1.14399,-1.29459,-1.53987,-1.23237,-1.60704,-1.37822,-1.8049,-1.58955,-1.7757,-1.14376,-1.30008,-1.14395,-1.76504,-1.68054,-1.36338,-1.56803,-1.24592,-1.85516,-1.68432,-1.18981,-1.55971,-1.72534,-1.65203,-1.61176,-1.49959,-1.71692,-1.52863,-1.10761,-1.51571,-1.5812,-1.41597,-1.89164,-0.919261,-1.73969,-1.74345,-1.32828,-1.25427,-1.4943,-1.81236,-1.1801,-1.84707,-1.69162,-1.33703,-1.36503,-1.63414,-0.853625,-1.47484,-1.29759,-1.21223,-1.53568,0.00308382,0.0414392,-0.00134807,-0.03186,-0.104064,0.0413165,0.00164066,0.0307926,-0.0719957,-0.155751,-0.189416,0.0989238,-0.0755019,0.0361261,-0.0622532,0.0221258,0.0764006,-0.0163297,-0.00339937,0.00972077,0.0258082,0.0216069,-0.0111561,0.00152781,-0.0178343,0.291094,18.8345,-0.0536457,-0.00126691,0.122249,-0.0201703,0.135523,-0.677179,-2.71078,0.408661,-0.973981,0.514525,-0.0607119,0.147148,0.207664,-0.0438916,-0.0126447,0.0235799,0.0930403,0.0272192,-0.0989419,-0.0201957,-0.201448,-0.00932734,0.0235696,0.02205,-0.00594646
2734.86,0.930207,0.388101,4,15,0,-2697.04,-1.70064,-1.66029,-1.38808,-1.25943,-1.6235,-1.28596,-1.66835,-1.37071,-1.93691,-1.43382,-1.2554,-1.23741,-1.38891,-1.13686,-1.65657,-1.69712,-1.48055,-1.7989,-1.22391,-1.66134,-1.49488,-1.331,-1.4486,-1.87233,-1.39223,-1.65399,-1.28731,-1.68782,-1.55284,-1.1369,-1.99141,-1.72079,-1.28779,-1.99705,-0.810087,-1.50288,-1.68282,-1.28281,-1.26509,-1.5927,-1.87475,-1.27538,-1.74474,-1.84774,-1.39269,-1.25616,-2.1756,-1.12392,-1.35279,-1.48043,-1.03901,-1.19023,0.0038034,0.0970578,-0.00286383,-0.0969772,-0.0968751,0.0467941,-0.000924195,0.0382032,-0.0744084,-0.14827,-0.167349,0.0951954,-0.0580682,-0.00388627,-0.038982,0.00537122,0.0521284,0.00337412,-0.0106184,0.0337829,0.0155583,0.0152483,0.0199941,0.0378493,0.00867849,0.231524,18.3159,-0.0826335,0.00337948,0.092891,0.00632845,0.105055,-0.615593,-2.28366,0.427332,-0.661493,0.0831499,-0.0106532,0.0803193,0.138453,0.089319,0.0939457,0.243885,0.202369,0.179958,0.17026,0.616667,0.0980285,-0.0319117,0.0553645,0.0762446,-0.0181001
