# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/vi_beta_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_sens_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,theta_1.26,theta_1.27,theta_1.28,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.336272
# Diagonal elements of inverse mass matrix:
# 0.00341437, 0.00213526, 0.00189431, 0.00279884, 0.00335219, 0.00411103, 0.00507198, 0.00124526, 0.00493998, 0.0052179, 0.0101793, 0.00204591, 0.00274927, 0.0110554, 0.002557, 0.00423333, 0.0054888, 0.00538912, 0.00431126, 0.00465037, 0.00906317, 0.00760382, 0.00483306, 0.0037635, 0.00333679, 0.00791048, 0.00407349, 0.00912882, 0.00675739, 0.0106867, 0.0129295, 0.00444292, 0.00723708, 0.00228268, 0.0027267, 0.0109356, 0.0023188, 0.00412036, 0.00703413, 0.00262745, 0.0132349, 0.00404434, 0.0107482, 0.00387683, 0.00192091, 0.00710177, 0.0184057, 0.00302914, 0.00338533, 0.00619194, 0.00356139, 0.0162495, 0.000654744, 0.000580472, 0.000746948, 0.000709766, 0.000137294, 0.000117192, 0.000137438, 0.000130456, 0.00012718, 0.000124809, 0.000117391, 0.000103699, 0.00013305, 0.000117708, 0.000115445, 0.00011509, 0.000166234, 0.000125358, 0.000111645, 0.000104488, 0.000113922, 0.000147479, 9.33124e-05, 0.000110987, 0.000127911, 0.000100403, 9.4828e-05, 0.000117367, 0.000101771, 0.000107691, 0.000101614, 0.000112811, 0.0245293, 0.000318296
5614.92,0.98293,0.336272,4,15,0,-5578.2,-1.84142,-1.63891,-1.50706,-1.43468,-1.48735,-1.52472,-1.50962,-1.41403,-1.80965,-1.7407,-1.45666,-1.41012,-1.4838,-1.1536,-1.59476,-1.65852,-1.68706,-1.63307,-1.51202,-1.45741,-1.78033,-1.45286,-1.86929,-1.7536,-1.58911,-1.50588,-1.55115,-1.63041,-1.54366,-1.27121,-2.12493,-1.58528,-1.31659,-1.80414,-1.21348,-1.47323,-1.75246,-1.36587,-1.4403,-1.73285,-1.79895,-1.72986,-1.68214,-1.60403,-1.54556,-1.55274,-2.08179,-1.47133,-1.4351,-1.61798,-1.49295,-1.25247,-0.00720821,0.0829552,-0.0253584,0.00235663,-0.016414,-0.0199786,-0.0700793,0.0579214,0.0436541,-0.00269445,0.103721,-0.0956795,-0.14788,-0.0698773,-0.0049385,-0.113427,-0.0796955,-0.0953029,0.126919,0.155321,0.0527893,0.020468,0.00879084,0.0655537,-0.0184499,0.00271608,0.0492426,0.0123111,0.007774,0.00824664,0.00596101,-0.0262212,0.105601,8.14078,0.623927,-0.0457704,-0.35386,0.0330935,0.0443521,-0.00136741,-0.0752679,0.0423992,-0.597731,-0.510412,-0.224063,-0.0544921,-0.641358,-0.449636,1.04172,0.739313,0.470789,0.0236579,0.110725,0.181873,-0.00690162,0.0578132,0.220086,0.0722767,0.0266273,0.010395,0.0563258,-0.346321,0.000807051,0.0532602,-0.190246,0.000439433
5623.62,0.991682,0.336272,4,15,0,-5584.12,-1.88733,-1.6114,-1.46842,-1.4159,-1.669,-1.38928,-1.49372,-1.48011,-1.72505,-1.82734,-1.39759,-1.30613,-1.58839,-1.67389,-1.65283,-1.68163,-1.63892,-1.74175,-1.50927,-1.57582,-1.99425,-1.50268,-1.64654,-1.75779,-1.53703,-1.54018,-1.30411,-1.52108,-1.29312,-1.19893,-2.0164,-1.66623,-1.53971,-1.72071,-1.28117,-1.45748,-1.77513,-1.42826,-1.6606,-1.75191,-1.85744,-1.68939,-1.69057,-1.52123,-1.34703,-1.31211,-2.07856,-1.30444,-1.51336,-1.45244,-1.63237,-1.29608,-0.0500621,0.0591938,-0.0526542,-0.0223446,0.0358037,-0.00408102,-0.0816749,0.0369066,0.03716,-0.00483283,0.140446,-0.112396,-0.163486,-0.0556468,0.0221243,-0.126933,-0.0814467,-0.0855675,0.13054,0.16444,0.0573201,-0.00361841,0.00930283,0.0862008,-0.023772,0.00608149,0.0273876,0.0135851,0.00954582,0.00371624,0.00294931,-0.00792644,0.118101,8.2428,0.234307,-0.0140534,-0.141903,0.0114376,0.0531858,-0.00272006,-0.0563214,0.0474146,-0.610664,-0.469579,-0.167989,-0.0550696,-0.637555,-0.355327,1.08038,0.764849,0.513673,0.00623763,0.139617,0.239108,-0.0241342,0.0622046,0.140106,0.0955592,0.0504793,0.0118549,0.0372323,-0.10469,-0.0293201,0.0474739,-0.367968,-0.00416653
5627.56,0.858053,0.336272,4,15,0,-5587.33,-1.84239,-1.61509,-1.40888,-1.48535,-1.55134,-1.57958,-1.546,-1.41687,-1.87006,-1.71486,-1.37113,-1.38396,-1.538,-1.40828,-1.65511,-1.63948,-1.61076,-1.62175,-1.52956,-1.49598,-1.82946,-1.45849,-1.70674,-1.75173,-1.51624,-1.58421,-1.36337,-1.48178,-1.345,-1.39944,-1.96056,-1.55797,-1.42184,-1.75512,-1.19689,-1.2688,-1.78162,-1.31192,-1.62439,-1.68931,-1.94904,-1.79595,-1.65123,-1.57788,-1.46861,-1.54343,-2.08877,-1.35396,-1.58803,-1.55938,-1.44128,-1.29979,-0.0350022,0.0964417,-0.052513,-0.0615086,0.00209051,-0.0280341,-0.0689121,0.0570173,0.0565996,0.00346478,0.121764,-0.115006,-0.166286,-0.0757208,-0.00909249,-0.129228,-0.0690155,-0.099906,0.124271,0.151023,0.0850688,-0.00574469,0.0142158,0.0752046,-0.018437,-0.0020213,0.0610061,0.00809236,-0.00100272,-0.011319,-0.00203823,-0.0103532,0.127953,8.04208,0.76731,-0.0537786,-0.327871,0.0301886,0.0520276,-0.000529344,-0.056096,0.0147444,-0.674298,-0.602869,-0.269154,-0.0581735,-0.585017,-0.506395,0.972833,0.635434,0.733833,-0.00501481,0.135332,0.209633,-0.0278777,0.0148236,0.227635,0.00134119,-0.0541234,-0.0896397,-0.0551033,-0.136741,-0.0350962,0.0687459,-0.328015,-0.0114693
5621.8,0.774704,0.336272,4,15,0,-5582.9,-1.83998,-1.60254,-1.54814,-1.52681,-1.63553,-1.44641,-1.46979,-1.43875,-1.85041,-1.77881,-1.58649,-1.3423,-1.59981,-1.5855,-1.63743,-1.86014,-1.59988,-1.71693,-1.522,-1.61171,-1.90638,-1.56306,-1.75886,-1.77225,-1.61535,-1.51067,-1.43505,-1.78573,-1.38055,-1.296,-2.03269,-1.5491,-1.49404,-1.75457,-1.28268,-1.53669,-1.74147,-1.49266,-1.69312,-1.74092,-1.87855,-1.67592,-1.86168,-1.59635,-1.38751,-1.55788,-2.10035,-1.41947,-1.47318,-1.55313,-1.68609,-1.21927,0.00878709,0.113477,0.00807622,-0.0671544,0.0213385,0.0199345,-0.071676,0.0336257,0.0527178,0.00317602,0.125178,-0.107648,-0.155583,-0.0428413,0.0238662,-0.123438,-0.0889204,-0.0730514,0.125344,0.167432,0.0404583,-0.0183517,0.00401207,0.0701313,-0.0226397,0.0137437,0.00709488,0.0162896,0.0237963,0.00819391,0.013176,-0.0197448,0.132742,8.20558,-0.173571,0.0127353,-0.0511604,0.00301564,0.0473901,-0.000144476,-0.0806983,0.0379375,-0.546018,-0.35569,-0.156834,-0.0510653,-0.620248,-0.258231,1.05643,0.818993,0.362799,-0.00412234,0.105542,0.194217,-0.0153343,0.0902113,0.0753969,0.134553,0.128819,0.0293584,0.195402,-0.260783,-0.0181012,0.0622097,0.126559,-0.0125221
5615.29,0.867203,0.336272,4,15,0,-5583.61,-1.81095,-1.55295,-1.47756,-1.4592,-1.54152,-1.52671,-1.53509,-1.38756,-1.84767,-1.7567,-1.43573,-1.3852,-1.44545,-1.48479,-1.63315,-1.66376,-1.64932,-1.66019,-1.49761,-1.51543,-1.87153,-1.44379,-1.75309,-1.82088,-1.54465,-1.42605,-1.39778,-1.5176,-1.48598,-1.40904,-2.08539,-1.57391,-1.35296,-1.76614,-1.18896,-1.44231,-1.79255,-1.35549,-1.66443,-1.72647,-1.90403,-1.85605,-1.56788,-1.57865,-1.39371,-1.57923,-2.16166,-1.3388,-1.59309,-1.55829,-1.50159,-1.25869,-0.00731356,0.0967669,-0.00913541,-0.0682242,-0.0143418,-0.0244563,-0.0503233,0.0688923,0.0482837,-0.0018992,0.112111,-0.113154,-0.171186,-0.0649562,0.00405549,-0.13674,-0.0843553,-0.104779,0.130544,0.155444,0.0880623,-0.00417108,0.0116114,0.0774086,-0.0329376,-0.000901611,0.0643507,-0.00137166,-0.00148354,-0.00877441,-0.00529887,-0.00908934,0.116994,8.27442,0.836013,-0.0619452,-0.392757,0.040642,0.0627998,-0.00303311,-0.084107,0.0575322,-0.681064,-0.582291,-0.234229,-0.0592877,-0.67538,-0.536071,1.028,0.649933,0.764887,-0.00374642,0.132544,0.214609,-0.0631542,0.0183115,0.239006,-0.0511041,-0.0511106,-0.0754023,-0.11018,-0.120049,-0.0261023,0.0574372,8.39291e-05,-0.0127215
5626.28,0.994264,0.336272,4,15,0,-5581.35,-1.85262,-1.63223,-1.49948,-1.5318,-1.47809,-1.44286,-1.61261,-1.4131,-1.78603,-1.69704,-1.5664,-1.3749,-1.6116,-1.43595,-1.59021,-1.73918,-1.63178,-1.67097,-1.54467,-1.51718,-1.82406,-1.53218,-1.77772,-1.7778,-1.62893,-1.49516,-1.37484,-1.52061,-1.52377,-1.30217,-2.11781,-1.60801,-1.37468,-1.74574,-1.22833,-1.44343,-1.81855,-1.29237,-1.63274,-1.7456,-1.9226,-1.72072,-1.77612,-1.61807,-1.43586,-1.53194,-1.91167,-1.31735,-1.57309,-1.48828,-1.51903,-1.2699,0.0133978,0.0871921,-0.0127141,0.0230435,0.018039,-0.0087822,-0.0701096,0.0474488,0.0600126,0.00207784,0.128047,-0.112037,-0.153165,-0.0618063,0.0125179,-0.125832,-0.109192,-0.085906,0.14036,0.157852,0.040563,0.0141812,0.0163977,0.0703208,-0.00916264,-0.0120215,0.0260262,0.0254074,0.00887661,-0.0108978,-0.0146774,-0.0183679,0.111965,8.33711,0.345324,-0.0236046,-0.245565,0.021938,0.0361505,0.00124272,-0.0734784,0.0156405,-0.606883,-0.488158,-0.17518,-0.0600154,-0.802202,-0.350337,1.18787,0.774307,0.367278,0.00709884,0.132618,0.197187,-0.0289314,-0.0405343,0.0830133,0.09726,-0.0263105,-0.114957,-0.292556,-0.242597,0.0184113,0.0520446,-0.117104,0.00429685
