# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/vi_beta_sens_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_sens_pdw2_download_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.315582
# Diagonal elements of inverse mass matrix:
# 0.0032044, 0.0023256, 0.00154508, 0.00318845, 0.00347449, 0.00419811, 0.00534154, 0.00143239, 0.00490845, 0.00589486, 0.0105051, 0.00213995, 0.00230647, 0.00750757, 0.00233037, 0.00420394, 0.00492419, 0.00428905, 0.00359207, 0.00464927, 0.00922318, 0.0064831, 0.00400207, 0.00357235, 0.00340612, 0.00664941, 0.00459428, 0.0087012, 0.00769132, 0.0118514, 0.013129, 0.00429499, 0.00765051, 0.00179213, 0.00241734, 0.010465, 0.00230245, 0.00362786, 0.00617653, 0.00300754, 0.0126217, 0.00537092, 0.0100578, 0.00355417, 0.0019868, 0.00874324, 0.0181374, 0.00254326, 0.00329988, 0.00674072, 0.00360813, 0.0172363, 0.000676855, 0.000551894, 0.000750737, 0.000771358, 0.000134668, 0.00012122, 9.65371e-05, 0.000109984, 0.000127588, 9.61086e-05, 0.000103552, 0.00013598, 0.000177708, 0.000115701, 0.000141672, 0.000112456, 0.000110048, 0.00012729, 0.000101511, 0.000110105, 0.000106095, 0.000111534, 0.000115146, 0.000104718, 0.000122145, 0.00010916, 9.06155e-05, 0.000123681, 0.0227041, 0.000301681
5616.82,0.900405,0.315582,4,15,0,-5575.03,-1.8042,-1.62566,-1.46074,-1.45235,-1.49538,-1.47634,-1.63754,-1.45273,-1.85622,-1.7888,-1.44412,-1.34094,-1.55504,-1.40942,-1.56844,-1.67332,-1.66208,-1.86405,-1.45301,-1.48711,-1.7051,-1.41089,-1.74229,-1.70759,-1.75449,-1.53332,-1.36985,-1.41277,-1.33599,-1.26024,-1.96763,-1.55644,-1.46892,-1.74074,-1.31089,-1.53108,-1.72222,-1.44095,-1.57251,-1.7015,-1.80799,-1.66765,-1.65024,-1.47631,-1.39899,-1.43306,-1.8827,-1.39391,-1.46252,-1.59993,-1.57657,-1.27939,0.00617184,0.0968487,-0.0555029,-0.0232963,0.015702,-0.00845712,0.118902,-0.0960851,-0.176495,-0.0547983,0.0227602,-0.146427,-0.0993113,-0.0802602,0.129065,0.177146,0.0596434,-0.0159312,0.00953485,0.067174,-0.0230075,0.0112214,0.0488326,0.00416339,0.00163618,0.00369252,-0.0220285,-0.0202849,0.110832,8.06624,0.271468,-0.0198489,-0.100113,0.0538649,-0.60953,-0.419314,-0.202717,-0.0602258,-0.637513,-0.317182,1.04437,0.842399,0.507994,-0.0138003,0.114626,0.187781,-0.036045,0.0510932,0.178864,-0.0127467,-0.0354714,-0.0362588,-0.424823,-0.267774,0.000633717,0.0693624,-0.388132,-0.00434398
5609.8,0.92895,0.315582,4,15,0,-5577.52,-1.85798,-1.64607,-1.48074,-1.57384,-1.6454,-1.51644,-1.36264,-1.47057,-1.8033,-1.73696,-1.55895,-1.34224,-1.5089,-1.65938,-1.72112,-1.73108,-1.58585,-1.62451,-1.52665,-1.67431,-1.95326,-1.60338,-1.76853,-1.78264,-1.42325,-1.3945,-1.42388,-1.74906,-1.38114,-1.41438,-1.97549,-1.5743,-1.48482,-1.75367,-1.12377,-1.33919,-1.80865,-1.43962,-1.52464,-1.65564,-1.9833,-1.82914,-1.70456,-1.69016,-1.43537,-1.53819,-2.15742,-1.31579,-1.62822,-1.43389,-1.5714,-1.11791,-0.0232337,0.0576288,-0.00194188,-0.0339413,0.00951197,-0.0114911,0.130356,-0.0831431,-0.153794,-0.0732094,0.0147448,-0.14283,-0.0847435,-0.0880209,0.112853,0.142316,0.0750112,0.0112218,0.0155615,0.0823961,-0.023598,-0.00388208,0.0197116,0.0243103,0.0137708,-0.00194059,0.0205971,-0.012723,0.142612,8.1873,0.202199,-0.0154143,-0.0379794,0.0417485,-0.61654,-0.573074,-0.188535,-0.0662736,-0.630824,-0.414365,0.906287,0.592795,0.656649,0.0157908,0.144842,0.227187,-0.031046,0.0288716,0.113668,0.15936,0.0666155,-0.0131122,0.338442,-0.167952,-0.023116,0.0332021,0.0193296,-0.00632893
5607.85,0.871302,0.315582,4,15,0,-5563.7,-1.90392,-1.52951,-1.48018,-1.43486,-1.53764,-1.45387,-1.51515,-1.46364,-1.96866,-1.84271,-1.54055,-1.32568,-1.51727,-1.46553,-1.60979,-1.69611,-1.45247,-1.74696,-1.51569,-1.51782,-1.89072,-1.44105,-1.75822,-1.70293,-1.57635,-1.383,-1.40733,-1.59214,-1.2745,-1.17448,-1.95631,-1.5218,-1.53785,-1.80847,-1.30329,-1.43908,-1.79709,-1.4915,-1.38361,-1.70762,-1.81577,-1.7523,-1.54268,-1.58168,-1.44961,-1.44434,-2.0525,-1.36608,-1.5667,-1.42425,-1.57015,-1.37902,0.0168095,0.0651912,-0.0385494,-0.0159324,0.0143079,0.00950157,0.136047,-0.0979296,-0.181138,-0.0738685,0.0197809,-0.144887,-0.0726692,-0.105979,0.123256,0.15412,0.0641678,0.00948393,0.0144834,0.071971,-0.0178006,-0.00806579,0.0457818,0.0298701,0.00813609,-0.0351604,0.0198418,-0.0202566,0.152987,8.19235,-0.0652329,0.00360806,-0.0795463,0.0495431,-0.697937,-0.598615,-0.179079,-0.0727855,-0.587292,-0.554011,1.00868,0.69411,0.55749,-0.00201984,0.129409,0.201028,-0.0503249,-0.033991,0.141912,0.0912692,-0.0616611,-0.227642,0.311194,-0.267401,0.00698884,0.0470091,-0.269822,-0.00297087
5604.93,0.825455,0.315582,4,15,0,-5558.9,-1.82461,-1.49507,-1.51129,-1.46461,-1.6237,-1.47023,-1.42731,-1.51724,-1.91368,-1.83823,-1.55511,-1.38316,-1.49327,-1.51378,-1.60974,-1.63895,-1.53405,-1.71034,-1.42922,-1.61675,-1.98343,-1.60834,-1.82519,-1.69666,-1.53039,-1.52827,-1.35786,-1.45206,-1.28879,-1.34157,-2.16442,-1.58283,-1.55292,-1.77496,-1.36016,-1.37783,-1.82565,-1.37243,-1.43955,-1.67153,-2.01298,-1.79782,-1.71946,-1.57469,-1.42609,-1.38458,-1.83932,-1.3902,-1.59977,-1.46008,-1.50808,-1.26336,-0.00921103,0.0563577,0.00875926,-0.0486174,0.0117739,-0.000773483,0.133796,-0.090781,-0.164317,-0.0830024,0.0343465,-0.153258,-0.0838297,-0.102001,0.130232,0.13979,0.0753759,0.00548081,0.00665579,0.0792882,-0.0232233,0.0125651,0.0521606,0.00921696,0.015349,-0.0213401,0.0178293,-0.0229818,0.153719,8.19969,0.136063,-0.0110726,-0.0829891,0.0499603,-0.652502,-0.651374,-0.134809,-0.0729734,-0.633207,-0.501192,1.01933,0.589993,0.655714,0.00199248,0.123911,0.22156,-0.0369188,0.0526118,0.186863,0.00475227,0.00571427,-0.151159,0.270765,-0.303375,-0.0220058,0.0297936,0.113205,-0.00906553
5605.3,0.911223,0.315582,4,15,0,-5557.25,-1.79904,-1.56478,-1.47358,-1.53215,-1.61253,-1.44564,-1.49756,-1.46095,-1.86623,-1.8942,-1.70796,-1.41736,-1.53461,-1.48196,-1.70894,-1.76969,-1.55501,-1.51682,-1.49519,-1.62484,-1.7504,-1.54655,-1.80084,-1.6794,-1.55305,-1.47165,-1.36126,-1.41658,-1.22561,-1.50605,-1.94614,-1.58497,-1.51292,-1.7841,-1.26889,-1.56,-1.85307,-1.42839,-1.35031,-1.69551,-2.0615,-1.78592,-1.63277,-1.5429,-1.47471,-1.48758,-2.13203,-1.43417,-1.57987,-1.42302,-1.5375,-1.18261,-0.0568272,0.054032,0.00536319,0.00208412,0.00661345,0.000460447,0.145042,-0.0885653,-0.151509,-0.0881504,0.0251993,-0.138528,-0.0712752,-0.0947925,0.130084,0.138627,0.0633908,-0.0015847,0.0157585,0.069626,-0.00690051,0.00706108,0.0414396,0.0241175,0.0110984,-0.0103552,0.0179907,-0.0196531,0.149936,8.28726,0.0800175,-0.00749743,-0.051469,0.00678142,-0.594585,-0.615287,-0.155321,-0.0608965,-0.54385,-0.444736,1.01504,0.615397,0.545373,0.00265541,0.129946,0.19524,0.0126693,0.05488,0.174465,0.121185,0.0171667,-0.0788264,0.279775,-0.259434,-0.027829,0.0288521,0.0376707,0.00038862
5610.03,0.929597,0.315582,4,15,0,-5560.86,-1.7863,-1.58032,-1.53923,-1.39695,-1.65239,-1.45409,-1.50772,-1.43237,-1.73597,-1.59238,-1.34066,-1.27114,-1.59288,-1.3921,-1.59004,-1.55418,-1.58643,-1.84773,-1.44774,-1.51099,-1.86452,-1.52838,-1.71462,-1.78901,-1.56732,-1.54791,-1.43651,-1.55969,-1.46338,-1.11466,-1.94878,-1.53799,-1.35559,-1.75425,-1.20408,-1.3092,-1.69396,-1.49525,-1.63112,-1.66484,-1.7193,-1.67496,-1.66587,-1.68472,-1.43013,-1.45833,-2.07043,-1.38099,-1.41937,-1.59959,-1.57726,-1.18193,0.000629209,0.0852919,-0.0448078,-0.0101529,0.0165533,-0.0222903,0.11581,-0.0886104,-0.184317,-0.0422686,0.0161236,-0.132585,-0.083777,-0.086286,0.132627,0.175086,0.0590166,0.0258467,0.0198441,0.0812136,-0.0489983,0.000565605,0.0347592,-0.00672991,0.0155888,0.00889043,0.000470064,-0.00585534,0.115036,8.02752,0.332579,-0.0233049,-0.0696107,0.116179,-0.653676,-0.418249,-0.200652,-0.0554749,-0.669805,-0.345425,1.11051,0.815815,0.536943,0.0287465,0.151508,0.221948,-0.0854934,0.0505799,0.1739,-0.00582691,0.0961212,0.0437443,-0.00259769,-0.0772944,0.00161829,0.0598891,-0.321938,-0.00189318
