# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/vi_beta_sens_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_sens_pdw2_pcount_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.33395
# Diagonal elements of inverse mass matrix:
# 0.00320207, 0.00258202, 0.00149998, 0.00287175, 0.00379182, 0.00437538, 0.00451304, 0.00147651, 0.00465845, 0.00571408, 0.0119167, 0.00219669, 0.00245913, 0.00968711, 0.00244582, 0.00547661, 0.00483115, 0.00481313, 0.00347916, 0.00568689, 0.0102238, 0.00542263, 0.00439945, 0.00400584, 0.00384587, 0.00776521, 0.00298619, 0.00992668, 0.00553023, 0.0127213, 0.0161171, 0.004148, 0.00603452, 0.00234901, 0.00201412, 0.00971752, 0.00255316, 0.00372236, 0.00579282, 0.00251513, 0.0135769, 0.00433399, 0.0111425, 0.00379535, 0.00190822, 0.00764976, 0.0199662, 0.00282888, 0.00318305, 0.00573234, 0.00341118, 0.0151105, 0.000714705, 0.000553547, 0.000614878, 0.000794524, 0.000177195, 0.0001109, 0.000110519, 0.00012355, 0.000119095, 0.00012218, 0.000112508, 9.63954e-05, 0.000168576, 0.000116919, 0.000137483, 9.98818e-05, 0.000122684, 0.000133543, 0.000134738, 0.000109419, 0.000115386, 0.000119055, 0.000116628, 0.000105535, 0.000125007, 0.000119223, 0.000113123, 0.000110708, 0.0232375, 0.000296714
5616.61,0.806261,0.33395,4,15,0,-5578.26,-1.86618,-1.5818,-1.53185,-1.48135,-1.57771,-1.52301,-1.61296,-1.43211,-1.86955,-1.73297,-1.6327,-1.38267,-1.52575,-1.68611,-1.64643,-1.69945,-1.55311,-1.71646,-1.44561,-1.58246,-1.99717,-1.58994,-1.75811,-1.71809,-1.54933,-1.4231,-1.31688,-1.53376,-1.28663,-1.05793,-1.99901,-1.53483,-1.37218,-1.75627,-1.19698,-1.40817,-1.69083,-1.28287,-1.71335,-1.65864,-2.16893,-1.81021,-1.67798,-1.638,-1.41463,-1.55997,-2.00133,-1.33918,-1.55785,-1.56749,-1.52892,-1.03424,-0.0157959,0.0839572,-0.0422865,-0.0174521,0.00931752,0.0336664,0.115644,-0.0946394,-0.173721,-0.0575859,0.00204275,-0.131875,-0.0946045,-0.0900361,0.126169,0.146777,0.0608719,-0.0105442,-0.00364361,0.0637052,-0.0397933,-0.0140398,0.0404241,0.0348949,-0.000410952,0.000239177,-0.00134527,-0.0238351,0.154382,8.08238,0.0141069,0.00287425,-0.0616617,0.0182458,-0.616375,-0.450872,-0.228845,-0.0473273,-0.63122,-0.424806,1.02935,0.657735,0.529947,-0.00841857,0.0774691,0.171235,-0.0852426,-0.0185236,0.166062,0.173612,-0.041266,-0.0420553,-0.0676858,-0.314527,-0.00981536,0.0585465,-0.296004,-0.00325423
5620.93,0.814157,0.33395,4,15,0,-5575.03,-1.84435,-1.66798,-1.50442,-1.4981,-1.67158,-1.40785,-1.36173,-1.42002,-1.90868,-1.81063,-1.44582,-1.4132,-1.57068,-1.44712,-1.6529,-1.77305,-1.52533,-1.6438,-1.55733,-1.4786,-1.78962,-1.44208,-1.80058,-1.84142,-1.66227,-1.48157,-1.50524,-1.55304,-1.38601,-1.43025,-1.96151,-1.52412,-1.47738,-1.68943,-1.32318,-1.51074,-1.73887,-1.43309,-1.62062,-1.78048,-1.9198,-1.7632,-1.85881,-1.5165,-1.42869,-1.53008,-2.15487,-1.37982,-1.57441,-1.481,-1.59342,-1.26871,-0.0226624,0.0931097,0.00391721,-0.0623652,0.0122545,0.0285745,0.115812,-0.0989226,-0.17543,-0.048902,0.0186546,-0.15198,-0.102027,-0.0888559,0.123696,0.169458,0.0516132,0.00984662,-0.0182104,0.0761877,-0.0163287,0.0129551,0.0279165,0.00469067,0.0291024,0.00966604,0.00604524,-0.00402245,0.096604,8.20847,0.0292498,0.00129784,-0.0889256,0.0767268,-0.653736,-0.442264,-0.186161,-0.0789307,-0.665314,-0.372622,1.01015,0.81607,0.478404,0.0257765,0.0613526,0.203058,0.0173843,0.112445,0.177688,0.0908293,0.177776,0.0574068,0.0988093,-0.0530801,-0.0328761,0.0518439,0.0909829,-0.011629
5618.14,0.718027,0.33395,4,15,0,-5575.73,-1.84637,-1.56957,-1.42207,-1.55416,-1.56012,-1.60602,-1.57913,-1.3966,-1.80999,-1.77297,-1.473,-1.37294,-1.57509,-1.56108,-1.61808,-1.815,-1.6375,-1.59389,-1.39696,-1.46907,-1.91471,-1.46867,-1.72458,-1.6842,-1.46754,-1.56602,-1.49275,-1.54105,-1.39313,-1.55128,-1.81305,-1.66156,-1.42724,-1.85386,-1.16857,-1.39929,-1.76622,-1.3393,-1.65932,-1.77466,-1.93427,-1.63378,-1.70532,-1.67627,-1.33971,-1.60575,-2.06268,-1.4119,-1.46253,-1.55903,-1.54207,-1.27004,-0.0411338,0.0744757,0.0289577,-0.0107583,0.0176346,0.0225144,0.112338,-0.0937383,-0.148588,-0.072176,0.00390261,-0.139192,-0.108122,-0.101637,0.137673,0.152098,0.0801999,-0.00958472,0.0174873,0.0605477,-0.0336595,-0.000551829,0.0170666,0.0104515,0.0125541,-0.00841727,0.00331093,-0.0301137,0.103904,8.31896,0.0520867,-0.000903515,-0.0622374,0.0211478,-0.577452,-0.553172,-0.238588,-0.0455446,-0.730947,-0.490837,1.09896,0.637873,0.691284,-0.0144243,0.11562,0.163752,-0.0896137,-0.0141474,0.041864,0.0171033,-0.000863398,-0.100536,0.00254286,-0.397379,-0.025523,0.0341659,0.225264,-0.00200607
5613.9,0.799611,0.33395,4,15,0,-5571.93,-1.71222,-1.70432,-1.52863,-1.53324,-1.57329,-1.4879,-1.45784,-1.46556,-1.86684,-1.77646,-1.47707,-1.45973,-1.48173,-1.50865,-1.68748,-1.82135,-1.57479,-1.73616,-1.54134,-1.52272,-1.70251,-1.5882,-1.71975,-1.76616,-1.74664,-1.41139,-1.42002,-1.52687,-1.4641,-1.31625,-2.09077,-1.53808,-1.45162,-1.73054,-1.22994,-1.50921,-1.74843,-1.39866,-1.75494,-1.66542,-1.87846,-1.75326,-1.74099,-1.66491,-1.45438,-1.55071,-1.97853,-1.29466,-1.59755,-1.4253,-1.70338,-1.07231,-0.00766383,0.106098,0.00726578,0.00514827,0.00331118,0.0390409,0.121998,-0.0888665,-0.171377,-0.0778603,0.0212341,-0.102689,-0.106015,-0.0827831,0.127252,0.163719,0.0483487,0.0110485,0.0131522,0.0713393,-0.0305337,-0.00399307,0.0492952,0.0118894,0.00953842,0.014686,-0.0159651,-0.0133493,0.115078,8.1955,-0.0268538,0.00667305,-0.0969468,0.0460451,-0.583307,-0.419019,-0.155277,-0.0261917,-0.691483,-0.339559,1.04679,0.791428,0.441227,0.0182772,0.120933,0.19044,-0.0360356,0.043683,0.232025,0.0869346,0.0513704,0.0484938,-0.305246,-0.176157,-4.07267e-05,0.0575134,0.0487248,0.000959981
5611.73,0.823922,0.33395,4,15,0,-5563.97,-1.81742,-1.52254,-1.47675,-1.42953,-1.66823,-1.48632,-1.39963,-1.44401,-1.7518,-1.81134,-1.55054,-1.32629,-1.67074,-1.40921,-1.67316,-1.61626,-1.61358,-1.58378,-1.34653,-1.39078,-1.79339,-1.44873,-1.84906,-1.59877,-1.47095,-1.45753,-1.30234,-1.53218,-1.27515,-1.35218,-1.99192,-1.58238,-1.54611,-1.79945,-1.21102,-1.31234,-1.67071,-1.4019,-1.72657,-1.63602,-1.73853,-1.71625,-1.71811,-1.56187,-1.39748,-1.49705,-2.01395,-1.38258,-1.46444,-1.58226,-1.41744,-1.31558,-0.0133664,0.0648305,-0.0638857,-0.0376907,0.00322739,0.01428,0.12401,-0.0849663,-0.16904,-0.0526074,0.015797,-0.159542,-0.0729982,-0.098055,0.130459,0.140339,0.0545883,0.0180583,0.00206496,0.0686914,-0.0334595,0.014574,0.038722,0.0203887,0.020836,0.0110618,0.00818295,-0.0226584,0.1192,8.15252,0.0669338,-0.00378648,-0.042888,0.0805112,-0.677792,-0.564771,-0.180843,-0.0898157,-0.557981,-0.463859,1.04771,0.644669,0.494192,0.0280176,0.0934625,0.182322,-0.0271887,0.111503,0.205777,0.15173,0.109779,0.0351028,0.101942,-0.298999,-0.0150378,0.0537934,-0.435948,-0.00702806
5608.61,0.731907,0.33395,4,15,0,-5562.79,-1.76298,-1.58673,-1.46689,-1.56996,-1.49018,-1.4911,-1.64338,-1.44556,-1.88829,-1.72842,-1.39297,-1.39462,-1.48865,-1.62335,-1.60904,-1.64627,-1.60306,-1.67779,-1.54356,-1.63148,-1.83968,-1.38799,-1.58978,-1.71692,-1.66547,-1.54224,-1.32694,-1.63502,-1.39708,-1.42904,-1.86561,-1.50041,-1.37293,-1.69642,-1.23627,-1.54267,-1.75074,-1.42725,-1.43437,-1.70774,-1.87681,-1.80261,-1.57798,-1.63117,-1.46196,-1.55866,-2.01453,-1.32096,-1.57561,-1.52396,-1.63152,-1.24701,0.0287665,0.0837384,0.0610789,-0.0224378,-0.0230365,0.0396178,0.118044,-0.104142,-0.155256,-0.0827016,0.0141514,-0.129289,-0.0911902,-0.0833723,0.122749,0.161251,0.0659496,-0.0324782,0.0108407,0.081249,-0.0158687,0.00737409,0.0352463,0.0117898,-0.00197828,-0.00182223,0.00263634,0.00509308,0.138938,7.94278,-0.0237739,0.00448382,-0.10422,-0.0254823,-0.556543,-0.482614,-0.214089,-0.0394253,-0.564573,-0.356934,0.962943,0.734831,0.574348,-0.0175502,0.128985,0.217658,-0.00829481,0.0597004,0.161157,0.073831,-0.00439727,0.000730597,0.0557436,0.067208,0.00453747,0.0309234,0.474884,-0.0041839
