# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_beta_sens_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_sens_pdw2_upload_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.333274
# Diagonal elements of inverse mass matrix:
# 0.00280366, 0.00207888, 0.0017669, 0.0030636, 0.00387341, 0.00452895, 0.00480625, 0.00120156, 0.00553505, 0.00620796, 0.0120129, 0.00248238, 0.0022576, 0.0107088, 0.00267571, 0.00489103, 0.00597099, 0.00516104, 0.00318465, 0.00532996, 0.00944766, 0.00556862, 0.00415644, 0.00393204, 0.00319541, 0.00690421, 0.00383607, 0.0106922, 0.00640798, 0.0122414, 0.0115935, 0.00442842, 0.00563692, 0.00199242, 0.00239928, 0.0114409, 0.00201982, 0.00460975, 0.00599897, 0.00271932, 0.0127434, 0.0046612, 0.011332, 0.00435605, 0.00130929, 0.00751691, 0.0167055, 0.00273263, 0.00402879, 0.00542315, 0.00354727, 0.0142572, 0.000685959, 0.000596799, 0.000705879, 0.000677926, 0.000143274, 0.000141824, 0.000123216, 0.000120113, 0.000136333, 0.000128074, 0.000115978, 0.000129315, 0.000147112, 0.000110755, 0.000129446, 0.000111933, 0.000143464, 0.000142955, 0.000104112, 0.00010563, 0.000102386, 0.000106462, 9.88469e-05, 0.000112347, 0.000106951, 0.00010373, 0.000101176, 0.000113363, 0.0220791, 0.000316355
5612.01,0.984954,0.333274,4,15,0,-5569.71,-1.79063,-1.52526,-1.45276,-1.38476,-1.49494,-1.33029,-1.4259,-1.40982,-1.88199,-1.81786,-1.37744,-1.35254,-1.6318,-1.38523,-1.6793,-1.60138,-1.58966,-1.64894,-1.47718,-1.60174,-1.67337,-1.5408,-1.73463,-1.68016,-1.50561,-1.35622,-1.37014,-1.51354,-1.25885,-1.1896,-1.89352,-1.48669,-1.42507,-1.69649,-1.26347,-1.35659,-1.76579,-1.38699,-1.40658,-1.59748,-1.77534,-1.85695,-1.60907,-1.47354,-1.48467,-1.3227,-1.94846,-1.43745,-1.44147,-1.5946,-1.66866,-1.11809,0.00827447,0.0696033,-0.0354126,-0.00662001,-0.064708,0.0419017,0.146526,-0.105272,-0.160852,-0.0704458,0.0195688,-0.114782,-0.0720659,-0.0986263,0.126754,0.159666,0.0588586,0.0222206,0.00493168,0.0797476,-0.0286703,0.0090465,0.0400842,0.0220835,0.012218,0.00760781,0.00647485,-0.0120785,0.139764,8.22269,-0.207848,0.0179917,-0.0421526,0.0493493,-0.611007,-0.521782,-0.155467,-0.0510629,-0.572979,-0.470804,1.0317,0.739495,0.529313,0.0328952,0.116931,0.216672,-0.0213744,0.0899405,0.206112,0.156489,0.0712155,0.0317409,0.0916708,-0.15938,0.00589108,0.0485479,-0.25583,-0.00123441
5615.21,0.989774,0.333274,4,15,0,-5578.9,-1.83844,-1.6411,-1.48083,-1.58427,-1.68302,-1.64974,-1.58998,-1.47061,-1.82755,-1.71362,-1.49879,-1.34507,-1.49058,-1.58624,-1.61047,-1.73798,-1.70297,-1.72358,-1.48672,-1.50054,-1.80751,-1.49725,-1.7635,-1.71829,-1.6361,-1.52256,-1.44746,-1.52501,-1.3765,-1.54931,-1.88138,-1.55756,-1.425,-1.7212,-1.29237,-1.65719,-1.76743,-1.402,-1.71833,-1.73204,-1.90065,-1.76221,-1.77616,-1.54248,-1.40973,-1.57905,-2.04064,-1.44296,-1.58214,-1.48942,-1.67089,-1.46255,-0.0029333,0.07865,-0.0117188,-0.0324525,-0.0495843,0.0621806,0.108722,-0.10276,-0.139355,-0.0508922,0.0146177,-0.140027,-0.081807,-0.0570025,0.128723,0.160202,0.0697617,-0.013425,0.0316208,0.0747347,-0.0375487,-0.0105547,0.0259813,0.00422282,-0.00092348,-0.00393167,-0.00792212,-0.0113541,0.0896122,8.47641,-0.281393,0.0275369,-0.0652121,0.0299626,-0.543102,-0.469389,-0.21219,-0.0596043,-0.605416,-0.1249,1.05055,0.702635,0.607167,-0.013844,0.165805,0.205446,-0.0990087,-0.0376045,0.0830939,-0.00969719,-0.0413115,-0.0524183,-0.160479,-0.149822,-0.01086,0.0475821,-0.0545962,-0.00605131
5615.16,0.831347,0.333274,4,15,0,-5574.57,-1.81196,-1.62132,-1.48551,-1.57313,-1.67971,-1.54181,-1.52134,-1.50776,-1.87771,-1.781,-1.40456,-1.41452,-1.45677,-1.59961,-1.55812,-1.68391,-1.64963,-1.67342,-1.49655,-1.48693,-1.87978,-1.46136,-1.61816,-1.71883,-1.66869,-1.48255,-1.44945,-1.84012,-1.40368,-1.38695,-2.04637,-1.67176,-1.44332,-1.76467,-1.22884,-1.44398,-1.71413,-1.41581,-1.70676,-1.73993,-1.76637,-1.71198,-1.7051,-1.48734,-1.46231,-1.6134,-2.21678,-1.34367,-1.47325,-1.49575,-1.63184,-1.1678,0.0123733,0.107407,-0.01695,-0.04243,-0.0542184,0.0230474,0.114049,-0.0991005,-0.174105,-0.0587824,0.0121279,-0.131467,-0.0982616,-0.0780368,0.119162,0.143224,0.0633661,0.015515,0.00273237,0.0749645,-0.0113708,-0.000370544,0.0293336,-0.00348883,0.00702751,-0.00883424,-0.0139497,-0.0134161,0.0913117,8.2964,-0.0396601,0.00254486,-0.0723706,0.0647473,-0.672563,-0.509915,-0.174017,-0.0683336,-0.691948,-0.3217,0.971176,0.639247,0.56003,0.00863092,0.10683,0.206804,-0.034542,-0.0141148,0.0836233,-0.0661719,-0.0214751,-0.0922665,-0.27042,-0.17703,-0.00555912,0.0652117,-0.083447,-0.00791178
5608.34,0.845248,0.333274,4,15,0,-5573.39,-1.76374,-1.603,-1.51257,-1.42086,-1.44992,-1.43065,-1.4865,-1.37499,-1.78754,-1.75374,-1.55247,-1.28792,-1.58643,-1.30519,-1.68703,-1.63554,-1.60265,-1.7274,-1.49893,-1.63907,-1.71896,-1.5547,-1.91509,-1.65286,-1.49149,-1.41571,-1.37838,-1.38494,-1.32239,-1.25912,-1.87815,-1.47357,-1.45938,-1.74723,-1.18431,-1.50124,-1.78123,-1.45699,-1.52593,-1.64095,-1.93464,-1.72232,-1.73781,-1.67251,-1.4141,-1.36883,-1.85466,-1.47864,-1.56691,-1.57916,-1.55409,-1.30291,0.0128806,0.0420171,-0.0303138,0.00369377,-0.0537262,0.0379924,0.132319,-0.123953,-0.135866,-0.0509939,0.00859431,-0.120771,-0.0727881,-0.0882285,0.113284,0.176464,0.0569846,0.00727198,0.0240616,0.0779859,-0.054028,0.0019984,0.0429205,0.0193113,0.0115705,0.0080971,0.0218802,-0.0216525,0.143659,7.97284,-0.196313,0.0176965,-0.0498329,-0.00481996,-0.521251,-0.408511,-0.21058,-0.0512374,-0.546889,-0.411908,0.945551,0.824765,0.514427,0.0188419,0.153203,0.210778,-0.0874491,0.0675148,0.216203,0.139539,0.0688201,0.0343233,0.345212,-0.285712,0.0110972,0.0316066,-0.228294,0.000688765
5615.75,0.998264,0.333274,4,15,0,-5577.95,-1.79681,-1.65755,-1.44631,-1.42666,-1.68956,-1.45059,-1.54277,-1.48627,-1.7243,-1.7277,-1.43734,-1.41455,-1.50788,-1.52422,-1.62757,-1.77169,-1.60592,-1.65815,-1.51336,-1.50922,-1.77487,-1.4708,-1.61302,-1.82978,-1.66913,-1.51343,-1.47488,-1.62767,-1.39064,-1.31649,-2.03349,-1.67234,-1.35744,-1.79582,-1.28083,-1.36558,-1.76128,-1.40275,-1.54598,-1.70733,-1.76476,-1.74752,-1.69425,-1.51802,-1.45033,-1.55204,-2.06943,-1.35109,-1.42171,-1.48916,-1.64671,-0.936332,-0.0429748,0.101466,-0.0303034,-0.0286482,-0.0544695,0.0270953,0.104579,-0.0907814,-0.171247,-0.0558868,0.00316989,-0.135465,-0.0995825,-0.0917582,0.136998,0.143234,0.0577461,0.0167494,0.0042,0.0736068,-0.00208997,0.000892589,0.0263837,0.00160037,0.0158074,-0.00148058,-0.0113972,-0.00208575,0.0933704,8.31621,-0.0333278,0.00223718,-0.0696597,0.0738971,-0.667808,-0.514024,-0.202863,-0.0664015,-0.707809,-0.401668,1.09609,0.655447,0.516848,0.020426,0.107439,0.202288,0.0136464,0.0269303,0.117337,0.0140628,0.0648837,-0.024901,-0.204528,-0.0275222,-0.0284646,0.0652919,-0.196087,-0.00534194
5610.25,0.756008,0.333274,4,15,0,-5577.03,-1.88717,-1.62607,-1.47358,-1.41799,-1.51815,-1.40988,-1.39938,-1.41515,-1.82824,-1.79433,-1.48102,-1.29576,-1.5867,-1.28403,-1.64616,-1.64147,-1.66998,-1.71866,-1.53153,-1.56708,-1.91673,-1.40442,-1.79679,-1.60952,-1.59114,-1.45894,-1.36065,-1.40789,-1.42763,-1.30789,-2.0193,-1.55183,-1.475,-1.71727,-1.17052,-1.52898,-1.7695,-1.38856,-1.53941,-1.68625,-2.00302,-1.66312,-1.69292,-1.63102,-1.46688,-1.34993,-2.02514,-1.42425,-1.57945,-1.61999,-1.56117,-1.33075,0.00676371,0.0776551,-0.00326144,-0.02131,-0.048638,0.0424005,0.129144,-0.11035,-0.140907,-0.0450993,0.0113473,-0.122113,-0.0789459,-0.0690421,0.120224,0.182109,0.0562897,0.00522833,0.0270238,0.0779238,-0.0475016,-0.00268197,0.0386634,0.0165871,0.000806173,0.0110102,0.0264067,-0.0189172,0.111991,7.85626,-0.192532,0.018231,-0.0362643,0.0363066,-0.519581,-0.370442,-0.212368,-0.0497991,-0.585203,-0.221775,1.00754,0.858427,0.505449,0.0162839,0.159409,0.210604,-0.0779399,0.047726,0.196565,0.123927,0.028549,0.0616846,0.42997,-0.24962,-0.00229511,0.0446505,-0.00299686,-0.0039736
