# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_normal_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_full_pdw2_all_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.419319
# Diagonal elements of inverse mass matrix:
# 0.0104939, 0.00679253, 0.00555829, 0.00729488, 0.00434055, 0.00516222, 0.00704976, 0.00163128, 0.00622894, 0.00899888, 0.0302008, 0.00519644, 0.00416917, 0.0239003, 0.0019684, 0.0545392, 0.00688145, 0.00568982, 0.00714177, 0.00961161, 0.0152618, 0.0107936, 0.00935822, 0.00796111, 0.00890157, 0.0121826, 0.00658941, 0.01581, 0.00986764, 0.0228675, 0.0196617, 0.00564284, 0.00781599, 0.00336283, 0.00376283, 0.016615, 0.00375875, 0.00680248, 0.00945026, 0.00630886, 0.0446335, 0.00732355, 0.030729, 0.00948641, 0.00237024, 0.0170803, 0.0564267, 0.00518772, 0.00414129, 0.011863, 0.00922152, 0.0154116, 0.00188661, 0.00156188, 0.0021458, 0.00208647, 0.000188764, 0.000150462, 0.000229103, 0.000158902, 0.000201345, 0.000166698, 0.000203428, 0.000188592, 0.000174778, 0.000233307, 0.000159956, 0.000225472, 0.00018171, 0.000169004, 0.00019021, 0.000156222, 0.000129825, 0.000127361, 0.000146405, 0.000195415, 0.000141695, 0.000164808, 0.000133409, 0.000141814, 0.000141733, 0.000255116, 0.0233975
253.65,0.711674,0.419319,4,15,0,-211.318,6.25749,6.67659,6.80045,6.66146,6.61341,6.90189,6.59351,6.7549,6.32619,6.62527,6.97133,6.86597,6.95265,6.82419,6.48572,6.36054,6.83308,6.60671,6.89269,6.23051,6.39602,6.86823,6.71461,6.50025,6.53418,6.67298,6.67616,6.64797,6.59845,6.70993,6.51168,6.43707,6.88623,6.30094,7.23063,6.94006,6.40828,6.71184,6.86056,6.58552,6.34507,6.95335,6.36227,6.50095,6.79197,6.59867,5.72398,7.31533,6.61052,6.73225,7.00564,7.007,0.0375373,0.0851436,-0.0204853,-0.111472,0.0317302,-0.101129,0.206869,-0.115485,0.0972841,-0.0586363,-0.0247175,-0.0937163,0.827163,-0.151513,-0.132821,0.0983533,-0.081051,0.0194248,-0.0451593,0.00258963,0.0772188,-0.0235733,0.00662547,0.0251397,0.0350328,0.0189717,-0.0184642,0.00314468,-0.0373564,0.560968,0.283947,0.339123,-0.0248672,0.0551645,-0.00810764,0.0331727,-0.00387679,-0.00819784,-0.0458393,1.11346,-0.744263,-1.8284,0.466559,-0.948139,0.325378,-0.0567751,0.113551,0.213789,-0.0697767,-0.00577134,0.0382849,0.0802213,-0.0441125,-0.181741,-0.0447244,-0.423882,-0.0188385,0.0534037,-0.0389711,-0.0208056
261.155,0.557303,0.419319,3,7,0,-204.196,6.25491,6.63143,6.8657,6.81449,6.68935,6.86791,6.6346,6.83951,6.28472,6.65268,6.70829,6.97258,6.85168,6.94195,6.57961,6.45403,6.7441,6.52763,6.99671,6.39521,6.52936,6.81442,6.70987,6.37552,6.50449,6.42763,6.62252,6.59963,6.85083,7.16293,6.52859,6.51158,6.96627,6.24355,7.30898,6.6787,6.48701,6.86723,6.7359,6.68568,6.03473,6.93863,5.97678,6.40602,6.7945,6.62124,5.74377,7.07631,6.82218,6.66934,7.23382,6.85867,0.0300791,0.0784241,0.0224941,-0.133396,0.0280061,-0.105489,0.186681,-0.07842,0.0859306,-0.0475878,0.015948,-0.082448,0.836027,-0.148786,-0.180393,0.12594,-0.0726028,0.0197918,-0.0610273,0.0160015,0.0657147,-0.0173915,-0.0196722,0.0292924,0.0135258,0.0124298,-0.0152642,0.0126451,-0.0318147,0.545628,0.249576,0.800945,-0.056718,-0.2634,0.025324,-0.0395835,0.00259485,0.115689,0.00797305,1.15793,-0.761707,-2.3765,0.722501,-0.888489,0.350468,-0.0710726,0.124335,0.1815,-0.0697929,-0.0813145,0.0568041,-0.0070803,-0.0417823,-0.140849,0.118711,-0.361,-0.0337045,0.0390225,0.299533,-0.0248974
267.222,0.717275,0.419319,3,7,0,-216.227,6.33094,6.6282,6.86668,6.82615,6.70752,6.86555,6.59849,6.81802,6.37711,6.63287,6.74561,7.03417,6.85092,6.9934,6.58617,6.42967,6.69677,6.49146,6.95083,6.38632,6.57368,6.82146,6.64815,6.3976,6.50694,6.48487,6.58064,6.63908,6.74666,7.02606,6.61866,6.48643,6.94092,6.25194,7.24634,6.66467,6.46054,6.83476,6.69097,6.72961,6.06422,6.96138,6.01366,6.39671,6.79354,6.57694,5.59165,7.08758,6.80762,6.7239,7.17534,6.95019,0.0374565,0.0375869,0.031157,-0.157833,0.0232983,-0.102081,0.188769,-0.0789863,0.0844061,-0.0442307,0.0131233,-0.0868535,0.829622,-0.162857,-0.173784,0.117359,-0.0727024,0.0119354,-0.0581304,0.0115991,0.0590761,-0.0163075,-0.0205391,0.0168824,0.0115875,0.00679482,-0.0224233,0.0151964,-0.0336807,0.552132,0.244814,0.72362,-0.0519495,-0.242527,0.023654,-0.062392,0.00526589,0.104846,-0.00841804,1.14373,-0.833136,-2.33121,0.689372,-0.852868,0.255757,-0.0736259,0.105881,0.16384,-0.0901423,-0.115534,-0.0148125,-0.0441781,-0.0873518,-0.180704,0.154142,-0.382175,-0.0402258,0.0145222,0.387853,-0.0294584
265.121,0.662601,0.419319,4,15,0,-226.213,6.42717,6.42459,6.73373,6.83661,6.57643,6.91176,6.5536,6.85282,6.24995,6.64167,7.01274,6.81941,6.92224,7.00821,6.38283,6.24614,6.74599,6.59915,6.87127,6.41248,6.74383,6.98342,6.69926,6.43259,6.62918,6.66531,6.89226,6.50454,6.60903,6.8794,6.50091,6.41592,6.92569,6.2975,7.20884,6.719,6.45083,6.87515,7.01132,6.52826,6.08567,6.92275,6.34153,6.33472,6.81636,6.73811,6.46295,7.16431,6.67671,6.78762,6.83933,6.96314,-0.0534488,0.0912591,-0.043035,-0.0359218,0.0404276,-0.0881316,0.204109,-0.108686,0.0847852,-0.0700232,0.00232847,-0.0985626,0.821577,-0.181389,-0.134232,0.106245,-0.0850683,0.00265097,-0.0411813,0.0171052,0.0571793,0.00221746,-0.00548259,0.0196797,0.0453026,0.0272778,0.00137389,0.00337794,-0.0102562,0.555171,0.251672,0.106145,-0.00901072,0.043273,-0.00468645,0.0344111,-0.00589398,0.0683036,-0.0770056,1.11591,-0.858441,-1.83054,0.472958,-0.924198,0.129859,-0.0302241,0.114585,0.157584,0.0489662,0.0460468,0.12437,0.24793,0.104533,-0.0123698,0.0272804,-0.116377,-0.0366036,0.0617067,-0.280854,-0.00670456
269.075,0.996656,0.419319,3,7,0,-238.918,6.52127,6.46125,6.79292,6.79112,6.57663,7.09996,6.51218,6.80002,6.27588,6.76388,6.94901,6.90819,6.95118,6.87683,6.42092,6.18487,6.80145,6.49552,6.97088,6.37492,6.60847,6.90031,6.63132,6.31707,6.57167,6.58872,6.76959,6.61925,6.72423,7.06598,6.55349,6.48103,7.00024,6.29425,7.11295,6.5983,6.39284,6.94585,6.88195,6.51508,6.39704,6.85552,6.25116,6.35403,6.83714,6.62056,6.27982,7.11369,6.70187,6.86258,6.97719,6.89471,-0.0116628,0.0370672,0.00823572,-0.0488136,0.0426882,-0.0975146,0.188725,-0.0934584,0.0817027,-0.0705367,-0.00675089,-0.116185,0.817864,-0.169441,-0.138708,0.117384,-0.0769894,0.0279604,-0.0433454,0.0147009,0.0679669,-0.0132665,0.0101349,0.0223119,0.0241956,0.0286754,-0.00328341,0.0273119,-0.0139058,0.554249,0.204436,0.446581,-0.0314862,-0.15157,0.013011,0.0320642,-0.0066998,0.0372238,-0.0930835,1.12276,-0.834956,-1.78683,0.552463,-0.943973,0.419298,-0.0331104,0.124679,0.1871,0.0131089,0.0856054,0.126305,0.147828,0.11578,-0.0183146,0.394609,-0.157789,-0.0239567,0.018902,0.109641,-0.00911073
270.717,0.749474,0.419319,3,7,0,-238.47,6.50921,6.45992,6.84479,6.90759,6.61407,6.9944,6.57111,6.87638,6.26869,6.7197,6.8814,6.93354,6.91711,6.79529,6.50257,6.45994,6.7665,6.47633,6.88845,6.22008,6.68297,7.013,6.65782,6.45092,6.47811,6.73166,6.77834,6.58902,6.75202,6.99625,6.62951,6.61734,7.06335,6.32963,7.21183,6.72256,6.44633,6.78559,6.80998,6.60863,6.25451,6.93714,6.06338,6.47292,6.81175,6.67894,6.0037,7.00185,6.78078,6.75751,6.87054,6.91258,-0.00274183,0.0857025,-0.0769688,-0.0452137,0.0424995,-0.087568,0.176435,-0.0967433,0.0775836,-0.0449232,0.0175361,-0.0974463,0.813027,-0.191693,-0.14909,0.0999446,-0.0793496,0.00808617,-0.0414602,0.000739149,0.0739243,0.00154753,-0.0368733,0.0302437,0.0197991,0.0162279,0.00994059,0.0175848,-0.0185762,0.556138,0.234052,0.239644,-0.0170431,-0.043502,0.002241,-0.09604,0.00852143,0.118376,-0.0542896,1.12006,-0.934427,-2.08523,0.460907,-0.919098,0.260775,-0.0338639,0.103806,0.20217,0.0229421,-0.0524402,0.152266,0.126619,0.0779042,0.0308338,0.229804,-0.210783,-0.0116227,0.0673401,-0.521416,-0.00843883
271.243,0.61074,0.419319,3,15,0,-230.815,6.44514,6.44348,6.81595,6.9359,6.65175,6.96676,6.58537,6.90494,6.25162,6.63237,6.79778,6.96158,6.92678,6.91698,6.46725,6.57365,6.78864,6.50331,6.89538,6.28826,6.70672,7.00587,6.6966,6.46893,6.51582,6.7507,6.82534,6.61718,6.71147,7.01248,6.61959,6.59164,7.06189,6.33753,7.24633,6.77878,6.46772,6.76181,6.79468,6.61815,6.22652,6.97725,6.08402,6.47591,6.84205,6.68927,6.15744,7.04687,6.80643,6.74807,6.89703,6.98681,0.0308794,0.0786609,-0.0747846,-0.0748729,0.0375401,-0.0895576,0.188033,-0.0975472,0.0813218,-0.0576422,0.00345955,-0.0944535,0.808504,-0.196935,-0.14635,0.111264,-0.077206,0.00656457,-0.0475377,-0.00182002,0.0742353,-0.00683927,-0.0341519,0.0248714,0.0131544,0.0223183,0.00630557,0.0193423,-0.0186578,0.5566,0.229078,0.271719,-0.0206124,-0.0226057,0.00193874,-0.0262218,0.000337646,0.0753072,-0.0537506,1.12477,-0.968554,-1.93865,0.56997,-0.903421,0.254428,-0.0403493,0.0982301,0.203207,-0.00322376,-0.0524138,0.128346,0.0931196,0.0960625,0.013124,0.257247,-0.21171,-0.00539705,0.0632079,-0.475563,-0.0139745
260.203,0.706497,0.419319,3,7,0,-236.797,6.32829,6.66759,6.77963,6.87252,6.64335,7.08523,6.5062,6.845,6.42025,6.69796,6.85405,6.93483,6.74167,7.11718,6.42727,6.23985,6.74812,6.39063,6.79361,6.52772,6.7206,6.9543,6.49651,6.41605,6.73115,6.44462,6.65919,6.45287,6.6582,7.17435,6.59221,6.44704,6.9024,6.27519,7.16679,6.70383,6.41941,6.9349,6.92138,6.54173,6.24494,6.9064,6.23827,6.50558,6.79749,6.66732,5.97671,7.1597,6.75116,6.70753,7.04898,6.83996,-0.00139995,0.0335528,0.00440373,-0.0567624,0.0254551,-0.0982927,0.183163,-0.072322,0.0854243,-0.0514633,0.0145986,-0.0991847,0.81562,-0.173615,-0.159597,0.129363,-0.0683665,0.0211383,-0.0381005,0.023142,0.0516693,-0.000393915,0.0197975,0.0155502,0.0318008,-0.0078447,0.00206578,0.033657,-0.0123142,0.548464,0.241693,0.642376,-0.0470188,-0.270119,0.0265093,-0.0531025,0.00400716,0.103393,-0.0334008,1.11512,-0.86754,-2.06386,0.703585,-0.804609,0.271951,-0.0309115,0.122125,0.141954,0.0373814,0.0940347,0.0821911,0.162441,-0.0181821,0.0214011,0.498443,-0.139729,-0.0213846,0.0180159,0.0894001,-0.0105943
266.479,0.987052,0.419319,4,15,0,-227.341,6.40694,6.53262,6.79908,6.8435,6.60487,6.83403,6.66402,6.85112,6.40407,6.61403,6.71522,7.03356,6.93777,6.9782,6.46151,6.54908,6.71556,6.54153,6.95363,6.45238,6.39181,6.89027,6.68507,6.3394,6.66484,6.71402,6.85487,6.31454,6.67995,7.21339,6.6753,6.47054,6.99726,6.1992,7.23973,6.79285,6.47365,6.75989,6.70952,6.56175,6.2105,7.0675,6.22263,6.48732,6.76859,6.77539,5.81688,7.14003,6.80019,6.66515,7.02905,6.71365,0.0423931,0.0607922,-0.0711535,-0.148298,0.0147819,-0.0998498,0.203362,-0.0900788,0.0888746,-0.0580871,0.0179741,-0.0798417,0.823847,-0.180992,-0.178539,0.0983253,-0.0835746,0.0017339,-0.0349371,-0.00746703,0.0570405,-0.0155033,-0.0116172,0.0207567,0.0499653,0.0301686,-0.023419,0.0135382,-0.0202007,0.545881,0.202076,0.458973,-0.0354524,-0.120229,0.012372,-0.0195103,0.00127886,0.131886,-0.00149187,1.12071,-0.889876,-2.54967,0.459012,-0.910337,0.138301,-0.0375456,0.0634006,0.159176,-0.0348198,-0.0217591,0.0707823,0.199395,0.0383316,-0.156895,0.162046,-0.229217,-0.0271422,0.0531873,-0.375129,-0.0276788
