# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_normal_full_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_full_pdw2_download_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.401022
# Diagonal elements of inverse mass matrix:
# 0.00935377, 0.00639845, 0.00401935, 0.00813047, 0.00410145, 0.00591449, 0.00669916, 0.00171155, 0.00644417, 0.00803211, 0.0225196, 0.00480775, 0.00385719, 0.0216037, 0.0021422, 0.0500993, 0.00668386, 0.00538305, 0.00623667, 0.00886583, 0.0132666, 0.0096239, 0.00812699, 0.00712572, 0.00852557, 0.0108602, 0.00798263, 0.0135058, 0.00979273, 0.023611, 0.0213012, 0.00502204, 0.00787848, 0.00348723, 0.00337512, 0.0125642, 0.00314372, 0.00588205, 0.00844616, 0.00767649, 0.0382106, 0.00760181, 0.0271096, 0.00940739, 0.00232532, 0.0188078, 0.0667681, 0.00472186, 0.00380112, 0.0115211, 0.00931861, 0.0144889, 0.00199563, 0.00166395, 0.00207616, 0.00218025, 0.000202248, 0.000137208, 0.000182791, 0.000173285, 0.000195541, 0.000244126, 0.000132685, 0.000244377, 0.000173412, 0.000186396, 0.00021885, 0.00013636, 0.000124827, 0.000124482, 0.000150626, 0.000155311, 0.000131803, 0.000129001, 0.000146356, 0.000136861, 0.000142036, 0.000199366, 0.0208166
264.788,0.76913,0.401022,4,15,0,-223.849,6.46532,6.42644,6.75585,6.72854,6.57472,6.88419,6.63676,6.80843,6.38292,6.72249,6.92788,6.81202,6.90953,6.86996,6.49904,6.02096,6.79427,6.56688,6.81134,6.55213,6.79032,6.85971,6.75744,6.52236,6.63,6.57117,6.7983,6.47205,6.5582,6.78885,6.60257,6.50899,6.88261,6.42579,7.25514,6.60455,6.47189,7.01345,6.72197,6.62127,6.3224,6.99389,5.95328,6.45139,6.85351,6.67152,5.92662,7.28998,6.65841,6.69553,6.90852,6.94333,0.0215397,0.0360098,0.0336575,-0.0481673,0.0269513,-0.0794196,-0.00523202,-0.167554,0.847434,-0.187483,-0.151938,0.110344,-0.0596951,0.0327562,-0.0583195,0.0195476,0.0460677,0.00459923,-0.00242287,0.0200612,0.0374871,0.0184808,-0.0182684,0.0117211,-0.0226665,0.549181,0.223292,0.162954,-0.0137044,-0.0115567,-0.0209061,1.12355,-0.828949,-1.9413,0.556773,-0.788392,0.426523,-0.0602897,0.104729,0.128695,0.0127503,-0.00983721,0.0516861,0.129273,-0.00515996,-0.13688,0.127357,-0.256194,-0.00811642,0.0118642,0.296198,-0.00899011
248.229,0.611428,0.401022,3,7,0,-214.141,6.61332,6.59598,6.70505,6.66243,6.60216,6.89758,6.71592,6.91921,6.28296,6.58462,6.98461,6.86186,6.88141,6.72198,6.4921,6.50927,6.9497,6.57755,6.93837,6.25624,6.4634,6.77975,6.60036,6.35364,6.63595,6.4789,6.80689,6.47285,6.47302,6.94147,6.47319,6.46732,6.86681,6.33538,7.16448,6.62237,6.4897,6.73973,6.8609,6.56324,5.99879,6.84257,6.14421,6.29582,6.72726,6.62653,6.45987,7.22643,6.7212,6.57887,6.87832,7.01294,0.00237426,0.13509,0.057906,-0.108477,0.0364558,-0.104554,0.0209838,-0.163256,0.837155,-0.182659,-0.176055,0.131038,-0.0992491,0.0390773,-0.0528205,0.00827284,0.051804,0.00500932,0.00666623,0.0404957,0.0350442,0.0158648,-0.0168066,0.0455734,-0.0304558,0.563047,0.24398,0.536185,-0.039296,0.107622,-0.0314396,1.13391,-0.795815,-2.36569,0.525941,-1.17927,0.504194,-0.0517963,0.0916425,0.145547,0.0381972,0.0433186,0.141765,0.134166,0.00662627,-0.109009,0.640011,-0.344233,-0.0400982,0.0610852,0.535294,-0.0202464
249.728,0.926309,0.401022,3,7,0,-206.966,6.24344,6.39629,6.78463,6.71196,6.64785,6.99564,6.63018,6.843,6.27065,6.85689,6.74789,6.97108,6.89787,7.05185,6.44482,5.9959,6.87166,6.55408,6.98937,6.21699,6.64043,6.6892,6.73388,6.51011,6.65597,6.65706,6.80006,6.51892,6.62234,6.6711,6.57941,6.49549,7.03965,6.1926,7.25885,6.59973,6.49619,6.90238,6.70284,6.74005,6.32329,7.03214,6.01788,6.43732,6.91846,6.76432,6.1523,7.20001,6.7358,6.41709,6.91908,6.99428,0.0203854,0.0341374,0.0303957,0.00926849,0.044213,-0.0925678,0.0186116,-0.149172,0.828016,-0.191362,-0.159704,0.118637,-0.0759343,0.00964291,-0.0528932,0.00643402,0.0748875,-0.0212973,0.000334051,-0.000271823,0.0125983,0.0102306,-0.0198253,0.0232613,-0.0231302,0.557715,0.299977,0.360275,-0.0259968,0.0820314,-0.00574363,1.1137,-0.888044,-2.06352,0.658522,-0.878381,0.235454,-0.0608219,0.1152,0.204505,-0.0795851,-0.0362196,-0.0441378,0.000726068,-0.0339989,-0.133234,0.307624,-0.261434,0.0127057,0.0110534,0.21453,0.0017299
258.426,0.966341,0.401022,3,15,0,-213.891,6.41408,6.44055,6.83187,6.7736,6.58978,6.83652,6.50815,6.85655,6.30588,6.73128,6.68108,7.01703,6.93111,6.94292,6.50845,6.36305,6.63814,6.48903,6.98243,6.36893,6.70325,6.96837,6.50034,6.40364,6.62769,6.69011,6.77677,6.60664,6.4674,7.19282,6.83413,6.40437,7.08559,6.29042,7.24982,6.51089,6.53518,6.896,6.8584,6.58201,6.1399,6.97074,6.20174,6.2874,6.80014,6.41596,6.36398,7.11601,6.79642,6.83667,6.92968,6.87959,0.029284,0.0152345,-0.0358056,-0.140433,0.0584296,-0.104787,0.0442212,-0.156578,0.852675,-0.203984,-0.153886,0.104037,-0.0781949,-0.0112452,-0.05395,0.00951439,0.0391873,-0.00172383,-0.0120107,0.0150775,0.0463958,-0.000767063,-0.0040474,0.00197593,-0.0294774,0.547534,0.295145,0.440098,-0.0298649,0.148907,-0.0401051,1.12765,-0.87719,-2.09427,0.547029,-0.803926,-0.0582241,-0.0585319,0.0753088,0.108405,-0.0152028,-0.0448888,0.0280473,0.164095,-0.0748981,-0.0879265,-0.0429556,-0.333175,-0.0341568,0.0189724,-0.122722,-0.0262108
263.497,0.942557,0.401022,4,15,0,-224.214,6.43147,6.66923,6.80612,6.58398,6.74473,6.78803,6.72118,6.85918,6.29538,6.69331,6.80532,6.88498,6.88122,6.82231,6.47277,6.36162,6.82138,6.55451,6.87717,6.42338,6.48435,6.84514,6.71831,6.52176,6.72084,6.55595,6.6226,6.49039,6.69315,6.79876,6.42226,6.6033,6.74851,6.32837,7.2609,6.7353,6.44308,6.79739,6.85111,6.82757,6.41542,6.96193,6.22105,6.58571,6.75686,6.68428,6.12924,7.13515,6.6344,6.62521,6.99855,6.92971,0.0414493,0.0715993,0.00825489,-0.118925,0.0310682,-0.0714444,0.00296297,-0.150716,0.836581,-0.174909,-0.14844,0.107087,-0.0724225,0.0458011,-0.0723714,0.0225142,0.0642768,0.00215983,-0.00459063,0.0291674,0.0113806,0.0294648,-0.0050944,0.0219521,-0.0112572,0.567715,0.204927,0.0964746,-0.00879861,0.0272617,-0.00354808,1.13431,-0.747177,-1.95425,0.424217,-0.988353,0.623052,-0.060809,0.134721,0.176968,0.0384046,0.0337115,0.138902,0.0791872,0.113318,-0.0285716,0.316855,-0.127237,-0.0216576,0.0387112,0.180151,-0.0221966
267.872,0.942377,0.401022,4,15,0,-226.603,6.42304,6.55509,6.76603,6.71521,6.74466,6.80278,6.72594,6.81702,6.24557,6.72601,6.64287,6.88827,6.87656,6.77791,6.56833,6.41826,6.81007,6.59208,6.93714,6.53384,6.50688,6.95015,6.72346,6.60436,6.63931,6.66019,6.68918,6.57192,6.46723,6.88326,6.43617,6.56909,6.82306,6.39631,7.21768,6.75831,6.41766,6.75453,6.78772,6.86053,6.14081,6.97793,6.25363,6.57843,6.81717,6.65775,6.00304,7.05155,6.70698,6.70847,6.95888,6.91153,0.0427795,0.0426504,0.0207531,-0.0649508,0.0271583,-0.0869538,0.00567255,-0.163015,0.840335,-0.177972,-0.146946,0.114962,-0.0746458,0.0364709,-0.0658602,0.000343946,0.0521424,0.000196773,-0.00178052,0.028514,0.0278536,0.0333602,-0.0218819,0.0289561,-0.00628508,0.563853,0.181326,0.288218,-0.0224268,0.0339999,-0.033773,1.13111,-0.770588,-1.86463,0.49654,-0.968093,0.509141,-0.0567408,0.0726949,0.145281,0.0308597,0.0352751,0.128542,0.138642,0.102649,-0.0985757,0.439455,-0.0710385,-0.00233882,0.0189817,0.218015,-0.0121226
