# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/vi_normal_full_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_full_pdw2_pcount_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.352011
# Diagonal elements of inverse mass matrix:
# 0.00892339, 0.00643117, 0.00447593, 0.00702128, 0.00404282, 0.00455053, 0.00656743, 0.00181184, 0.00591491, 0.00984589, 0.0370154, 0.00564427, 0.00464046, 0.0174333, 0.00243686, 0.0424224, 0.00950295, 0.00644342, 0.00696764, 0.00873126, 0.0144425, 0.0102308, 0.00803922, 0.00643903, 0.00974679, 0.0138421, 0.0070017, 0.0147041, 0.0124195, 0.023723, 0.0172284, 0.00589319, 0.00792676, 0.00310461, 0.00301732, 0.0141639, 0.00341077, 0.0055463, 0.010711, 0.00789745, 0.0433133, 0.00738511, 0.0300714, 0.00862566, 0.00241699, 0.0163235, 0.0559335, 0.00493657, 0.0042848, 0.00955956, 0.00779211, 0.014702, 0.00163704, 0.00136064, 0.00207531, 0.00200176, 0.00020066, 0.000153711, 0.000217664, 0.00018031, 0.000203336, 0.000228986, 0.000136632, 0.000231334, 0.000201835, 0.000156454, 0.00020454, 0.000128835, 0.000140545, 0.000133022, 0.000125254, 0.000145399, 0.000137548, 0.000140347, 0.000179103, 0.000161493, 0.000150949, 0.000215731, 0.0178494
246.632,0.888046,0.352011,4,15,0,-206.307,6.46638,6.7423,6.76189,6.73582,6.62688,6.87539,6.50565,6.89572,6.32341,6.82099,7.0137,6.86571,6.88884,6.95671,6.45848,6.26336,6.63789,6.48378,7.02843,6.46151,6.67606,7.0381,6.61203,6.48255,6.7385,6.4499,6.7178,6.74244,6.69955,7.29686,6.72074,6.39416,7.10495,6.13378,7.27133,6.84405,6.45379,6.87726,6.92698,6.59367,5.85834,6.98586,6.17301,6.20548,6.80876,6.30879,6.08116,7.04299,6.76809,6.76978,6.84084,7.07271,0.0715092,0.149592,0.0625079,-0.101437,0.170992,-0.126491,0.00429988,-0.118362,0.844705,-0.214523,-0.165565,0.130184,-0.0990607,-0.00569078,-0.0287945,0.0291891,0.0491335,-0.0255243,-0.00917479,0.00231469,0.0418824,0.026158,-0.0106622,0.0195022,-0.031968,0.543571,0.270539,0.0224152,-0.0059245,0.0744897,-0.0183448,1.14805,-0.969949,-2.19259,0.65572,-0.996487,0.0391472,-0.0317405,0.124224,0.131827,-0.0695001,-0.0270291,0.00506128,0.169373,0.0374635,-0.108746,0.226493,-0.36119,-0.00159946,0.0678555,0.562117,-0.0189326
251.514,0.927092,0.352011,4,15,0,-208.899,6.4591,6.65082,6.67101,6.77234,6.67447,6.98409,6.58692,6.7434,6.34116,6.53092,6.36833,7.0071,6.91871,7.04427,6.47328,6.45406,6.89533,6.59043,6.86123,6.26248,6.63928,6.77405,6.6979,6.43913,6.48702,6.80772,6.81121,6.36773,6.62999,6.7406,6.44798,6.59795,6.92022,6.34525,7.20984,6.46407,6.52051,6.76855,6.78502,6.74029,6.24159,6.97555,6.01942,6.53858,6.80017,6.74889,6.07147,7.22588,6.7209,6.68788,7.05465,6.68197,0.0847539,-0.042194,0.0462546,-0.0713707,0.173674,-0.0775486,0.0139695,-0.134064,0.823473,-0.181198,-0.153348,0.067495,-0.056759,0.0374394,-0.0778698,-0.00428053,0.0646674,0.00171589,-0.0159851,0.0207789,-0.00582001,0.00917264,-0.00203773,0.0151512,-0.00215052,0.567716,0.258505,-0.10897,0.0123137,0.0578324,-0.0309339,1.12678,-0.74898,-2.2445,0.221526,-0.794733,0.533895,-0.069658,0.0759012,0.170913,0.0123826,-0.023541,0.0891377,-0.012645,0.0457627,0.0012001,0.232808,-0.0242975,0.0138829,-0.0342897,0.412251,-0.0133208
246.637,0.905727,0.352011,4,15,0,-211.488,6.58388,6.49111,6.87663,6.67902,6.66431,6.80853,6.64301,6.88126,6.37522,6.80643,7.24516,6.85176,6.88334,6.77553,6.50659,6.25409,6.65774,6.49101,7.00767,6.55995,6.67241,7.10376,6.5977,6.49679,6.77918,6.52229,6.73825,6.77281,6.70121,7.05462,6.76145,6.48239,6.92762,6.26829,7.28424,6.87315,6.56095,6.84995,6.8162,6.59106,6.24009,6.91473,6.40476,6.30921,6.78897,6.45482,6.34171,7.10231,6.74934,6.77243,6.78504,7.13642,-0.0420583,0.110863,0.0128331,-0.0400529,0.173592,-0.123144,0.00853926,-0.118141,0.845063,-0.195528,-0.159174,0.126172,-0.0783596,-0.00284473,-0.0212522,0.0227973,0.0453187,-0.0102165,-0.000149908,0.00867423,0.0553489,0.0193753,-0.0178063,0.0116826,-0.0429274,0.547314,0.214952,0.0218518,-0.00508226,0.0754108,0.01681,1.11513,-0.889065,-2.04259,0.697009,-0.786663,0.0289692,-0.0330558,0.105813,0.119827,-0.0421763,-0.0292854,-0.0118362,0.180305,-0.0429455,-0.180924,0.0760948,-0.485014,-0.0354317,0.0584122,0.134703,-0.0074756
248.423,0.857796,0.352011,4,15,0,-204.86,6.57102,6.57677,6.72755,6.71453,6.59117,6.98649,6.52495,6.79915,6.23951,6.63232,6.33405,6.93047,6.88914,6.95851,6.47735,6.13112,6.8907,6.57229,6.89267,6.18898,6.79278,6.77834,6.76996,6.42911,6.4582,6.75493,6.76296,6.24402,6.60836,6.6674,6.55944,6.6209,6.8921,6.32841,7.19593,6.51921,6.43065,6.79807,6.74979,6.79658,6.12077,6.93895,5.98107,6.51865,6.80405,6.62909,6.18328,7.2277,6.73626,6.71961,7.03822,6.82552,0.0514429,0.028949,0.0482462,-0.0426612,0.163542,-0.0779607,0.0282981,-0.134131,0.828769,-0.177814,-0.156204,0.0727462,-0.085059,0.0459256,-0.0912389,-0.00257866,0.0688036,-0.0108199,-0.0149748,0.0201858,-0.00174508,0.0178448,0.00913903,0.0178494,-0.00546506,0.567266,0.268175,-0.12939,0.0132824,0.118536,-0.0727829,1.15964,-0.696717,-2.37402,0.131847,-1.10894,0.638943,-0.0755787,0.0848486,0.181916,0.000564307,0.00924299,0.121646,0.0439294,0.10967,0.0561456,0.266923,-0.0617468,0.00839058,0.004206,0.398102,-0.00796242
253.53,0.999821,0.352011,4,15,0,-215.241,6.61732,6.67754,6.88844,6.86706,6.67223,6.78194,6.71197,6.84619,6.43932,6.71119,7.07876,6.83222,6.86898,6.7765,6.45545,6.34401,6.60132,6.51943,6.96544,6.50725,6.63116,7.1077,6.54052,6.4602,6.76939,6.71954,6.75854,6.7139,6.74811,7.02196,6.62855,6.41983,6.90161,6.27556,7.2648,6.74238,6.55539,6.87081,6.924,6.5228,6.44729,6.92652,6.16366,6.30919,6.79995,6.4944,6.02024,7.0237,6.79989,6.70238,6.75755,6.95113,-0.014189,0.0817696,0.005717,-0.0562851,0.165206,-0.119383,0.0279334,-0.114542,0.854949,-0.187104,-0.15275,0.095937,-0.068815,0.00983252,-0.0458924,0.0260326,0.0484688,-0.00850324,0.00033702,0.0101124,0.0397527,0.014878,-0.0271608,0.00836119,-0.0322922,0.54586,0.237031,0.0122868,-0.00466833,0.122457,0.0269729,1.13176,-0.81997,-2.10045,0.482806,-0.760692,0.170615,-0.0587705,0.116377,0.128367,-0.050465,-0.0462284,-0.0276903,0.0901619,-0.0688933,-0.209948,0.0505287,-0.364853,-0.0270409,0.0443149,0.0985919,-0.0105052
255.077,0.9998,0.352011,4,15,0,-213.417,6.53295,6.49065,6.74802,6.68522,6.57822,6.97802,6.5616,6.76648,6.35978,6.6866,6.44278,7.00894,6.8787,6.92778,6.51099,6.30521,6.86239,6.52852,6.91359,6.33179,6.75841,6.80041,6.88737,6.34959,6.55069,6.58971,6.7457,6.48401,6.61316,6.73755,6.64171,6.65796,6.92452,6.30643,7.19318,6.69685,6.47804,6.86042,6.72849,6.89619,6.38637,6.97771,6.28251,6.55336,6.73357,6.79868,6.53237,7.24625,6.76269,6.68156,6.96682,6.71925,0.012447,-0.0242153,-0.0246228,-0.0223454,0.163962,-0.0987002,0.02981,-0.125819,0.826516,-0.177157,-0.161159,0.102643,-0.0808645,0.0184851,-0.0683522,0.00109069,0.0557763,-0.00583413,-0.00452347,0.0320233,0.00581718,0.0204374,0.0255956,0.0235898,-0.0229667,0.573366,0.190984,-0.0394469,0.00268798,0.126809,-0.0427607,1.14003,-0.695985,-2.21889,0.393825,-0.943506,0.309473,-0.0510969,0.0751245,0.145045,0.0400345,0.0673417,0.186159,0.0991591,0.134662,0.109881,0.313312,-0.259489,-0.000670427,-0.00689847,-0.158894,-0.00417061
