# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_normal_full_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_full_pdw2_upload_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.364529
# Diagonal elements of inverse mass matrix:
# 0.00844003, 0.00648497, 0.0047777, 0.00735768, 0.00422778, 0.00532673, 0.00633617, 0.00167579, 0.00580527, 0.00715675, 0.0245019, 0.00522591, 0.00360825, 0.0198752, 0.00208321, 0.0462367, 0.00763306, 0.00696144, 0.00647541, 0.00971101, 0.0159985, 0.00897214, 0.00664113, 0.00685857, 0.00862022, 0.010494, 0.00703718, 0.0144445, 0.00942995, 0.0258982, 0.0180539, 0.00584905, 0.00719093, 0.00329814, 0.00362012, 0.0154294, 0.00312744, 0.00525151, 0.00977439, 0.00624364, 0.0410458, 0.00625519, 0.0291023, 0.00818448, 0.00264579, 0.0161526, 0.058524, 0.00442242, 0.00402484, 0.0106297, 0.00883153, 0.0140774, 0.00162493, 0.0014439, 0.00200836, 0.00189118, 0.000234896, 0.000174285, 0.000220071, 0.000204863, 0.000224357, 0.000240534, 0.000170802, 0.000208288, 0.000159441, 0.000189725, 0.000188364, 0.000144378, 0.000133311, 0.000165798, 0.000138065, 0.000154272, 0.000134546, 0.000154573, 0.00016276, 0.000130288, 0.000162069, 0.000253346, 0.0231322
256.232,1,0.364529,4,15,0,-218.959,6.48418,6.55414,6.84177,6.64939,6.67549,6.96816,6.576,6.82032,6.25484,6.72015,6.73326,7.03583,6.7846,7.10845,6.55521,6.43103,6.85328,6.52853,6.86353,6.5265,6.64179,6.74403,6.59008,6.52952,6.61576,6.71103,6.76881,6.57705,6.59145,7.07804,6.61825,6.55049,7.01355,6.26262,7.26098,6.67456,6.546,6.6792,6.59518,6.6676,6.57057,7.07031,6.3403,6.40661,6.76218,6.3205,6.38006,7.14338,6.64614,6.80045,7.11505,6.83806,-0.0151969,0.0784915,0.0204062,-0.0362448,0.188633,-0.10478,0.0245037,-0.122484,0.839001,-0.173763,-0.165121,0.112235,-0.0773519,0.00362295,-0.0442898,0.0126627,0.0370464,-0.00828247,-0.0024984,0.00358539,0.0175886,0.0107424,-0.0283173,0.0280206,-0.00598438,0.562838,0.228054,-0.249422,0.0246658,0.104022,-0.0429128,1.12535,-0.789021,-2.23042,0.567565,-0.834168,0.118185,-0.046573,0.0756226,0.102908,-0.036339,-0.0281605,-0.0129427,0.0413303,-0.0139434,-0.133553,0.425761,-0.067597,-0.0211539,0.0385682,0.186649,-0.00676485
263.731,0.972182,0.364529,4,15,0,-220.808,6.49285,6.46527,6.78672,6.78033,6.5987,6.75686,6.5769,6.79011,6.36197,6.72808,6.76051,6.86488,6.9643,6.76439,6.44369,6.343,6.74947,6.47568,6.92079,6.35625,6.53652,7.11528,6.76424,6.38734,6.69825,6.75018,6.8488,6.43831,6.5582,6.93342,6.46736,6.59084,6.87139,6.34973,7.2022,6.78762,6.52998,6.92756,6.96878,6.71464,6.10655,6.92416,6.37571,6.56533,6.78096,6.77279,6.27447,7.15735,6.78188,6.67504,6.83867,6.85678,-0.0502181,0.0823891,0.0467251,-0.129168,0.161242,-0.152209,0.0155264,-0.126616,0.842037,-0.182019,-0.152106,0.101411,-0.0570317,-0.00077437,-0.0623685,0.00134868,0.0746105,0.00813594,0.00243765,0.0533613,0.0226879,0.01962,-0.00775054,0.000802771,-0.0301299,0.55374,0.208747,0.0935175,-0.0143944,0.0700348,-0.0624153,1.13191,-0.743152,-1.98677,0.509015,-0.676781,0.115257,-0.0623159,0.102686,0.200276,0.0369234,0.0193971,0.167201,0.0593732,0.00129959,-0.109696,-0.0620829,-0.340335,-0.0753404,0.0350237,0.473725,-0.0241084
255.55,0.774381,0.364529,4,15,0,-220.211,6.55654,6.6313,6.75341,6.76533,6.69486,7.03192,6.41273,6.88864,6.33137,6.62559,6.81774,6.89796,6.85753,6.77712,6.566,6.69007,6.72295,6.46508,6.96314,6.5209,6.79959,6.83358,6.43616,6.43217,6.53423,6.64845,6.68333,6.34543,6.66045,6.95796,6.49605,6.61454,7.08805,6.24111,7.24806,6.69877,6.59564,6.68421,6.76511,6.60751,6.26563,7.01176,6.04958,6.30761,6.83264,6.58096,6.33704,7.067,6.65295,6.67109,6.99001,6.96761,0.0131361,0.0757182,0.0438445,-0.0609421,0.18724,-0.102391,0.0209687,-0.109393,0.820375,-0.203821,-0.183528,0.12569,-0.0832217,-0.00448223,-0.0429422,0.0162006,0.0517038,-0.0188177,-0.00714513,0.010326,0.0132864,0.0130802,-0.0248547,0.0183028,0.00993413,0.55003,0.20814,-0.209194,0.0212414,0.107821,-0.0266314,1.13154,-0.933596,-2.44681,0.655616,-0.875186,0.065834,-0.0392007,0.102308,0.142493,-0.0486268,-0.0149218,0.0381689,0.053725,0.0288735,-0.0895895,0.312427,0.112212,-0.0171237,0.0313518,0.384036,-0.0113744
262.481,0.91753,0.364529,4,15,0,-222.49,6.3605,6.50855,6.7029,6.73884,6.64276,6.87662,6.54101,6.90335,6.29399,6.50562,6.72006,6.83094,6.81691,7.10954,6.47866,5.98368,6.80169,6.58547,6.86992,6.32715,6.64757,6.94442,6.72692,6.42689,6.64672,6.61077,6.73449,6.51761,6.67082,7.2277,6.80493,6.52815,7.02367,6.25336,7.19639,6.42532,6.38518,6.86996,6.71725,6.6105,6.27046,6.84729,6.06585,6.36766,6.74813,6.41732,5.9344,7.21396,6.82759,6.65531,6.84983,6.74768,0.0716774,0.0597861,-0.00210736,-0.0498231,0.164464,-0.0974308,0.00451583,-0.0991723,0.822617,-0.201337,-0.153712,0.118303,-0.0697545,0.0251882,-0.0417658,-0.00260177,0.0698174,0.00336223,-0.0146055,0.0154835,0.024551,0.0153501,-0.0167555,0.0168199,-0.0250469,0.55247,0.266566,-0.234382,0.0207324,0.0603146,0.0222036,1.11366,-0.922472,-1.99199,0.598048,-0.861572,0.400734,-0.0463761,0.0880818,0.190141,-0.0081085,-0.0594868,0.0252292,0.064613,-0.0142136,-0.128045,0.202376,-0.282919,0.020056,0.0340866,0.0344878,-0.00929915
265.838,0.806197,0.364529,4,31,0,-216.582,6.52246,6.60905,6.79427,6.62072,6.67127,6.92913,6.67883,6.78884,6.4013,6.63656,6.78351,6.89552,6.95774,6.51521,6.45773,6.52552,6.69954,6.52759,6.96803,6.43391,6.56266,6.82035,6.5646,6.43021,6.71675,6.77994,6.79739,6.41077,6.44214,6.49993,6.41415,6.55623,6.842,6.36454,7.28712,6.79541,6.58486,6.72631,6.70352,6.67857,6.17109,7.08162,6.27104,6.53688,6.81433,6.55769,6.36246,7.0287,6.63734,6.75426,6.99876,6.95667,-0.00708815,0.0269279,0.0816527,-0.0162992,0.182378,-0.120701,0.0251921,-0.12071,0.831772,-0.18772,-0.164409,0.0758948,-0.0681473,0.00250035,-0.0591609,0.0216022,0.0489325,-0.0107282,0.00931658,0.0168781,0.0375395,0.0174394,-0.00279199,0.0229748,-0.0205792,0.559825,0.175222,-0.0988631,0.00872909,0.0946768,-0.0661647,1.12453,-0.761695,-2.41071,0.285203,-0.779239,0.104851,-0.05049,0.109847,0.131954,0.00269753,0.0603447,0.0848467,0.18338,0.0492716,-0.0359263,0.310234,-0.232454,-0.0144477,-0.00565938,0.617647,-0.00304213
248.324,0.508951,0.364529,4,15,0,-214.143,6.44892,6.48812,6.70777,6.893,6.64352,6.89258,6.57895,6.82193,6.15272,6.80373,6.83036,6.97311,6.8585,7.10871,6.50166,6.43709,6.89192,6.53127,6.93653,6.43804,6.74006,7.06665,6.76556,6.57343,6.56523,6.53998,6.89364,6.43974,6.51504,7.00528,6.51608,6.56849,7.0316,6.26331,7.26706,6.83215,6.48029,6.75167,6.92284,6.52119,6.10072,7.00958,5.93549,6.19067,6.78906,6.76469,6.31585,7.32571,6.78774,6.60824,7.06935,6.89257,0.0210091,0.0453944,-0.0501266,-0.126003,0.164187,-0.135443,0.0356318,-0.112121,0.81921,-0.191252,-0.159058,0.109126,-0.0811592,-0.00645536,-0.0541796,0.0289942,0.0751997,-0.0349038,-0.000479087,0.0183581,0.00588065,0.0241796,-0.00860401,-0.002158,-0.013516,0.53951,0.294691,-0.00946264,-0.00270605,0.146166,-0.0583912,1.12739,-0.8358,-2.13521,0.544642,-0.874502,0.0747606,-0.0528053,0.159398,0.204185,-0.0873475,0.00102177,0.0560174,0.0086348,0.0505704,-0.0795677,-0.067445,-0.152671,-0.0316393,0.0391142,-0.242665,-0.0235175
258.236,0.936598,0.364529,4,15,0,-207.538,6.68722,6.58872,6.75367,6.60028,6.7439,6.795,6.73645,6.67325,6.30653,6.66022,6.70798,6.9679,6.84549,6.83795,6.47112,6.50173,6.61012,6.63405,6.96755,6.59834,6.76607,6.85392,6.61328,6.55512,6.68312,6.76333,6.86468,6.40415,6.64547,6.71403,6.49008,6.64244,6.826,6.34242,7.33812,6.59823,6.55977,6.82274,6.71581,6.67436,6.43269,6.94925,6.44307,6.52483,6.73831,6.42336,6.74305,7.1596,6.65015,6.89685,6.95813,6.77548,0.0444099,0.0204609,-0.0182458,0.0143129,0.175812,-0.13129,0.0365801,-0.123428,0.847106,-0.165931,-0.138796,0.0721536,-0.0514436,-0.00148646,-0.072252,0.00647897,0.0607684,-0.0281141,0.0165588,0.0197538,0.0272537,0.0284744,0.00281996,0.00922783,-0.0325744,0.562017,0.15796,-0.0623475,0.00341793,0.113993,-0.0775,1.13407,-0.647066,-1.90797,0.342001,-0.635099,0.0869614,-0.0654372,0.0940873,0.16332,-0.0434755,0.0728259,0.0828064,0.12443,0.0726998,-0.0490206,0.0643332,-0.367946,0.0299189,0.0157801,-0.148727,0.00267141
265.994,0.925475,0.364529,4,15,0,-222.83,6.36855,6.61,6.84854,6.72154,6.63095,6.83361,6.54248,6.88481,6.30075,6.68279,6.85874,6.8202,7.03914,7.00139,6.53047,6.16846,6.92362,6.54299,6.94339,6.24155,6.52562,7.02675,6.75299,6.34371,6.64787,6.68733,6.75583,6.59046,6.59069,6.93698,6.68034,6.4792,6.98241,6.30209,7.19846,6.78199,6.46503,6.78819,6.89215,6.65469,5.9194,7.02251,6.14698,6.41396,6.75739,6.63421,5.78366,7.16639,6.81581,6.7065,6.88082,7.00638,0.0113025,0.101107,0.015345,-0.119127,0.159698,-0.123044,0.0158896,-0.111911,0.808378,-0.189934,-0.173849,0.110463,-0.0619649,0.0246571,-0.0373973,0.0153757,0.0548648,0.0147056,-0.0171011,0.0182947,0.0165889,0.014598,-0.011996,0.0244479,-0.0112466,0.545564,0.250704,-0.0757285,0.00463747,0.0806254,0.0106011,1.09299,-0.868921,-2.34392,0.537188,-0.771555,0.37755,-0.0343415,0.10453,0.149054,0.0401876,-0.0362415,0.0700686,0.0706755,0.0328239,-0.0621948,0.356537,-0.127037,-0.0373018,0.0532164,0.232565,-0.0222342
247.109,0.735154,0.364529,4,31,0,-218.332,6.52519,6.48687,6.71619,6.90936,6.62452,7.00136,6.65301,6.81541,6.21672,6.59857,6.60013,6.9581,6.82283,6.8174,6.52008,6.54467,7.03098,6.50754,7.02758,6.24898,6.65428,6.94312,6.73474,6.49311,6.55919,6.67014,6.69956,6.43599,6.60599,7.24587,6.37459,6.64303,6.92052,6.40929,7.19837,6.46917,6.41606,6.72451,6.83263,6.70076,6.01584,6.91034,6.15126,6.39638,6.87881,6.29249,6.17591,7.13959,6.72097,6.7123,6.75702,6.95887,0.0101697,0.101332,0.0157542,-0.0783591,0.181306,-0.128859,0.00779523,-0.12812,0.846802,-0.199425,-0.134092,0.102429,-0.0688466,0.0327456,-0.0458053,0.0357737,0.0638523,0.00933338,-0.0191519,0.029203,0.0131344,0.021334,-0.00936447,0.00503347,-0.0069535,0.548866,0.232546,-0.0860601,0.00579909,0.0492127,-0.0448594,1.14114,-0.885366,-1.79268,0.424005,-0.871198,0.477089,-0.0410116,0.157917,0.172977,0.0324807,-0.0325153,0.112689,0.0587919,0.0576189,-0.0603973,0.0619062,-0.0785437,-0.0228309,0.0528084,0.194661,-0.0146252
