# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/vi_normal_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_sens_pdw2_all_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,theta_1.26,theta_1.27,theta_1.28,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.354846
# Diagonal elements of inverse mass matrix:
# 0.00416545, 0.00315674, 0.00237109, 0.00393542, 0.00565824, 0.00733095, 0.00641197, 0.00195028, 0.00642014, 0.00703604, 0.017321, 0.00300524, 0.00315018, 0.0154222, 0.0029004, 0.00662668, 0.0072735, 0.00693812, 0.00508191, 0.00755563, 0.0111654, 0.0101266, 0.00547923, 0.00568678, 0.00469007, 0.00993948, 0.00553639, 0.0136978, 0.00923031, 0.0156866, 0.0157059, 0.00607314, 0.0117853, 0.0026891, 0.00344653, 0.0142558, 0.00318755, 0.00623513, 0.0110241, 0.00366229, 0.0138767, 0.00570357, 0.0151105, 0.00662648, 0.0025708, 0.0121147, 0.02769, 0.00551843, 0.00539696, 0.00908248, 0.00571324, 0.0263626, 0.000944303, 0.00092626, 0.000923343, 0.00100293, 0.000167405, 0.000174419, 0.00023811, 0.000172994, 0.000215504, 0.000155358, 0.000175944, 0.000184704, 0.000145511, 0.000150139, 0.000149117, 0.000175944, 0.000216043, 0.000166503, 0.000157444, 0.000172249, 0.000166662, 0.000200674, 0.000138953, 0.000146438, 0.000158697, 0.000171563, 0.000139528, 0.000154245, 0.000148098, 0.000179373, 0.000179056, 0.000158143, 8.21658e-05, 0.0249572
-2863.11,0.790244,0.354846,4,15,0,2898.51,5.56916,5.84436,5.91195,5.8537,5.77,5.83288,5.78731,5.99817,5.39902,5.58769,5.80199,6.13297,5.90639,5.74069,5.84829,5.68552,5.82172,5.65522,6.09671,5.93091,5.5972,6.15869,5.67513,5.69474,5.96957,5.94664,6.11641,5.59553,6.05483,6.285,5.50551,5.81528,5.77227,5.74343,6.28894,5.92634,5.66489,5.93654,5.52607,5.81438,5.62512,5.60749,5.58043,6.05285,5.8715,5.71569,5.22538,6.13353,5.83479,5.87282,5.93314,6.02043,0.0686098,0.0833863,-0.0665618,-0.083915,0.0663518,-0.000865104,-0.0935438,0.0758964,-0.0685632,-0.0261632,0.374863,0.261541,-0.59751,-0.844308,-0.0857357,0.796009,-0.0741486,-0.0941516,0.161733,0.190782,0.0986153,-0.0191848,0.00923147,0.0733058,-0.021995,0.0154575,0.034345,0.0132291,0.0174893,-0.0133844,-0.00373516,-0.0278283,0.949642,0.195995,1.18201,-0.0791099,-0.538688,0.0506464,0.062131,-0.00316691,-0.0396965,0.124287,-0.806044,-0.67732,-0.171026,0.907477,-0.653991,-0.342322,1.28812,0.819293,0.837366,-0.0197999,0.121792,0.205337,-0.0410504,0.0501065,0.111666,0.0249536,0.0082375,-0.135021,-0.11741,-0.367547,0.0110879,0.0654084,-0.409856,-0.0156474
-2854.73,0.99914,0.354846,4,15,0,2904.33,5.5526,5.87091,5.93242,5.88943,5.80571,5.90099,5.9869,6.01602,5.73072,5.6683,6.0257,5.9899,5.87166,5.95343,5.89704,5.89529,5.79398,5.83284,5.87449,5.78831,5.30962,5.7836,5.77558,5.65607,5.80088,5.79029,6.10198,5.78505,6.08406,5.9517,5.34789,6.05283,5.93266,5.64603,6.13378,6.10375,5.73967,6.06285,5.88313,5.79276,5.52083,5.71621,5.60383,5.79041,6.03331,5.94984,5.22571,6.04631,5.87314,5.89682,5.86478,5.99117,-0.0165874,0.109575,0.00668271,-0.0927784,0.0323172,0.0382254,-0.0558296,0.044894,-0.0601551,-0.0216878,0.38061,0.2349,-0.635941,-0.876693,-0.0778497,0.80494,-0.0596174,-0.096485,0.166962,0.24188,0.0882731,-0.00423796,0.0156527,0.0928782,-0.02776,-0.0124424,0.0305914,0.0384389,0.0190889,-0.0141978,-0.00485699,-0.0237532,0.968983,0.104973,0.129093,-0.0102872,-0.259815,0.0252253,0.0570205,-0.00159171,-0.152864,0.101154,-0.917057,-0.735551,-0.180103,0.91241,-0.626261,-0.319822,1.39753,1.11821,0.770467,-0.00453651,0.161687,0.258843,-0.0626992,-0.0239754,0.118673,0.182552,0.0199906,-0.13399,-0.129605,-0.313724,-0.0407569,0.0606664,0.141689,-0.0173001
-2844.39,1,0.354846,4,15,0,2888.05,5.61681,5.82565,5.90785,5.94017,5.76699,5.96517,6.00134,6.01378,5.69367,5.60948,6.01244,5.9598,5.88919,5.83197,5.89628,5.83257,5.76997,5.77622,5.94466,5.78895,5.41074,5.81661,5.8457,5.6237,5.80253,5.81099,6.08789,5.79908,6.01159,5.92889,5.38593,6.01773,5.89997,5.69573,6.12771,6.02019,5.76227,6.00094,5.81197,5.78051,5.50862,5.65911,5.5564,5.82558,6.0074,5.88426,5.28063,6.00979,5.95639,5.93264,5.81796,6.1068,0.00859884,0.0791618,0.0121794,-0.0445776,0.0337802,0.0378907,-0.0546224,0.0561478,-0.0577981,-0.01942,0.368356,0.236795,-0.621274,-0.862023,-0.0741747,0.81707,-0.0784305,-0.0994925,0.162433,0.237604,0.10519,0.000482219,0.0242473,0.0865412,-0.0367015,-0.0155777,0.0399944,0.0471252,0.0360676,-0.0079771,-0.000434846,-0.0160388,0.971222,0.114024,0.200033,-0.0154144,-0.34829,0.0343105,0.0418313,-0.00017682,-0.145033,0.121942,-0.845331,-0.657553,-0.1629,0.931121,-0.711223,-0.348573,1.31291,1.05308,0.917603,0.0118885,0.169927,0.239795,-0.049843,0.0195913,0.213469,0.289908,0.143126,-0.077563,-0.0374161,-0.211835,-0.0109459,0.0416285,0.134535,-0.00831224
-2838.68,0.774298,0.354846,4,15,0,2897.92,5.69288,5.78664,6.00187,5.81143,5.93443,5.7193,5.90644,6.01279,5.4568,5.76628,5.96119,6.11232,5.88751,5.81354,5.81347,5.60044,5.91638,5.72741,6.03444,5.95278,5.74573,6.07362,5.57937,5.64647,5.88394,5.94651,5.87288,5.66592,6.06601,5.91624,5.5926,5.88153,5.90238,5.76534,6.17794,5.94626,5.66042,5.99465,5.62323,5.70298,5.67407,5.7387,5.76545,5.96256,5.99119,5.89396,5.39028,6.16075,5.86682,5.85027,5.89661,5.98376,-0.00851519,0.0808418,-0.00587402,-0.0274553,0.052058,0.00680268,-0.0875784,0.0468028,-0.0672215,-0.0268242,0.363466,0.272087,-0.590632,-0.867897,-0.110136,0.802393,-0.0818647,-0.107169,0.166264,0.210871,0.0885602,-0.0253832,-0.00356206,0.0913488,-0.0165357,0.012267,0.019698,-0.00396525,-0.0265038,-0.0265702,-0.0192691,-0.0271679,0.955216,0.0989117,0.847165,-0.0575459,-0.32799,0.0298864,0.061523,-0.0031647,-0.0505905,0.109348,-0.799951,-0.715216,-0.255325,0.914899,-0.718167,-0.458973,1.40918,0.953098,0.747764,-0.048708,0.121538,0.257126,-0.101542,-0.0641691,-0.0588705,-0.186398,-0.273755,-0.231193,-0.389745,-0.358824,-0.0122537,0.0471999,-0.0162509,-0.00511951
-2844.02,0.692041,0.354846,4,15,0,2884.12,5.62596,5.91744,5.92076,5.90337,5.82072,5.88917,6.04877,5.95871,5.56838,5.78722,5.90112,6.00233,5.9346,5.87571,5.90534,5.76832,5.84026,5.78767,5.94198,5.74504,5.54585,5.81424,5.76709,5.7239,5.84608,6.03033,6.08126,5.83511,6.17726,5.82448,5.4176,5.99236,5.92918,5.69636,6.14108,6.20956,5.71818,5.96471,5.83058,5.76082,5.43236,5.68038,5.81924,5.92493,6.00857,5.90837,5.25749,6.01588,5.9163,5.80455,5.86155,6.30236,-0.0143202,0.123877,-0.000181645,-0.0307653,0.0204272,0.0205591,-0.0554734,0.0357904,-0.0821416,-0.00255787,0.348608,0.245734,-0.609298,-0.841878,-0.080852,0.844676,-0.0561708,-0.104846,0.158725,0.233423,0.112216,0.0133175,0.0395264,0.0867223,-0.0440202,0.00227311,0.0345226,0.0376408,-0.0020666,-0.0374705,0.0130739,-0.0177886,0.956346,0.130847,0.387995,-0.0292375,-0.268863,0.0261559,-0.052587,0.00696117,-0.120139,0.174839,-0.786778,-0.594933,-0.168751,0.949383,-0.656809,-0.406892,1.31713,1.01426,0.966904,9.34107e-05,0.201699,0.241465,-0.123521,-0.0205578,0.0795931,0.114406,-0.126197,-0.246077,0.197232,-0.234947,-0.0158515,0.0698545,0.0292177,-0.0057367
-2844.57,0.924827,0.354846,4,15,0,2877.56,5.55502,5.75358,6.02939,5.99173,5.84215,5.94311,5.89358,6.12458,5.65477,5.57507,5.99046,6.09801,5.91362,5.98756,5.77792,5.7948,5.75847,5.71632,5.97876,5.89362,5.48876,5.90819,5.73187,5.71128,5.88992,5.94482,5.99973,5.93378,6.08048,6.03594,5.44119,5.92195,5.94179,5.63356,6.10835,6.11423,5.64205,6.17652,5.57072,5.69565,5.47089,5.61968,5.78817,5.84983,6.15894,6.04513,5.40901,6.09065,5.90372,5.83244,5.82633,6.15772,-0.0730627,0.055469,-0.0421686,-0.0373048,0.0525646,0.0386259,-0.0600297,0.0478391,-0.0745416,-0.0114681,0.359253,0.258082,-0.589539,-0.848692,-0.0773691,0.809235,-0.104147,-0.129313,0.188982,0.217648,0.108275,0.0286355,0.00262439,0.0722972,-0.0328372,0.0056588,0.0294377,0.0365117,0.0060881,-0.0355112,0.0203586,-0.0172378,0.967982,0.127816,0.283782,-0.020789,-0.303707,0.0318345,-0.0304768,0.00527013,-0.0842357,0.191944,-0.796014,-0.725497,-0.142272,0.922156,-0.937738,-0.556856,1.54698,0.944099,0.936255,0.0165342,0.105645,0.201672,-0.0851799,0.00316944,0.0777367,0.131258,-0.0697389,-0.225243,0.326541,-0.227671,-0.0475948,0.0427498,-0.275408,-0.0069561
