# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/vi_normal_sens_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_sens_pdw2_download_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.324577
# Diagonal elements of inverse mass matrix:
# 0.00444579, 0.00306585, 0.00189718, 0.00422303, 0.00486715, 0.00690949, 0.00793991, 0.00184889, 0.00594812, 0.00764039, 0.0152287, 0.00356193, 0.00311673, 0.0151405, 0.00322338, 0.00634433, 0.00674241, 0.00626251, 0.00584242, 0.00748557, 0.0123349, 0.0101938, 0.00501976, 0.00615644, 0.00483269, 0.0105033, 0.00490383, 0.0136648, 0.00890696, 0.0154503, 0.0153423, 0.00801911, 0.00948558, 0.00229855, 0.00338793, 0.0129418, 0.00283617, 0.0063024, 0.00951628, 0.00357527, 0.0148598, 0.0063092, 0.0133323, 0.00546539, 0.00242079, 0.0109039, 0.0272712, 0.00511762, 0.00452519, 0.00779062, 0.00508304, 0.0232209, 0.000917021, 0.000853784, 0.000934294, 0.00101211, 0.000188062, 0.000150728, 0.00016001, 0.000182865, 0.000142415, 0.000181556, 0.000183928, 0.000167212, 0.000185575, 0.000161042, 0.000207336, 0.000182252, 0.000174488, 0.000197982, 0.000159002, 0.00018141, 0.000180732, 0.000180355, 0.00015532, 0.000153761, 0.000174044, 0.000143084, 0.000153032, 0.000154009, 7.74993e-05, 0.0282537
-2846.96,0.975536,0.324577,4,15,0,2873.98,5.62826,5.84874,5.95357,5.90248,5.70642,5.83426,5.91277,5.98538,5.64328,5.62309,5.91324,6.05202,5.90034,5.69908,5.77029,5.74214,5.81819,5.64978,6.15425,6.00777,5.62163,5.92879,5.729,5.67779,5.85352,6.01119,6.02135,5.79407,6.34921,6.17914,5.38547,5.92935,6.08171,5.64589,6.19134,5.96171,5.67537,6.05498,5.7126,5.80807,5.52744,5.63333,5.81572,5.88668,6.05877,5.93451,5.30189,6.03122,5.83756,5.76455,5.83774,6.03723,-0.0213176,0.0847342,-0.0648091,-0.0841623,0.0566625,0.0126713,0.390376,0.263562,-0.609619,-0.827985,-0.111727,0.821614,-0.0839963,-0.100612,0.155212,0.211052,0.0995329,-0.00706434,-0.00457594,0.0860676,-0.0193349,0.00269758,0.0163058,0.013293,0.00662484,-0.0155235,0.015253,-0.0267959,0.961368,0.134835,0.408079,-0.0278061,-0.0377592,0.145097,-0.842993,-0.626841,-0.205953,0.914492,-0.683107,-0.391026,1.26688,0.919825,0.850743,-0.014224,0.108756,0.238661,-0.0564031,-0.00911449,0.0317377,0.0239826,-0.0338707,-0.125468,0.218406,-0.353723,-0.0358126,0.0656998,-0.396623,-0.0156935
-2851.5,0.925242,0.324577,4,15,0,2882.42,5.57199,5.7286,5.92185,5.96628,5.80378,5.85543,5.75125,5.9193,5.54697,5.77716,5.83919,6.15852,5.91226,6.04403,5.79769,5.84795,5.83212,5.72933,5.93952,5.96877,5.62492,5.79492,5.65978,5.59322,5.84553,5.95777,5.97618,5.75713,5.98703,6.13376,5.50718,5.83648,5.95602,5.61916,6.18659,5.93926,5.70724,5.9982,6.00105,5.86946,5.37244,5.57539,5.90903,5.76397,6.04664,6.07816,5.37706,6.11256,5.92581,5.8494,5.84276,6.24885,-0.019577,0.0807843,-0.0252334,0.0390533,0.0809074,0.0103832,0.380995,0.252457,-0.58821,-0.853886,-0.120839,0.830545,-0.0685262,-0.0940002,0.175583,0.224308,0.0991713,0.010007,0.00720267,0.0708606,-0.0335117,0.00288158,0.0384551,0.0129813,0.00476157,-0.00528069,0.00612595,-0.028245,0.960388,0.164033,0.357019,-0.0218427,-0.0675149,0.0888216,-0.799072,-0.715309,-0.246305,0.920875,-0.655985,-0.278465,1.42654,1.00321,0.845928,0.00411189,0.113025,0.196131,-0.072221,0.0177764,0.136733,0.0348757,-0.0282674,-0.0756063,0.05529,-0.372853,0.00788662,0.0516167,-0.225777,0.00728214
-2857.79,0.929547,0.324577,4,15,0,2895.55,5.58564,5.88597,5.98525,5.96106,5.90808,5.85587,6.07507,6.05411,5.57624,5.4936,6.14243,6.04372,5.88332,5.83685,5.8621,5.66494,5.897,5.63149,6.11453,5.7491,5.68073,5.99968,5.58896,5.78369,5.83214,5.99902,6.13329,5.82433,6.42601,6.1155,5.38578,6.07362,5.92901,5.73055,6.21961,6.17204,5.64892,6.06127,5.69177,5.70607,5.74322,5.72123,5.73293,6.05229,5.93705,5.85762,5.20702,6.01494,5.93022,5.98306,5.89957,6.01976,-0.0148392,0.0755884,0.00773862,-0.0260754,0.0404221,0.00986041,0.375805,0.264271,-0.603813,-0.829008,-0.116295,0.836811,-0.114682,-0.105503,0.173523,0.221272,0.0956573,-0.01083,0.00782042,0.110117,-0.0308101,0.00114737,0.0410465,0.0230693,0.0149421,-0.00655643,-0.00992476,-0.0106389,0.957537,0.167056,0.399462,-0.0299308,-0.0594711,0.12431,-0.773514,-0.528345,-0.228706,0.947031,-0.826688,-0.395744,1.39846,0.984138,0.830473,-0.00548712,0.168613,0.305496,-0.0490559,0.0376137,0.175381,0.118911,0.0352813,-0.068583,-0.194182,-0.140441,-0.01607,0.0406101,0.0832475,-0.0048622
-2857.13,0.954935,0.324577,4,15,0,2897.15,5.71753,5.83563,5.98816,5.88006,5.85294,5.8597,6.09241,6.01551,5.73396,5.7173,5.97552,6.06943,5.96365,5.79393,5.85869,5.68318,6.06432,5.6856,6.15022,5.69977,5.54789,6.05022,5.56699,5.70536,5.83133,5.90355,6.0392,5.73101,6.3953,6.09367,5.58945,5.91801,6.01073,5.68539,6.18866,6.13871,5.67703,6.03932,5.82989,5.78159,5.48844,5.69306,5.84021,5.93425,5.96345,5.95929,5.37403,5.97523,5.88223,6.00116,5.78378,6.32794,-0.0350535,0.133746,-0.0292012,-0.0338405,0.0406799,0.0109253,0.379093,0.25213,-0.598725,-0.816417,-0.130876,0.814623,-0.0998543,-0.107473,0.15659,0.21102,0.0882448,0.0156515,0.0168097,0.0864183,-0.0272532,0.0133503,0.0269283,0.0146697,0.0122976,-0.0246754,0.00885229,-0.00658421,0.973541,0.13907,0.305791,-0.0226802,-0.0279854,0.113015,-0.846974,-0.595642,-0.25411,0.902515,-0.783165,-0.445691,1.29034,0.950784,0.764637,0.00841542,0.153341,0.240106,-0.0574488,0.0416473,0.0867211,0.0420369,-0.00104618,-0.151443,0.143387,-0.0869158,-0.0255739,0.083158,-0.182761,-0.00631013
-2857.99,0.779946,0.324577,4,15,0,2906.16,5.611,5.87932,6.00719,5.87527,5.82558,5.75954,5.95879,6.0396,5.6944,5.7011,5.90684,6.05855,5.81899,5.97119,5.75134,5.66569,6.06446,5.90169,5.9696,5.79618,5.52052,6.06656,5.46708,5.71196,5.84325,5.99885,5.96622,5.75734,6.25316,6.02531,5.47143,5.88136,5.97748,5.73501,6.17111,6.00227,5.62464,6.13449,5.74804,5.80147,5.42624,5.70056,5.82103,5.97456,6.00946,5.98023,5.2889,5.95642,5.94745,6.02407,5.6689,6.33308,-0.0696238,0.116579,0.0160507,-0.00277946,0.0576233,0.00682207,0.37913,0.234346,-0.605173,-0.835283,-0.120035,0.835876,-0.0830803,-0.0906242,0.179974,0.223073,0.0967504,0.00657227,0.022306,0.105866,-0.031244,0.00333406,0.0317208,0.0153859,0.0208426,-0.0373713,0.00991546,-0.00664262,0.968129,0.121917,0.371678,-0.0258146,-0.076113,0.0739714,-0.819321,-0.617749,-0.244211,0.933198,-0.748374,-0.233934,1.47073,0.988052,0.845405,-0.00281412,0.190489,0.293773,-0.0792746,-3.37086e-05,0.0919788,0.0274058,0.0121646,-0.227048,0.161966,-0.087687,-0.035505,0.0611347,0.121696,-0.000518277
-2859.62,1,0.324577,4,15,0,2891.43,5.68567,5.83784,5.95384,6.02055,5.79987,5.92393,5.88156,5.95892,5.4324,5.71124,6.06698,6.09539,5.88532,5.94242,5.91246,5.83162,5.61548,5.52977,6.04351,5.90451,5.69064,5.77412,5.89951,5.6171,5.83645,5.75885,6.11684,5.90536,6.06398,6.19431,5.37749,5.98267,5.87839,5.64861,6.18742,6.22376,5.72202,5.93078,5.90482,5.74412,5.8041,5.57344,5.71157,5.79664,5.95431,5.95722,5.31897,6.17782,5.92208,5.76001,6.04264,6.08088,-0.0329169,0.0967329,-0.108863,-0.0239617,0.0418672,0.0170887,0.383557,0.278165,-0.59357,-0.863171,-0.101304,0.82351,-0.0809067,-0.114046,0.17498,0.21593,0.094228,-0.00509312,0.00308719,0.0731872,-0.0227636,0.00516221,0.0439142,0.025222,-0.0128508,0.0181272,-0.0163661,-0.0359071,0.952712,0.156584,0.331551,-0.0241613,-0.0920664,0.130971,-0.80525,-0.748904,-0.180439,0.921114,-0.659071,-0.48148,1.40872,0.976133,0.787752,-0.00461233,0.110522,0.203899,-0.0345666,0.039309,0.170507,0.111933,-0.0944333,0.0289591,-0.354268,-0.473997,-0.0163355,0.0835284,-0.782865,-0.00446807
-2854.56,0.985803,0.324577,4,15,0,2890.35,5.66057,5.87316,5.97749,5.86899,5.93531,5.75856,5.92186,5.99363,5.63159,5.65107,5.80774,6.06436,5.8912,5.94664,5.73681,5.70623,5.95171,5.87737,5.98953,5.78118,5.59613,5.89991,5.47696,5.72766,5.786,6.12256,5.97359,5.77111,6.10522,5.91718,5.53762,5.86718,6.05119,5.75863,6.18138,5.95626,5.64695,6.12022,5.83688,5.77816,5.35962,5.70705,5.82311,5.91285,6.087,5.8681,5.50004,5.96723,5.91151,6.01905,5.65149,6.38099,-0.0419054,0.0768672,0.00319175,0.0169933,0.0557386,0.0166229,0.376145,0.240387,-0.605133,-0.823533,-0.109203,0.814715,-0.0831298,-0.0845682,0.179328,0.223489,0.0963431,0.0214278,0.0260046,0.104975,-0.0493441,0.00545002,0.0383473,0.0201962,0.0180679,-0.0336306,0.0063114,-0.00229276,0.963698,0.134985,0.18115,-0.0126695,-0.0756749,0.118928,-0.851469,-0.64486,-0.217298,0.908102,-0.772871,-0.178725,1.48064,0.990323,0.846279,0.0119509,0.196864,0.290089,-0.112612,0.021373,0.131204,0.0653145,0.0107831,-0.200473,0.106684,-0.030266,-0.0138747,0.0420786,0.00676884,0.00316868
-2846.94,0.929546,0.324577,4,15,0,2895.13,5.59619,5.78973,5.94501,5.91308,5.96811,5.8649,5.96364,5.97974,5.60436,5.63596,5.84002,6.0471,5.8516,5.97101,5.75695,5.69944,5.9166,5.78717,6.00717,5.79284,5.63379,5.85269,5.51776,5.64327,5.8067,5.90433,6.01601,6.02944,6.02975,6.01029,5.4332,5.9176,5.75046,5.64263,6.1898,6.13627,5.62695,5.94799,5.70881,5.72071,5.67821,5.60542,5.92968,5.95173,5.97243,5.92799,5.49527,6.07322,5.95085,5.96592,5.94349,6.33633,-0.0495967,0.0884335,0.000825052,-0.00720951,0.0739293,0.00151843,0.390063,0.237198,-0.59108,-0.865805,-0.113965,0.839486,-0.0913463,-0.123044,0.171206,0.212204,0.0821899,0.00177594,0.0439717,0.0996308,-0.00655622,0.0155694,0.0367801,0.022676,-0.00808243,-0.034704,-0.0164474,-0.00898211,0.959941,0.118608,0.502988,-0.0342956,-0.108802,0.0234844,-0.810923,-0.719392,-0.199548,0.932043,-0.736305,-0.572947,1.40659,0.979294,0.695294,-0.0153969,0.229689,0.280024,-0.0336589,0.00504948,0.0668719,0.0125776,-0.162237,-0.24215,-0.305759,-0.11857,-0.0263836,0.0494554,0.0132759,-0.00134433
-2847.96,0.880508,0.324577,4,15,0,2879.91,5.61988,5.78485,5.98997,6.00386,5.70259,5.9198,5.95282,5.98878,5.58286,5.77406,6.05485,6.10107,5.88544,6.03441,5.90139,5.75666,5.80899,5.67602,6.01486,5.93068,5.6183,5.89038,5.78686,5.76397,5.8705,6.06297,6.09084,5.75639,6.3466,6.26174,5.43153,5.93443,6.08084,5.70298,6.17362,6.11028,5.75593,6.12566,5.96663,5.78122,5.44254,5.67183,5.78027,5.79355,5.97567,5.92334,5.44575,6.00014,5.93983,5.79206,5.80149,6.31114,-0.0283673,0.114671,-0.0320755,-0.0433911,0.0512323,0.0228189,0.372265,0.271571,-0.598178,-0.833101,-0.107425,0.823564,-0.0869005,-0.084167,0.178831,0.222808,0.107085,0.0248914,-0.0194374,0.0796992,-0.0425223,-0.0151048,0.035418,0.0149321,0.00912858,0.0172019,0.00414615,-0.0253284,0.958997,0.135824,0.12743,-0.00847631,-0.0554857,0.182056,-0.814458,-0.665012,-0.204289,0.917181,-0.776632,-0.172686,1.45908,0.969738,0.928724,0.0264994,0.0697836,0.21792,-0.0762487,0.00430241,0.18018,0.110799,0.0555829,0.0631622,0.0259004,-0.334351,-0.0258916,0.0733282,-0.194572,-0.00809099
