# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/vi_normal_sens_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_sens_pdw2_pcount_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.295081
# Diagonal elements of inverse mass matrix:
# 0.00479352, 0.00289373, 0.00196547, 0.00458696, 0.00564179, 0.00679179, 0.00900787, 0.00187355, 0.00694532, 0.00742318, 0.0163699, 0.00351046, 0.00377454, 0.0155123, 0.00353296, 0.00653405, 0.00679522, 0.00729427, 0.00536169, 0.00854113, 0.0117388, 0.00957736, 0.00578332, 0.00561132, 0.00498762, 0.0103005, 0.0056802, 0.0153989, 0.00855154, 0.0191894, 0.015746, 0.00623855, 0.0119619, 0.00248053, 0.00354439, 0.0132473, 0.00256388, 0.00541709, 0.0106546, 0.00340595, 0.0175549, 0.00519146, 0.0166952, 0.00514044, 0.00251135, 0.013221, 0.0287661, 0.00606997, 0.00572467, 0.00908212, 0.00484738, 0.0285387, 0.000882389, 0.000940507, 0.00114096, 0.000962294, 0.000207492, 0.000153814, 0.000158124, 0.000169152, 0.000184754, 0.000147358, 0.000165892, 0.000169979, 0.000194935, 0.000165336, 0.000185273, 0.00015597, 0.000159927, 0.00020568, 0.000156436, 0.000156232, 0.000163558, 0.000153349, 0.000142708, 0.000160692, 0.000169852, 0.000190104, 0.000163075, 0.000141492, 9.0053e-05, 0.0243993
-2845.09,0.856472,0.295081,4,15,0,2925.07,5.58562,5.81246,5.92906,5.93747,5.75903,5.86946,5.95371,5.98663,5.64518,5.75594,5.79298,6.01807,5.92098,5.98665,5.80948,5.75483,5.81951,5.73769,5.90535,5.96354,5.5862,5.8625,5.72994,5.75895,5.78375,5.81991,5.97952,5.82576,6.23879,6.16935,5.36918,5.84402,5.89152,5.68417,6.22182,6.08464,5.68518,5.96837,5.83855,5.78359,5.65381,5.56497,5.80236,5.8788,6.10049,6.00236,5.095,6.03505,5.89981,5.95526,5.83087,5.912,-0.0348156,0.0741612,-0.0429946,-0.0839789,-0.114198,-0.000583476,0.362209,0.260781,-0.583102,-0.860448,-0.114386,0.803993,-0.0769347,-0.100405,0.183563,0.227812,0.105225,-0.000180461,0.0130242,0.113253,-0.0164138,0.000372918,0.0193988,0.0286139,0.0203217,0.0135476,0.0112195,-0.0329125,0.955188,0.126165,-0.00541921,0.00190137,-0.0488547,0.111465,-0.791968,-0.740825,-0.267367,0.913343,-0.671178,-0.294094,1.46926,1.00011,0.924586,0.0106296,0.175331,0.304366,-0.00454014,0.0513529,0.123095,0.194084,0.0998638,0.0351061,0.136361,-0.434311,-0.0444768,0.0539529,-0.235161,-0.0156593
-2839.34,0.935611,0.295081,4,15,0,2882.94,5.62678,5.8417,5.92879,5.94682,5.8428,5.82748,5.94517,6.05646,5.59234,5.74877,5.86091,5.97625,5.86893,5.98024,5.80002,5.71879,5.78701,5.72669,5.97006,6.02324,5.52949,5.87852,5.76219,5.75935,5.96734,5.84958,5.97316,5.84673,6.0734,6.16824,5.3819,5.91907,5.70766,5.71824,6.18423,6.21944,5.70127,5.9938,5.67263,5.75274,5.4856,5.60527,5.86315,5.84828,5.97756,5.9611,5.17006,5.97819,5.94963,5.91066,5.86676,6.20339,-0.0347189,0.0872326,-0.0593578,-0.0552354,-0.0923864,0.00709362,0.365234,0.269381,-0.610075,-0.866508,-0.11011,0.809846,-0.088614,-0.114245,0.179433,0.206425,0.095683,0.00552843,0.0112135,0.100446,-0.00346201,-0.00215981,0.0363805,0.0313943,0.022218,0.0112976,-0.00446769,-0.0332572,0.953076,0.126808,0.000496295,0.00407077,-0.0656318,0.126602,-0.874821,-0.760644,-0.220002,0.913779,-0.702039,-0.446459,1.41684,0.916385,0.837017,0.0136629,0.154314,0.26917,0.0284049,0.0454326,0.18262,0.19363,0.0884528,0.0047516,-0.139971,-0.43886,-0.0323888,0.0653384,-0.384966,-0.0102996
-2839.71,0.884856,0.295081,4,15,0,2879.55,5.61898,5.79214,5.95031,5.95077,5.80813,6.00458,6.00494,6.0203,5.55975,5.50957,5.90141,6.09634,5.89217,5.93908,5.88962,5.70564,5.81687,5.72598,6.02511,5.76379,5.55773,5.86113,5.64509,5.57192,5.7242,5.95601,6.14503,5.81067,6.16073,6.10777,5.40177,5.96781,6.11108,5.6659,6.17978,5.89424,5.72091,6.12048,5.67332,5.69677,5.50304,5.69354,5.60115,5.85931,6.04325,5.79009,5.20087,6.08274,5.94341,5.8604,5.79466,6.30698,-0.00925528,0.110536,0.00727227,-0.0409853,-0.0900936,-0.0132557,0.371233,0.263734,-0.576122,-0.862248,-0.102614,0.810255,-0.114213,-0.0952187,0.197607,0.223338,0.0888293,0.00655676,0.0149856,0.0777885,-0.0594541,0.00803209,0.0476898,0.0105791,-0.014319,-0.0183776,-0.0181715,0.00271589,0.951618,0.151715,0.0601625,-0.00289863,-0.0468237,0.10511,-0.747135,-0.697529,-0.21323,0.926868,-0.88646,-0.255543,1.63128,1.0194,0.774559,-0.0025821,0.134512,0.209634,-0.14725,0.0126136,0.144484,-0.0127985,-0.136012,-0.124746,-0.314336,0.0358387,-0.0178171,0.0604947,0.0946041,-0.00764239
-2849.59,0.802938,0.295081,4,15,0,2885.7,5.60633,5.76623,5.89772,5.90004,5.73305,5.80155,5.89877,6.07207,5.52406,5.72056,5.97811,5.96092,5.72493,5.83821,5.80356,5.52745,5.85052,5.7883,5.95263,6.03582,5.55438,5.93445,5.7168,5.70794,5.93061,5.81678,5.89696,6.01324,6.11208,5.8992,5.45165,5.98347,5.91302,5.66959,6.22675,6.00929,5.67749,5.96823,5.81115,5.76229,5.42501,5.76241,5.67161,5.78155,5.97858,5.99495,5.26265,6.05823,5.91076,5.70222,5.93395,6.36511,-0.0520219,0.127846,0.0110427,-0.017972,-0.0714604,-0.00956615,0.354379,0.256209,-0.617734,-0.853537,-0.0897297,0.810826,-0.0881146,-0.0985209,0.160948,0.206713,0.084765,-0.0120141,0.00277727,0.104931,-0.0201521,0.00761925,0.0451318,0.0251354,0.0372698,0.00259478,-0.00859885,-0.0284262,0.963328,0.132045,0.0871159,-0.00366237,-0.13111,0.110039,-0.853774,-0.65165,-0.155197,0.912872,-0.636262,-0.353197,1.27316,0.940674,0.751116,0.00088889,0.142115,0.280794,-0.00250945,0.0819632,0.218419,0.158408,0.149221,-0.0434454,-0.203648,-0.375111,-0.031371,0.0689515,0.0996802,-0.00335118
-2851.46,0.985906,0.295081,4,15,0,2879.24,5.60102,5.87483,5.92186,5.87162,5.92927,5.9172,6.02027,5.96758,5.5814,5.6333,5.90252,6.18297,6.00666,5.90173,5.8834,5.84964,5.81071,5.66526,6.09669,5.72238,5.65036,5.88351,5.6493,5.65348,5.73339,6.05011,6.17948,5.60619,6.0832,6.19279,5.44875,5.92071,5.90702,5.6824,6.16729,6.02553,5.72507,6.10177,5.6737,5.72452,5.74873,5.54735,5.82679,5.96518,6.03231,5.7598,5.3273,6.07089,5.88795,5.99928,5.77799,6.02672,0.0364547,0.103912,-0.0474037,-8.46482e-05,-0.100111,0.0114183,0.380359,0.265928,-0.586136,-0.864743,-0.111621,0.817665,-0.0981323,-0.109087,0.185236,0.226751,0.0997192,-0.00802391,0.0141719,0.0662954,-0.042786,0.010499,0.0400057,0.0169474,-0.0249087,-0.0239199,-0.000342493,-0.0122226,0.954422,0.124297,-0.0210497,0.00591762,-0.0231889,0.117598,-0.771611,-0.70928,-0.24452,0.931685,-0.77801,-0.40395,1.51714,1.01785,0.844476,-0.0207995,0.117596,0.178826,-0.123581,-0.0064318,0.0863208,-0.00917491,-0.213148,-0.166164,-0.0286044,-0.161288,0.0245721,0.0709167,-0.351177,-1.57841e-05
-2851.81,0.94096,0.295081,4,15,0,2889.64,5.56053,5.79579,5.93332,6.03131,5.82388,5.83959,5.94045,6.07208,5.58077,5.66415,6.03053,5.95717,5.77291,5.96755,5.82508,5.57492,5.92783,5.83824,5.91409,6.10196,5.59785,5.94828,5.6911,5.66533,5.95855,5.95696,5.91732,6.12002,6.08636,5.97281,5.43576,5.9738,5.93557,5.65424,6.22628,6.09026,5.6636,6.00005,5.79795,5.82356,5.39527,5.81999,5.69515,5.79225,6.01007,6.00329,5.32259,6.15234,5.92441,5.85545,5.90045,6.27667,-0.0645744,0.091419,-0.0123121,-0.0232523,-0.0861938,-0.0139742,0.349208,0.257561,-0.605755,-0.850399,-0.0931067,0.814139,-0.0958755,-0.0922672,0.162317,0.205733,0.0737629,0.00892394,0.0109202,0.112411,-0.0263508,-0.00442955,0.0302708,0.0219099,0.0445892,0.00286406,-0.00784287,-0.0234808,0.96427,0.125338,0.0605491,-0.00298005,-0.127233,0.104934,-0.833096,-0.635053,-0.150713,0.911715,-0.721132,-0.293023,1.32511,0.949604,0.678748,0.0181116,0.169109,0.302347,-0.0253906,0.0435226,0.169076,0.157595,0.197225,-0.032305,-0.181223,-0.309851,-0.0391416,0.0548034,-0.0681324,-0.00433578
