# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/vi_normal_sens_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_sens_pdw2_upload_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.317871
# Diagonal elements of inverse mass matrix:
# 0.00444056, 0.00314849, 0.00220086, 0.00435409, 0.00527278, 0.00683685, 0.00803186, 0.00210083, 0.00725458, 0.0070024, 0.0196693, 0.00377292, 0.0031845, 0.015421, 0.00319915, 0.00667147, 0.00640969, 0.00654614, 0.0057789, 0.00786629, 0.0121811, 0.0115812, 0.0058531, 0.00589092, 0.00492973, 0.0110108, 0.00537482, 0.0141762, 0.00911694, 0.0167626, 0.0178878, 0.00599785, 0.0106454, 0.00281545, 0.00406439, 0.0161042, 0.00348772, 0.00636169, 0.00921208, 0.00361058, 0.0170379, 0.00634829, 0.0143319, 0.005254, 0.00261701, 0.0124193, 0.0274478, 0.00476322, 0.00548066, 0.00959472, 0.0046847, 0.0296705, 0.000989196, 0.00109351, 0.00116889, 0.00105694, 0.000200743, 0.0001922, 0.000171978, 0.000175767, 0.000151173, 0.000165289, 0.000172218, 0.000164922, 0.000225453, 0.000154504, 0.000195081, 0.000159966, 0.000163572, 0.000203547, 0.000147418, 0.000170316, 0.000164006, 0.000161989, 0.000153205, 0.000170803, 0.000145558, 0.000155863, 0.000165904, 0.000166708, 9.48391e-05, 0.0211134
-2849.3,0.976028,0.317871,4,15,0,2893.97,5.76076,5.86731,6.00048,5.90006,5.82643,5.9304,5.99049,5.9646,5.5576,5.69495,5.82123,6.03706,5.82837,5.88601,5.75221,5.74749,6.03539,5.59252,5.87616,6.0218,5.55348,5.79879,5.63999,5.71731,5.74446,6.08173,5.96076,5.96687,6.22838,5.929,5.46848,5.98533,6.03168,5.70383,6.16328,6.0986,5.62605,5.96599,5.73773,5.79821,5.63202,5.70938,5.94629,5.7881,6.03988,5.73874,5.66965,6.06702,6.01709,5.97746,5.80858,6.25999,-0.0339633,0.0703622,0.036377,0.0414676,-0.0385083,0.0404868,0.371728,0.230304,-0.600094,-0.843453,-0.102034,0.812581,-0.0873641,-0.0881736,0.189578,0.237698,0.0996399,0.0188157,-0.000561308,0.0802755,-0.0431518,-0.0114125,0.0249642,0.0226217,0.0010999,-0.0446664,-0.0200383,-0.0258892,0.97523,0.135495,-0.192706,0.0169908,-0.0884135,0.0859479,-0.811568,-0.679924,-0.240858,0.915819,-0.824598,-0.20133,1.61011,1.06331,0.857112,-0.0112991,0.109037,0.22519,-0.16864,-0.123938,-0.0203279,-0.0301846,-0.172594,-0.338163,-0.400686,-0.341617,-0.00308737,0.0293223,0.228357,0.00773232
-2846.32,0.739089,0.317871,4,15,0,2894.24,5.63808,5.80327,6.00311,5.97506,5.79546,5.72432,5.89857,5.98509,5.5585,5.64567,6.16904,6.08956,5.88506,6.00357,5.86465,5.75096,5.73978,5.85148,6.10195,5.80246,5.80917,6.05074,5.70848,5.65866,5.95652,5.9068,6.1053,5.78064,6.1461,6.09608,5.56444,5.97666,5.7508,5.67186,6.19066,6.22668,5.74081,6.06314,5.76876,5.82168,5.63354,5.57208,5.79831,5.89279,5.93124,6.11661,5.57188,6.10998,5.77284,5.84364,5.87505,6.30308,-0.0561523,0.0745351,-0.0551562,-0.0488513,-0.023029,0.0504721,0.389969,0.273002,-0.611025,-0.861201,-0.101798,0.841488,-0.0587255,-0.100402,0.16125,0.211315,0.102434,-0.00233438,0.0121279,0.100019,-0.0138603,0.00520456,0.0539395,0.0195232,0.00158256,0.0167749,2.3339e-05,-0.026485,0.947562,0.148253,-0.142058,0.0140302,-0.0305182,0.129113,-0.80036,-0.644185,-0.210593,0.943119,-0.543869,-0.373718,1.26407,0.928082,0.88345,0.0110775,0.159356,0.272097,0.00977594,0.072232,0.246308,0.122106,0.00945291,0.0549467,-0.0485589,-0.349478,-0.0417498,0.0570287,-0.360175,-0.00910915
-2848.55,0.948961,0.317871,4,15,0,2883.96,5.57708,5.84488,5.90402,5.94264,5.86432,6.02387,5.95845,6.06628,5.67496,5.7221,6.01567,6.00206,5.93758,5.97842,5.81443,5.66916,5.77762,5.73915,5.90886,5.95346,5.42983,5.98057,5.58666,5.78044,5.64783,6.0338,5.93478,5.94257,6.03031,5.92533,5.37055,5.97888,6.19515,5.62675,6.17106,6.00632,5.64972,6.06743,5.81687,5.76655,5.41593,5.67606,5.76618,5.80842,6.0243,5.87495,5.33728,6.05981,5.95126,5.74818,5.82693,6.32655,-0.000689677,0.0987644,0.00503127,0.0108741,-0.0225654,0.0409898,0.389909,0.255259,-0.583832,-0.845381,-0.0833539,0.802082,-0.13028,-0.103843,0.164252,0.223765,0.0722566,0.0438306,0.0189057,0.0758998,-0.0431395,0.000328154,0.0217711,0.0182019,0.0089877,-0.0331623,-0.0129114,0.00827055,0.966822,0.128484,-0.168716,0.016559,-0.0673838,0.123014,-0.803567,-0.651926,-0.133386,0.897416,-0.982697,-0.40243,1.41205,1.05462,0.64333,0.0289494,0.141821,0.211074,-0.11882,-0.0216002,0.0462839,0.0401434,-0.038696,-0.200363,-0.212041,0.109133,0.0056752,0.0539349,0.0264787,0.00202766
-2848.33,0.73154,0.317871,4,15,0,2900.83,5.64879,5.85553,5.95919,5.94595,5.82933,5.9146,5.91687,6.07559,5.62002,5.58256,5.82644,6.07062,5.97435,5.83406,5.79814,5.8404,5.92651,5.83324,6.04607,5.69731,5.82475,5.86145,5.62423,5.63166,5.8942,6.10805,5.98642,5.81688,6.05663,6.23761,5.48773,5.88039,5.91703,5.64383,6.23198,5.88263,5.54823,5.9446,5.81978,5.704,5.63074,5.68628,5.6302,5.85486,6.04842,5.79628,5.39762,5.95679,5.99824,5.9298,5.8317,6.31089,-0.0239157,0.0774017,0.00424043,0.0187897,-0.0155852,0.0757049,0.34723,0.244188,-0.599109,-0.870713,-0.0913958,0.827616,-0.0959153,-0.116585,0.18903,0.210489,0.0845833,0.0221628,0.0180934,0.088823,-0.027024,-0.00115417,0.069051,0.0140715,0.0092968,-0.00206823,0.00146525,-0.0209676,0.965136,0.135013,-0.353323,0.0356701,-0.178403,0.0594653,-0.801721,-0.709199,-0.163696,0.934666,-0.790891,-0.461704,1.51181,0.966188,0.744675,0.0256689,0.156241,0.241929,-0.0329086,0.0399408,0.284114,0.0622277,0.0112029,-0.0480321,-0.0129696,-0.276675,-0.00392155,0.0420796,0.0127549,0.00350366
-2862.11,0.617438,0.317871,4,15,0,2900.45,5.65457,5.93211,5.95688,5.93471,5.74875,5.88634,6.00602,5.93381,5.49209,5.80141,6.09347,6.22434,5.80088,6.10172,5.79046,5.56154,5.68246,5.56746,5.89904,5.96179,5.4518,5.90356,5.67218,5.63397,5.68606,5.88013,6.04444,5.83946,6.30459,5.97307,5.23629,6.01502,6.01773,5.73563,6.212,6.20584,5.7268,6.10201,5.82756,5.88211,5.53335,5.54966,5.79821,5.85398,5.9544,6.02137,5.40933,6.10411,5.97908,5.85033,5.77622,6.13158,-0.0229824,0.0720863,-0.0447474,-0.00367408,-0.0287525,0.0386082,0.389984,0.262784,-0.59313,-0.837966,-0.0959243,0.813162,-0.0749225,-0.0791941,0.169102,0.220435,0.114554,0.00724377,0.0197907,0.0853077,-0.0285334,-0.00683467,0.0128777,0.0209771,-0.0044236,-0.026265,-0.023051,-0.0241622,0.964411,0.174672,-0.119583,0.011025,-0.00282832,0.152812,-0.793821,-0.680988,-0.218306,0.914875,-0.714527,-0.175474,1.39912,0.932902,0.972705,-0.0140376,0.157346,0.238246,-0.119383,-0.0916099,-0.0405397,-0.0018027,-0.153793,-0.226745,-0.450538,-0.318828,-0.00857291,0.0523973,-0.327927,-0.000685093
-2859.01,0.999717,0.317871,4,15,0,2903.74,5.64324,5.795,5.92293,5.94755,5.95442,5.90123,5.74427,6.07675,5.61982,5.50598,5.84597,6.00818,5.94645,5.7787,5.84866,5.88236,5.93917,5.81562,6.0266,5.73917,5.62939,5.83328,5.654,5.70125,5.92292,6.19701,6.09109,5.83573,6.04189,6.34893,5.63095,6.02488,5.83665,5.63434,6.18718,6.05967,5.57499,5.9057,5.89923,5.74365,5.57169,5.67582,5.80977,5.80727,6.03568,5.76454,5.30892,6.03853,5.96989,5.88105,5.85195,6.34335,0.00714928,0.0684153,0.00533088,-0.0343047,-0.037659,0.0758407,0.358803,0.253958,-0.609525,-0.881795,-0.104177,0.827261,-0.0776114,-0.119822,0.188501,0.223494,0.0762905,0.0255085,0.00741129,0.095631,-0.0377109,0.0103085,0.0535656,0.0117814,0.01197,0.0149273,0.00498619,-0.00952663,0.960795,0.140697,-0.360305,0.0341349,-0.155832,0.0670164,-0.839915,-0.731525,-0.210728,0.931577,-0.705171,-0.480378,1.53341,1.05325,0.684889,0.0401433,0.143073,0.259049,-0.0300939,0.111913,0.273421,0.114737,0.0916999,0.0790444,0.0701781,-0.125707,-0.00769662,0.037317,0.0735816,-0.00639668
